,article_id,cluster
0,0241436001,2
1,0241436006,2
2,0289834016,2
3,0360295023,2
4,0380894037,0
5,0382468007,3
6,0386678001,3
7,0386678003,1
8,0386681012,1
9,0386681013,0
10,0386681014,3
11,0386681016,1
12,0386681018,1
13,0386695004,0
14,0387444006,2
15,0392126003,2
16,0392203001,2
17,0408045009,2
18,0420378005,2
19,0428454001,2
20,0428454002,2
21,0436570008,4
22,0436570015,2
23,0436570019,0
24,0436570021,4
25,0436570023,0
26,0436570024,4
27,0436570025,0
28,0436570026,4
29,0436570028,4
30,0436570033,4
31,0446155003,2
32,0451704003,2
33,0451744001,3
34,0451744005,3
35,0451744006,3
36,0451744015,0
37,0451744018,3
38,0451774001,1
39,0451774002,4
40,0468977001,2
41,0468977003,2
42,0468977006,2
43,0473497002,1
44,0473507001,1
45,0473507002,0
46,0473507003,2
47,0473507004,2
48,0473507006,3
49,0474915001,2
50,0474915002,0
51,0475762003,2
52,0482660011,3
53,0482660012,4
54,0482660013,3
55,0482660014,1
56,0482660015,1
57,0482660016,1
58,0482660018,4
59,0486195003,2
60,0489607003,4
61,0489607004,4
62,0499396002,2
63,0506413002,2
64,0508045007,2
65,0509653003,3
66,0510618001,2
67,0510618004,2
68,0515581003,0
69,0515581007,1
70,0515581010,4
71,0520736002,2
72,0522661009,0
73,0522661014,0
74,0523890001,2
75,0523891001,2
76,0523892001,2
77,0524906002,2
78,0528039001,0
79,0533172001,2
80,0536584001,0
81,0536584002,0
82,0539092001,2
83,0539522001,4
84,0539522002,4
85,0540739001,0
86,0540771001,0
87,0540781001,0
88,0543886004,4
89,0543886005,4
90,0545419002,2
91,0545419006,1
92,0545473001,2
93,0546456001,2
94,0546684001,0
95,0546684004,4
96,0546684007,4
97,0546684008,4
98,0546684010,4
99,0550369004,1
100,0550369005,0
101,0550432001,2
102,0550433001,1
103,0550434001,2
104,0551300001,1
105,0551300003,2
106,0551300007,0
107,0551515001,1
108,0551515002,1
109,0552496001,0
110,0552497004,4
111,0552497006,1
112,0552570001,0
113,0552570003,2
114,0552570004,0
115,0552570007,0
116,0552570008,3
117,0552571001,0
118,0552664001,2
119,0552716001,3
120,0552716009,3
121,0552716012,1
122,0552871002,1
123,0553048001,0
124,0553055001,4
125,0553055003,3
126,0553057001,4
127,0553057005,4
128,0553067001,0
129,0553068002,2
130,0553069002,4
131,0553069005,4
132,0553069008,4
133,0553195004,3
134,0553317001,0
135,0556589001,2
136,0556589003,2
137,0556589008,2
138,0556669002,2
139,0559754001,2
140,0560783008,4
141,0560783011,4
142,0560783012,1
143,0560783021,4
144,0560783022,4
145,0560783027,1
146,0561617003,0
147,0561617005,4
148,0561620001,2
149,0562728001,2
150,0562728002,0
151,0562775001,2
152,0562777001,1
153,0566564002,2
154,0567875001,4
155,0567875002,2
156,0568813001,4
157,0568813002,1
158,0569240001,0
159,0569241001,2
160,0569241002,0
161,0569242001,2
162,0569242002,0
163,0569242003,0
164,0569242004,0
165,0569244001,2
166,0569244002,4
167,0569246001,4
168,0569246008,3
169,0569246011,0
170,0569307005,2
171,0570566001,0
172,0572056002,1
173,0573190002,3
174,0573211001,4
175,0573212001,0
176,0573217002,2
177,0573234001,1
178,0575714001,2
179,0575923001,2
180,0576710001,2
181,0581992008,1
182,0584616001,2
183,0586431001,0
184,0587136003,2
185,0588119001,0
186,0589086001,3
187,0592272001,4
188,0596005001,4
189,0596006003,2
190,0596370003,4
191,0596379002,2
192,0597975001,2
193,0599832002,2
194,0600441001,0
195,0600441003,1
196,0601139001,0
197,0601282002,3
198,0601730002,0
199,0603367001,2
200,0604391001,2
201,0605718001,2
202,0605718002,2
203,0606994003,3
204,0607186001,0
205,0608445001,2
206,0609812002,4
207,0609837003,3
208,0609837004,3
209,0609847001,3
210,0609847002,2
211,0609938001,2
212,0609938002,2
213,0609938003,2
214,0610124001,2
215,0610314001,0
216,0610314002,0
217,0610314004,3
218,0610314006,0
219,0611286002,3
220,0611286005,3
221,0611635002,4
222,0611635003,4
223,0612914001,1
224,0615181001,0
225,0615181002,0
226,0615372003,4
227,0615372004,4
228,0615372005,4
229,0615372008,4
230,0615372009,3
231,0616869002,3
232,0616966001,3
233,0616966002,3
234,0616970001,0
235,0617053001,4
236,0617057001,3
237,0617058001,1
238,0617065002,1
239,0617065003,1
240,0617065004,0
241,0617117001,1
242,0617118001,1
243,0617127001,4
244,0617754001,2
245,0618790001,2
246,0619293001,1
247,0619318001,4
248,0619406001,3
249,0619440002,4
250,0620158001,0
251,0621073001,1
252,0621888003,1
253,0622097001,4
254,0625472001,1
255,0626199001,1
256,0626199003,4
257,0630299001,4
258,0630299002,4
259,0630451001,1
260,0630812001,3
261,0633017001,1
262,0633017002,4
263,0633017004,1
264,0633025001,0
265,0633025002,1
266,0633042001,1
267,0633042002,1
268,0633150001,3
269,0633150002,4
270,0633150004,4
271,0633150007,1
272,0633150009,3
273,0633150010,4
274,0633152001,3
275,0633152002,1
276,0633152003,3
277,0633152005,4
278,0633152006,1
279,0633152007,3
280,0633152010,4
281,0633152011,3
282,0633152013,3
283,0633152019,3
284,0633152021,3
285,0633152025,3
286,0633152027,3
287,0633152029,3
288,0633153001,1
289,0633153004,1
290,0633531001,4
291,0633531002,0
