,article_id,cluster
0,0349301001,1
1,0349301010,0
2,0349301011,0
3,0349301014,2
4,0349301016,0
5,0349301022,1
6,0349301023,0
7,0349301024,0
8,0349301025,1
9,0349301028,1
10,0349301029,0
11,0349301030,1
12,0349301032,0
13,0349301040,1
14,0349301041,1
15,0349301045,1
16,0349301046,0
17,0349301047,1
18,0349301048,1
19,0469039001,0
20,0469039019,1
21,0469039024,1
22,0469039028,1
23,0469039032,0
24,0469039033,0
25,0469039034,0
26,0469039035,1
27,0469039040,1
28,0469039047,0
29,0482733006,0
30,0500846010,2
31,0500846011,2
32,0546050003,0
33,0556493004,1
34,0556493009,0
35,0556493015,1
36,0556497001,2
37,0556497008,2
38,0558680002,1
39,0562857002,0
40,0566175003,1
41,0567547001,2
42,0569940002,2
43,0569940005,2
44,0570163001,0
45,0570163002,0
46,0578311002,2
47,0578311003,1
48,0578311004,1
49,0578311005,0
50,0578311006,1
51,0578311009,1
52,0578311010,0
53,0578311011,0
54,0578311015,0
55,0578385001,2
56,0580600001,0
57,0581359002,1
58,0581359005,0
59,0581363001,0
60,0581363005,1
61,0581363010,1
62,0581363013,0
63,0581363016,0
64,0581363018,0
65,0581408001,0
66,0581408004,1
67,0585580002,2
68,0586955001,0
69,0586955003,1
70,0586955009,1
71,0586955016,0
72,0586955019,1
73,0586955022,1
74,0586955023,1
75,0586955026,1
76,0586955028,1
77,0586955029,1
78,0586955032,0
79,0587704001,1
80,0587704003,1
81,0587754001,2
82,0592726001,0
83,0592726005,0
84,0594453001,2
85,0594846001,2
86,0596869001,2
87,0599703003,1
88,0599725001,2
89,0599736001,2
90,0600876001,1
91,0609638001,0
92,0609639001,0
93,0609639002,1
94,0609639003,0
95,0609639004,0
96,0609760001,0
97,0611201001,1
98,0611201003,0
99,0613811001,0
100,0613811002,1
101,0619215004,0
102,0623370001,1
103,0623370002,1
104,0623370003,0
105,0623370004,1
106,0623370006,1
107,0623374001,0
108,0623374003,1
109,0623374005,1
110,0623374007,1
111,0623374008,1
112,0623374009,1
113,0624002002,0
114,0624002007,1
115,0624517001,0
116,0624662001,1
117,0624662002,0
118,0627307001,1
119,0629992003,1
120,0638358001,1
121,0638358002,1
122,0640695001,0
123,0640695003,0
124,0647956001,0
125,0647956002,0
126,0647956003,0
127,0650418001,1
128,0650506001,0
129,0650506002,0
130,0650506004,1
131,0650506007,0
132,0650506008,0
133,0653234001,0
134,0653234002,1
135,0653499001,1
136,0653499002,0
137,0653499003,0
138,0658979001,1
139,0660836001,0
140,0660836002,1
141,0663385001,1
142,0666957002,0
143,0671249001,0
144,0671937001,1
145,0671937002,0
146,0671937003,0
147,0673918001,1
148,0674291001,0
149,0678814001,0
150,0679011003,0
151,0679011004,1
152,0679011009,0
153,0679011010,0
154,0679011015,1
155,0679011016,0
156,0679011018,1
157,0679011019,0
158,0679012002,0
159,0679012003,1
160,0679012004,1
161,0679012008,0
162,0682882001,1
163,0683255001,0
164,0684305001,0
165,0684305002,0
166,0685358001,1
167,0685358007,0
168,0685358008,1
169,0685361001,0
170,0687388002,0
171,0687388003,1
172,0689134001,1
173,0689134002,1
174,0689134003,0
175,0689134004,0
176,0695148001,0
177,0697689001,1
178,0698384001,0
179,0700832001,1
180,0701308001,0
181,0701308002,1
182,0701407002,0
183,0701407003,0
184,0701420001,0
