,article_id,cluster
0,0179950001,2
1,0179950002,0
2,0179950017,1
3,0183815013,0
4,0224606019,0
5,0224606022,1
6,0224606025,0
7,0224606031,0
8,0302334001,2
9,0302334003,0
10,0302334005,2
11,0337991001,1
12,0337991002,0
13,0337991005,0
14,0337991006,0
15,0337991007,0
16,0337991009,0
17,0337991010,0
18,0338016001,2
19,0338016003,2
20,0338016009,0
21,0338016011,0
22,0347182012,0
23,0347200001,1
24,0349669005,1
25,0349669006,1
26,0349669007,2
27,0349669008,2
28,0367376002,2
29,0388573002,1
30,0388916006,1
31,0416387001,2
32,0416387002,2
33,0417855001,1
34,0453345001,1
35,0453358001,0
36,0453358002,0
37,0453358003,2
38,0453358007,0
39,0453358011,0
40,0453585003,0
41,0453585007,2
42,0453585008,1
43,0453585009,2
44,0453585014,0
45,0453585016,0
46,0458083003,0
47,0458083005,0
48,0458083007,0
49,0464610001,1
50,0464610002,0
51,0467738001,2
52,0467738002,2
53,0467738003,2
54,0481696001,1
55,0481696002,0
56,0516859001,0
57,0516859002,2
58,0516859007,0
59,0516859008,0
60,0516859013,0
61,0516859015,0
62,0516951001,1
63,0516951003,0
64,0522518001,2
65,0522518002,2
66,0538438002,0
67,0538594001,0
68,0544181001,2
69,0544181002,0
70,0544182001,1
71,0548563001,2
72,0550392001,2
73,0553139001,1
74,0553139002,1
75,0554792001,0
76,0554792003,2
77,0554792004,0
78,0555564002,0
79,0555564004,1
80,0562133001,1
81,0562211001,0
82,0562211002,0
83,0562211003,1
84,0562211011,0
85,0562211012,0
86,0562211013,2
87,0562657001,2
88,0562657002,0
89,0562657003,0
90,0562657004,0
91,0562657006,0
92,0562657007,0
93,0564326001,1
94,0564866001,1
95,0564877001,1
96,0564877003,0
97,0565264001,2
98,0575944001,0
99,0575944002,0
100,0577430001,1
101,0579410002,2
102,0579410003,0
103,0579454003,1
104,0581378002,1
105,0588037001,0
106,0588966001,1
107,0589748001,2
108,0589748004,0
109,0589748005,0
110,0589748006,0
111,0589748012,0
112,0593868002,1
113,0600059001,0
114,0605044001,1
115,0606391001,0
116,0606660001,2
117,0612420001,0
118,0612420006,2
119,0617067001,0
120,0617690001,0
121,0620179001,0
122,0624800001,2
123,0624800002,2
124,0624800003,0
125,0625077001,2
126,0638256003,0
127,0638282001,0
128,0638494001,2
129,0638495002,0
130,0638532001,0
131,0638532003,2
132,0638533001,0
133,0641204001,1
134,0643355001,0
