,article_id,cluster
0,0184121021,2
1,0205225001,2
2,0256511038,1
3,0256511039,1
4,0329052020,1
5,0351462009,1
6,0458543001,2
7,0458543003,1
8,0458543004,0
9,0458543005,0
10,0458543007,0
11,0458543009,0
12,0467174006,1
13,0492245002,1
14,0492245005,1
15,0492245009,2
16,0492245010,0
17,0492245014,0
18,0492567002,1
19,0492899005,1
20,0492899008,1
21,0497247003,1
22,0497247004,1
23,0506183001,1
24,0506190002,1
25,0506190003,2
26,0506190005,2
27,0506205001,1
28,0508457001,1
29,0508457002,1
30,0508463002,1
31,0510208001,1
32,0510208003,1
33,0510278002,1
34,0510278003,1
35,0510283001,1
36,0510283002,1
37,0510295001,1
38,0510295004,1
39,0510314002,1
40,0521779002,1
41,0523391002,1
42,0523465002,1
43,0524494002,1
44,0528374001,1
45,0530544002,1
46,0542447001,1
47,0542464001,0
48,0542464002,1
49,0542464003,0
50,0542464004,0
51,0543141002,2
52,0543141003,2
53,0551370001,1
54,0551370002,1
55,0551370003,2
56,0559607002,0
57,0559607003,2
58,0559607008,2
59,0559607009,2
60,0559616001,2
61,0559616002,0
62,0559616006,2
63,0559616009,2
64,0559616013,0
65,0559616014,0
66,0559616017,0
67,0559616020,0
68,0559616028,0
69,0559619001,1
70,0559619002,2
71,0559619003,2
72,0559619004,2
73,0559619005,0
74,0559630001,1
75,0559630002,2
76,0559630003,2
77,0559630004,2
78,0559630007,2
79,0559630008,0
80,0559630009,0
81,0559630011,0
82,0559630013,0
83,0559630014,2
84,0559630018,0
85,0559630019,0
86,0559630020,0
87,0559630026,2
88,0559630027,2
89,0559630029,2
90,0559642001,1
91,0559642003,0
92,0559649001,1
93,0559649002,2
94,0559717001,0
95,0559717004,1
96,0559717006,2
97,0560203001,1
98,0560208001,0
99,0560208003,1
100,0560208004,2
101,0560208005,2
102,0560208006,2
103,0560213001,1
104,0560213002,0
105,0560213003,2
106,0560213004,0
107,0560216002,1
108,0560221002,0
109,0560221004,0
110,0560221006,2
111,0560221011,2
112,0560221012,2
113,0560221025,2
114,0563204001,0
115,0567718001,1
116,0567718003,1
117,0567718007,1
118,0567728001,1
119,0567728002,1
120,0567728006,2
121,0567728012,2
122,0567731001,1
123,0567731002,1
124,0568570001,1
125,0568570002,2
126,0568572001,1
127,0568573001,2
128,0568573002,1
129,0569045001,1
130,0571451001,1
131,0575630001,2
132,0576692001,1
133,0576692002,2
134,0576692003,2
135,0582480001,1
136,0582480004,1
137,0582480005,2
138,0582480006,2
139,0582480013,2
140,0582480015,2
141,0582480016,0
142,0582480023,0
143,0582480024,0
144,0582480026,0
145,0582480027,0
146,0582480032,0
147,0584611001,1
148,0584611002,2
149,0585130001,2
150,0585130002,2
151,0585130003,2
152,0585130004,0
153,0585130007,0
154,0586007001,2
155,0586007002,0
156,0586007003,0
157,0586244001,2
158,0586273001,1
159,0586273002,2
160,0587115001,1
161,0587134001,2
162,0587228001,0
163,0587228002,0
164,0588588004,0
165,0588588010,0
166,0588588012,2
167,0588593001,1
168,0589599001,2
169,0589599002,1
170,0589599003,2
171,0589599004,2
172,0589599008,2
173,0589599009,2
174,0589599010,2
175,0589599014,2
176,0589599016,2
177,0589599017,2
178,0589599021,2
179,0589599022,2
180,0589599027,0
181,0589599030,0
182,0589599031,0
183,0589599033,0
184,0589599035,0
185,0589599036,0
186,0589599037,0
187,0589599040,0
188,0589599042,0
189,0589599045,0
190,0589599047,0
191,0589599049,0
192,0589783001,2
193,0589783002,2
194,0589808001,2
195,0590919001,2
196,0590919002,2
197,0590919006,0
198,0590919007,0
199,0590928001,0
200,0590928004,2
201,0590928011,0
202,0590928013,0
203,0590928019,0
204,0590928020,0
205,0590928022,0
206,0590928023,0
207,0590928025,0
208,0591772001,1
209,0591787002,2
210,0595147001,2
211,0595209001,0
212,0595274001,0
213,0595311001,2
214,0595311002,2
215,0600043001,1
216,0600043002,1
217,0600043005,2
218,0600043007,2
219,0600043010,0
220,0600043011,0
221,0600372001,2
222,0600372002,2
223,0600931001,0
224,0600931002,0
225,0607030001,0
226,0607030002,2
227,0607030006,0
228,0607030008,0
229,0607159001,1
230,0607159002,1
231,0609332001,2
232,0609332002,2
233,0609715002,2
234,0609719001,2
235,0609719002,2
236,0609719003,2
237,0609719005,2
238,0610017001,2
239,0610049002,2
240,0610049004,2
241,0610053001,2
242,0610053004,2
243,0610056001,0
244,0610058001,2
245,0610184001,2
246,0610184002,0
247,0610249001,2
248,0610479001,2
249,0610479002,2
250,0610479005,2
251,0610479006,2
252,0610590001,2
253,0610590002,2
254,0610840001,2
255,0610840005,0
256,0612004001,2
257,0612004002,2
258,0612004006,2
259,0612175001,2
260,0613993001,1
261,0615936002,2
262,0615936003,2
263,0615939001,2
264,0615939006,2
265,0615939007,0
266,0615988002,2
267,0615988003,2
268,0615988004,2
269,0616088001,2
270,0616088002,2
271,0616088013,2
272,0616098001,2
273,0616101001,2
274,0619674003,1
275,0620907003,0
276,0620907005,2
277,0620963001,2
278,0620963002,2
279,0620963003,2
280,0620963004,2
281,0621363001,2
282,0621363002,2
283,0621759001,2
284,0621759002,2
285,0621759003,2
286,0621759009,2
287,0622242002,2
288,0622242003,2
289,0622598001,0
290,0622710001,2
291,0623888001,2
292,0624412001,0
293,0624412003,2
294,0627147001,0
295,0627147002,2
296,0628734001,2
297,0628734006,2
298,0628734007,2
299,0628734008,2
300,0629605003,0
301,0629605005,0
302,0629746002,2
303,0629746006,0
304,0629746008,0
305,0629771001,0
306,0629771002,2
307,0632290001,2
