,article_id,cluster
0,0241590001,3
1,0241602003,3
2,0241602018,3
3,0241602024,3
4,0241602027,3
5,0241602028,2
6,0360859003,1
7,0360859004,1
8,0360859006,1
9,0427558001,2
10,0427558004,2
11,0427558009,2
12,0444404001,1
13,0451286002,1
14,0451290003,2
15,0451290005,3
16,0451290006,2
17,0451290008,0
18,0451290009,3
19,0451290010,2
20,0451290015,2
21,0451294002,1
22,0497352001,1
23,0497353004,1
24,0497358001,1
25,0497361001,1
26,0497366003,2
27,0497369001,1
28,0499523002,1
29,0499523003,1
30,0499523004,1
31,0499967001,1
32,0500262002,1
33,0501286001,2
34,0501286002,1
35,0501288005,1
36,0501291001,1
37,0501301001,1
38,0503095001,1
39,0503095005,1
40,0504335001,1
41,0504347002,3
42,0504347006,1
43,0504347009,0
44,0504413001,0
45,0504413002,1
46,0504415001,1
47,0506221001,1
48,0516777001,1
49,0516778001,3
50,0517943001,2
51,0517945001,1
52,0518827002,1
53,0518827004,1
54,0518827008,3
55,0519079001,1
56,0519079006,1
57,0522747001,1
58,0523915001,1
59,0528003001,1
60,0528163001,1
61,0528746001,1
62,0529101001,1
63,0529120001,1
64,0529122001,1
65,0531228001,1
66,0532999001,1
67,0535783001,2
68,0535783003,2
69,0536656001,1
70,0538634001,1
71,0543595001,1
72,0543689001,1
73,0543689002,1
74,0543689003,1
75,0543689004,1
76,0544010002,1
77,0546944001,1
78,0547213004,1
79,0547220001,1
80,0547518001,2
81,0547518002,1
82,0551821001,1
83,0551821003,1
84,0553092001,1
85,0553092003,1
86,0553092007,1
87,0553092012,0
88,0553092013,0
89,0553092014,2
90,0553092016,2
91,0553092017,2
92,0553092018,2
93,0553092021,2
94,0553092023,2
95,0554704004,2
96,0554704005,3
97,0554704006,3
98,0554704007,3
99,0554704009,0
100,0555362001,1
101,0555386001,0
102,0555986002,1
103,0556403001,1
104,0556424001,1
105,0558070008,2
106,0558235001,1
107,0560183001,1
108,0560183002,1
109,0560183004,2
110,0560559001,1
111,0563172001,1
112,0564415003,1
113,0565668003,1
114,0565788005,1
115,0565852001,1
116,0565935001,1
117,0565935002,1
118,0566464001,1
119,0567422001,3
120,0568349002,1
121,0568601006,3
122,0568601007,2
123,0568601008,3
124,0568601012,1
125,0568601013,1
126,0568601016,2
127,0568601018,3
128,0568601019,3
129,0568601020,2
130,0568601022,2
131,0568601023,0
132,0568601024,2
133,0568601026,2
134,0568601029,2
135,0568601030,0
136,0568601031,2
137,0568601033,2
138,0568601034,2
139,0568601037,2
140,0568601038,2
141,0568601043,2
142,0568601044,2
143,0568601045,2
144,0568761002,1
145,0568761005,1
146,0570232001,1
147,0570232002,3
148,0570240003,3
149,0570240005,3
150,0570242001,3
151,0573679001,1
152,0575460001,3
153,0575460006,2
154,0575460008,2
155,0575460009,2
156,0575460010,2
157,0575461001,3
158,0575471001,3
159,0575473001,1
160,0576657001,1
161,0577759001,1
162,0577759003,2
163,0578474001,3
164,0578474006,3
165,0578474007,2
166,0578487002,3
167,0578487004,3
168,0578487005,3
169,0578487006,2
170,0578487011,2
171,0578487012,2
172,0578487013,2
173,0578487014,2
174,0578487015,2
175,0578593001,1
176,0579167001,1
177,0579167002,3
178,0581121001,1
179,0586203001,0
180,0586203002,3
181,0586207001,1
182,0586207004,1
183,0588245001,3
184,0588245004,2
185,0588245006,0
186,0588251002,3
187,0589410001,1
188,0589771003,1
189,0589833001,1
190,0590696001,1
191,0591914001,1
192,0591914003,1
193,0593009001,0
194,0593758002,1
195,0593773001,1
196,0593773002,2
197,0595979003,3
198,0595979004,2
199,0596274001,1
200,0598634004,3
201,0598636001,3
202,0599965005,0
203,0601471001,2
204,0602232001,1
205,0602232002,3
206,0604185007,2
207,0604189001,2
208,0604189003,3
209,0604189004,0
210,0604190001,3
211,0604253001,1
212,0606317001,2
213,0606317002,2
214,0607288001,1
215,0607564001,1
216,0607564004,0
217,0607564005,2
218,0607564006,2
219,0607564007,3
220,0607912001,1
221,0607912002,1
222,0607917001,1
223,0608519001,1
224,0608769002,2
225,0608769005,0
226,0608769009,0
227,0609828001,2
228,0609931001,2
229,0610465001,2
230,0610571001,2
231,0610986001,0
232,0611745001,3
233,0611745004,3
234,0611745008,3
235,0611939001,1
236,0612664001,1
237,0612788003,1
238,0613544001,2
239,0614626001,1
240,0615176001,3
241,0615217001,0
242,0615217003,3
