,article_id,cluster
0,0204892024,1
1,0204892029,1
2,0234187001,2
3,0234187030,1
4,0290022001,1
5,0294237001,1
6,0358383017,1
7,0358383021,1
8,0391032005,0
9,0391032007,1
10,0391032009,2
11,0391032010,2
12,0391032011,2
13,0425173001,2
14,0425683014,1
15,0425683015,1
16,0463117006,0
17,0463117010,2
18,0472243006,1
19,0475069002,1
20,0480812001,1
21,0480812004,2
22,0480812007,2
23,0499393004,1
24,0500314001,1
25,0500815003,1
26,0511555002,1
27,0518131005,2
28,0524458002,2
29,0524458010,2
30,0524458013,0
31,0532683001,1
32,0542352001,0
33,0542352002,1
34,0542352005,1
35,0542352006,0
36,0542352007,0
37,0542352008,0
38,0544513001,1
39,0544513002,1
40,0544513003,1
41,0544513004,2
42,0544515001,2
43,0544515002,0
44,0544515003,2
45,0544515004,1
46,0544515005,2
47,0546788001,2
48,0546798001,1
49,0546798004,2
50,0546798008,1
51,0546798009,2
52,0546799001,1
53,0546799002,1
54,0555340001,1
55,0555340003,0
56,0555340004,2
57,0555340011,0
58,0555694003,1
59,0555694004,1
60,0555694020,1
61,0560827002,2
62,0562150001,1
63,0562150002,1
64,0562150010,2
65,0562150019,1
66,0562150022,1
67,0562150023,2
68,0562150025,2
69,0562161002,2
70,0562161003,1
71,0562165001,1
72,0562165002,1
73,0562281002,1
74,0562326001,1
75,0562326003,1
76,0562326004,2
77,0562326005,1
78,0562326009,1
79,0562326010,1
80,0562326012,1
81,0562326014,1
82,0562326017,2
83,0562326019,2
84,0562341001,1
85,0563191001,2
86,0565430001,1
87,0565430002,2
88,0565430003,1
89,0565430005,1
90,0565430006,1
91,0565430007,1
92,0571987001,1
93,0571987003,2
94,0577330002,1
95,0577330003,1
96,0577330006,1
97,0577330011,2
98,0578764001,2
99,0583431001,1
100,0586904003,2
101,0586904004,0
102,0587099002,2
103,0587099003,1
104,0587099004,1
105,0587107001,1
106,0587107002,2
107,0588334001,0
108,0588334005,1
109,0593820001,1
110,0593820005,1
111,0593820008,1
112,0593820015,1
113,0594421001,1
114,0597696001,1
115,0599812001,1
116,0599812004,1
117,0599958001,0
118,0601026001,1
119,0603029001,1
120,0603781001,0
121,0606025002,0
122,0606025003,0
123,0606025004,0
124,0608061001,1
125,0612170001,0
126,0612170002,2
127,0616962001,2
128,0616963001,1
129,0616963002,1
130,0616964001,2
131,0617052001,1
132,0617891003,0
133,0618690001,0
134,0618690002,2
135,0618690003,2
136,0618690004,2
137,0618700001,0
138,0621768001,1
139,0621768002,1
140,0621768004,1
141,0621947001,1
142,0623363002,1
143,0623900001,2
144,0625068001,0
145,0625068002,2
146,0625068004,2
147,0625068007,2
148,0625068009,2
149,0625069001,2
150,0626683001,2
151,0626683002,2
152,0626683003,2
153,0627210001,2
154,0627210002,2
155,0627210003,2
156,0628750001,1
157,0628750002,2
158,0628750003,2
159,0632088002,1
160,0632088003,2
161,0632088004,1
162,0632088005,2
163,0632138002,1
164,0632456001,2
165,0633148001,0
166,0633148002,0
167,0633148003,0
168,0633148004,0
169,0633148011,2
170,0633148015,0
171,0633148017,2
172,0633992001,0
173,0635146001,2
174,0635146002,0
175,0635146009,2
176,0636803001,1
177,0636803002,1
178,0638058001,0
179,0639954001,1
180,0639954002,2
181,0639954003,0
182,0642526001,2
183,0645485001,1
184,0645485002,0
185,0645485003,1
186,0645485004,1
187,0649327001,0
188,0650071001,1
189,0653542001,2
190,0653542003,2
191,0655046001,2
192,0655046002,0
193,0655046005,0
194,0655739001,2
195,0659699001,2
196,0659699002,2
197,0660112001,0
198,0660112003,0
199,0660175001,2
200,0665417001,2
201,0671026001,0
202,0674714001,0
203,0681121001,2
204,0681121002,0
205,0681754002,2
206,0682075001,2
207,0682075002,0
208,0682075003,0
209,0682075005,0
210,0682076001,0
211,0682076002,0
212,0682076003,0
213,0682076004,0
214,0682076005,0
215,0682076007,0
216,0682076008,0
217,0682076012,0
218,0682260001,0
219,0682260002,0
220,0682260003,0
221,0682260006,0
222,0682260008,0
223,0684063001,0
224,0684084001,0
225,0684084002,0
226,0684084003,0
227,0684085001,0
228,0684085004,0
229,0684085005,0
230,0685069001,2
231,0690343001,2
232,0690948001,0
233,0690969001,0
234,0691713001,0
235,0691713005,0
236,0694659001,0
237,0694659003,0
238,0694659011,0
239,0694659016,0
240,0694659017,0
241,0694659018,0
242,0694659019,0
243,0694659020,0
244,0694659021,0
245,0694659025,0
246,0694659027,0
247,0694659028,0
248,0694659037,0
249,0694659043,0
250,0694659044,0
251,0694659045,0
252,0694659046,0
253,0694659049,0
254,0694659051,0
255,0694665002,0
256,0694665007,0
257,0694665009,0
258,0694665011,0
259,0694739001,0
260,0694739002,0
261,0694739003,0
262,0694739004,0
263,0694739006,0
264,0694739007,0
265,0694739008,0
266,0694739010,0
267,0694739014,0
268,0694739020,0
269,0694739021,0
270,0694739022,0
271,0694739023,0
272,0694739024,0
273,0694739028,0
274,0694739029,0
275,0694739030,0
276,0694739032,0
277,0694739033,0
278,0694739042,0
279,0694739044,0
280,0694739047,0
281,0694739048,0
282,0694739051,0
283,0694739062,0
284,0695801001,2
285,0695803002,1
286,0695803003,2
287,0695803004,1
288,0695803006,1
289,0695803007,0
290,0696356003,0
291,0696356004,0
292,0696356005,0
293,0696356006,0
294,0696356008,0
295,0696356009,0
296,0696356011,0
297,0696356013,0
298,0696356019,0
299,0696356022,0
300,0696356026,0
301,0699003002,0
302,0699003003,0
303,0699003004,0
304,0699003005,0
305,0700965001,2
306,0702634001,2
307,0702634002,0
308,0702634003,0
309,0702634004,0
310,0702634007,0
311,0703449001,2
312,0703449002,2
313,0703626001,0
314,0703626002,0
315,0703796001,2
316,0703796002,0
317,0703796003,0
318,0704132002,0
319,0704133001,0
320,0707246001,0
321,0708030001,0
322,0708030003,0
323,0708623001,0
324,0709437001,1
325,0710685004,0
326,0710695001,0
327,0710695002,0
328,0710695004,0
329,0710695005,0
330,0710695006,0
331,0710695008,0
332,0710695011,0
333,0710695012,0
334,0710695013,0
335,0710695014,0
336,0710695015,1
337,0710695022,0
338,0711170001,0
339,0713470001,0
340,0716070001,0
341,0716224001,0
342,0716224002,0
343,0716401001,0
344,0717708001,0
345,0718414001,1
346,0718418001,1
347,0718418002,1
348,0721214001,0
349,0723570001,2
350,0724154001,0
351,0724154003,0
352,0724154004,0
353,0724154005,0
354,0724154006,0
355,0724154009,0
356,0726393001,0
357,0726393005,0
358,0726393006,0
359,0726393008,0
360,0728016001,0
361,0728992001,0
362,0730462001,0
363,0731159001,0
364,0731159002,0
365,0731159003,0
366,0731159005,0
367,0732675001,0
368,0734553001,0
369,0737468001,0
370,0737468003,0
371,0737468004,0
372,0737468005,0
373,0738331001,0
374,0739421001,1
375,0739873003,0
376,0739873004,0
377,0739875001,0
378,0739875002,0
379,0740299001,0
380,0740299002,0
381,0740549001,0
382,0741537001,0
383,0742139001,0
384,0742139002,0
385,0742139003,0
386,0742139006,0
387,0742139008,0
388,0742189001,0
389,0742366001,0
390,0742367001,0
391,0743206001,0
392,0743686001,0
393,0744093001,0
394,0745267001,0
395,0745480001,0
396,0745482001,0
397,0745495001,0
398,0748776002,0
399,0751321001,0
400,0753779001,0
401,0753883001,0
402,0753883002,0
403,0754429001,0
404,0756391001,0
405,0756699001,0
406,0759040001,0
407,0760100001,0
408,0760107001,0
409,0763157001,1
410,0763157004,1
411,0763157005,1
412,0763157006,1
413,0767206001,0
414,0769517001,0
415,0780647001,1
416,0781570001,0
417,0781570002,0
418,0781570004,0
419,0781570010,0
420,0781570014,0
421,0781588001,0
422,0781745001,0
423,0783359001,0
424,0783359002,0
425,0783359006,0
426,0783359011,0
427,0783359013,0
428,0783359014,0
429,0783418003,0
430,0783418005,0
431,0783418006,0
432,0783418008,0
433,0783418010,0
434,0783418011,0
435,0783521001,0
436,0784347001,0
437,0784347003,0
438,0784347008,0
439,0784474001,0
440,0784474003,0
441,0785623001,0
442,0785796001,0
443,0785796002,0
444,0786102001,0
445,0786104001,0
446,0787523001,0
447,0787523002,0
448,0788696001,0
449,0788696002,0
450,0788696003,0
451,0797980001,0
452,0797980002,0
453,0797980003,0
454,0797985001,0
455,0798577001,0
456,0798577002,0
457,0801895001,0
458,0801974001,0
459,0801974003,0
460,0801974004,0
461,0801981001,0
