,article_id,cluster
0,0423539001,2
1,0423539003,2
2,0557048001,0
3,0557048002,0
4,0682261004,2
5,0682261020,2
6,0695803009,2
7,0695803011,2
8,0695803012,2
9,0727947003,2
10,0727947005,2
11,0727947006,2
12,0730901001,2
13,0731383009,2
14,0731383010,2
15,0732409003,2
16,0732409036,2
17,0732409040,2
18,0732409050,2
19,0742735001,2
20,0742735002,2
21,0764751002,0
22,0766356001,1
23,0771328003,2
24,0771328004,2
25,0771328005,2
26,0776493002,0
27,0776493004,2
28,0776532002,2
29,0776532008,2
30,0778371002,2
31,0785313001,1
32,0785889001,2
33,0785889002,2
34,0786271001,0
35,0786271002,0
36,0786271004,2
37,0786271007,0
38,0798512001,2
39,0822495001,2
40,0822495007,2
41,0822495011,2
42,0824748006,2
43,0824748007,2
44,0825744001,2
45,0825744002,2
46,0825744003,2
47,0825783010,2
48,0835340003,2
49,0854286001,2
50,0871495001,2
51,0903366001,0
52,0903366002,0
53,0903366003,0
54,0903366004,0
55,0937627001,2
