,article_id,cluster
0,0404609007,12
1,0407031005,11
2,0425526003,2
3,0445358009,3
4,0445358012,6
5,0463285007,3
6,0470111002,3
7,0471456001,3
8,0471456002,3
9,0477909005,2
10,0479232009,3
11,0482207006,3
12,0482207007,3
13,0482207009,3
14,0482207013,5
15,0482207016,5
16,0482209001,3
17,0482221006,12
18,0485591001,1
19,0485591004,6
20,0486755001,11
21,0488137002,9
22,0488137003,7
23,0488178001,9
24,0498543004,3
25,0498543005,3
26,0500399001,11
27,0500399003,3
28,0500427006,5
29,0502393003,6
30,0502589002,5
31,0503679002,3
32,0505091001,11
33,0505091002,11
34,0505765001,5
35,0506269001,3
36,0506269002,11
37,0509038004,6
38,0509097003,3
39,0509097004,5
40,0509551005,5
41,0510014002,1
42,0510017001,3
43,0510017004,3
44,0510045001,11
45,0510045005,3
46,0510045006,3
47,0510556002,3
48,0510789001,11
49,0510789002,11
50,0510933005,12
51,0510933006,12
52,0511414001,6
53,0511414002,7
54,0511965001,6
55,0512008004,6
56,0512027001,3
57,0512027002,3
58,0512031001,3
59,0512190003,3
60,0513195001,11
61,0513195002,5
62,0514577007,13
63,0514577008,4
64,0514577009,4
65,0514577010,6
66,0514577012,4
67,0514577013,7
68,0514577014,9
69,0514577015,4
70,0514577017,13
71,0514691001,3
72,0514691003,11
73,0514691006,3
74,0514825001,5
75,0514937001,3
76,0519818001,3
77,0519853004,3
78,0519894002,3
79,0519925001,3
80,0519925002,11
81,0521023001,3
82,0521023002,11
83,0521023003,3
84,0521023004,3
85,0522846001,12
86,0523533003,5
87,0523552002,3
88,0523635005,11
89,0525096004,3
90,0526599001,1
91,0527792004,12
92,0528344004,5
93,0528344006,3
94,0528344007,3
95,0528344008,3
96,0528622002,12
97,0528648003,1
98,0529588001,5
99,0529588002,5
100,0529588005,3
101,0529588006,3
102,0530054002,11
103,0530776001,5
104,0531710001,12
105,0532846001,5
106,0532970001,2
107,0533157001,6
108,0534044001,11
109,0534044003,2
110,0534044004,11
111,0534044005,3
112,0534044007,5
113,0534044009,2
114,0534046001,3
115,0534046002,1
116,0534047001,11
117,0534047002,11
118,0534047003,12
119,0534533001,5
120,0535455001,5
121,0535455002,1
122,0535455003,5
123,0535478001,6
124,0535478002,2
125,0535478003,3
126,0535478004,11
127,0535478005,2
128,0535480001,3
129,0535480002,5
130,0535480003,3
131,0535876002,2
132,0537619001,5
133,0538272001,11
134,0538272002,11
135,0538272004,11
136,0538275001,3
137,0538275003,11
138,0538275004,11
139,0539446001,5
140,0539446002,3
141,0539466001,5
142,0539467002,5
143,0539469001,5
144,0541253001,5
145,0541742001,2
146,0542010001,12
147,0542010002,2
148,0542010005,12
149,0542016001,9
150,0542033001,12
151,0542161001,3
152,0542708009,3
153,0543287005,3
154,0543352005,3
155,0543352006,3
156,0543352007,3
157,0543355003,5
158,0544949001,5
159,0545429002,6
160,0545429003,12
161,0545429005,1
162,0545720001,3
163,0545720002,3
164,0546035003,11
165,0546392003,3
166,0546392004,11
167,0546401001,3
168,0546660001,11
169,0546661001,1
170,0546662001,5
171,0546663001,2
172,0546666003,3
173,0546667003,11
174,0546667004,5
175,0547570002,3
176,0547623003,5
177,0547642001,2
178,0548352006,3
179,0548531001,5
180,0548531002,5
181,0548531003,5
182,0548869002,5
183,0548932002,4
184,0548932005,4
185,0548932006,7
186,0548932008,9
187,0548946001,7
188,0548963001,8
189,0548964001,7
190,0548968001,4
191,0548969001,13
192,0549164002,3
193,0549285001,3
194,0549706001,3
195,0549706003,6
196,0549777002,1
197,0549855002,3
198,0549855003,3
199,0549917002,2
200,0550384001,11
201,0550384002,3
202,0550384003,3
203,0551839001,9
204,0552830001,3
205,0554716001,12
206,0554716002,2
207,0554716003,3
208,0554716004,3
209,0554758002,1
210,0554817001,3
211,0555055001,2
212,0555055002,11
213,0555055005,3
214,0555367001,12
215,0555367002,5
216,0555367003,5
217,0555367004,12
218,0555367005,8
219,0555367007,2
220,0555684001,3
221,0555684002,5
222,0555941003,3
223,0555945002,6
224,0555946002,12
225,0555946004,12
226,0555946006,12
227,0556379003,11
228,0557596001,12
229,0558370001,5
230,0558370003,5
231,0559061001,6
232,0559061002,6
233,0559061003,1
234,0559061004,9
235,0559192001,2
236,0559426001,1
237,0559426002,7
238,0559426003,7
239,0559426006,9
240,0559426008,7
241,0559532002,1
242,0559603001,5
243,0559603002,5
244,0559603003,3
245,0559618001,5
246,0559618002,5
247,0559669001,3
248,0559971001,5
249,0561078001,3
250,0561159001,11
251,0561347003,6
252,0561372001,3
253,0561416003,2
254,0561542018,6
255,0561542019,6
256,0561542020,13
257,0561542023,12
258,0561542024,5
259,0561549001,2
260,0562397001,11
261,0562397002,7
262,0562636001,12
263,0562636002,2
264,0562636007,3
265,0562637001,3
266,0563218001,5
267,0563493001,2
268,0563527001,11
269,0563527002,11
270,0564154001,13
271,0564419001,11
272,0564419002,11
273,0564420001,3
274,0564933001,11
275,0565820001,1
276,0566142002,11
277,0566370001,2
278,0566370003,2
279,0566374001,11
280,0566394003,3
281,0567291001,1
282,0567479001,11
283,0568568001,6
284,0569108002,3
285,0569108003,3
286,0569200001,2
287,0570166001,2
288,0570322004,3
289,0570325002,12
290,0570333001,5
291,0570333002,12
292,0570339001,2
293,0570365001,2
294,0570450001,12
295,0570450002,2
296,0570450003,11
297,0571044002,2
298,0571495001,13
299,0571529001,12
300,0571529002,12
301,0572128001,9
302,0572128002,6
303,0572128003,13
304,0572128004,7
305,0572128005,7
306,0572128007,1
307,0572128008,7
308,0572128010,7
309,0572128011,1
310,0572128013,6
311,0572261001,4
312,0572261002,13
313,0572261003,7
314,0572261004,9
315,0572829001,3
316,0573259002,5
317,0573814001,3
318,0573888001,1
319,0574546001,3
320,0574586001,1
321,0574677002,5
322,0574984001,5
323,0575957001,9
324,0576104001,5
325,0576104002,3
326,0576104005,2
327,0576224003,12
328,0576224004,3
329,0576224005,8
330,0576229001,12
331,0576636001,3
332,0576636002,3
333,0576698004,5
334,0576736001,3
335,0577318001,3
336,0577321001,9
337,0577327001,2
338,0577327002,7
339,0577498001,1
340,0577498002,9
341,0577498003,12
342,0577498004,13
343,0577498005,1
344,0577529001,3
345,0577529002,2
346,0577529004,12
347,0577638001,9
348,0577638003,12
349,0578020001,9
350,0578020002,12
351,0578020003,11
352,0578020004,12
353,0578020007,6
354,0578186001,2
355,0579198001,3
356,0579322001,11
357,0579322002,3
358,0579322004,5
359,0579365002,2
360,0579365003,9
361,0579365004,7
362,0579365006,5
363,0579366001,6
364,0579366003,7
365,0579366006,5
366,0579372001,5
367,0579372003,12
368,0579372004,6
369,0579372007,5
370,0579372008,2
371,0579373002,11
372,0579395001,11
373,0579395004,11
374,0579522001,6
375,0579535001,2
376,0579614001,8
377,0579614004,13
378,0579614006,9
379,0580318001,12
380,0580318002,9
381,0580667002,11
382,0580671001,1
383,0580674001,5
384,0580674002,3
385,0580674003,3
386,0580674009,3
387,0580674014,3
388,0580932001,5
389,0580932002,12
390,0580932004,12
391,0580932007,7
392,0580959001,2
393,0580959003,2
394,0581124001,1
395,0582001001,3
396,0582071002,3
397,0582073001,11
398,0582073002,3
399,0582110001,12
400,0582245001,2
401,0582388001,3
402,0582388002,3
403,0582577001,12
404,0582577002,3
405,0582577004,2
406,0582577005,5
407,0582737001,7
408,0582737004,11
409,0582762001,7
410,0583417001,6
411,0583417002,6
412,0583417003,5
413,0583448002,4
414,0583448003,4
415,0583647001,6
416,0583647002,5
417,0583725001,3
418,0583776004,5
419,0584104003,7
420,0584104004,4
421,0584200005,7
422,0584200006,7
423,0584427001,13
424,0584447001,11
425,0584449001,2
426,0584449002,3
427,0584449005,3
428,0584483001,5
429,0584483002,12
430,0584483003,12
431,0584483004,5
432,0584510003,13
433,0584510005,4
434,0584757001,2
435,0584757002,11
436,0584891001,3
437,0585207001,5
438,0585207002,3
439,0585414001,9
440,0585656001,5
441,0585750001,5
442,0585750004,3
443,0585751001,5
444,0585751002,5
445,0585751003,1
446,0585751008,9
447,0585751009,13
448,0585773001,7
449,0585869003,1
450,0585877002,11
451,0585877014,6
452,0585886001,9
453,0586034001,5
454,0586333001,5
455,0586333002,3
456,0586418003,3
457,0586418004,12
458,0586648001,6
459,0586664003,13
460,0586664004,2
461,0586664005,6
462,0586664006,5
463,0586664009,9
464,0586664010,9
465,0586664011,12
466,0586664012,5
467,0586666001,6
468,0586669001,6
469,0586783001,12
470,0586814001,9
471,0586890001,5
472,0586892003,2
473,0586917001,5
474,0587096001,3
475,0587096004,2
476,0587096005,9
477,0587882001,5
478,0588104002,13
479,0588105001,3
480,0588155001,1
481,0588155002,6
482,0588198001,8
483,0588229001,6
484,0588229002,6
485,0588230001,7
486,0588231001,6
487,0588232001,4
488,0589120001,6
489,0589412001,5
490,0589839001,3
491,0590294001,6
492,0590299001,1
493,0590716001,12
494,0590717002,11
495,0590970001,3
496,0591385001,9
497,0591385006,5
498,0591736001,8
499,0591736002,9
500,0591736003,2
501,0591756001,12
502,0591756002,12
503,0592032001,5
504,0593049001,3
505,0593235001,2
506,0593320001,3
507,0593961002,2
508,0594018003,13
509,0594018004,11
510,0594069001,13
511,0594069002,6
512,0594069003,13
513,0594069005,13
514,0594194001,2
515,0594194005,5
516,0594348001,5
517,0594349001,3
518,0594349002,5
519,0594387001,6
520,0594387003,2
521,0594388001,3
522,0594388002,5
523,0594589001,11
524,0594618001,1
525,0594909002,3
526,0594909004,5
527,0594909005,1
528,0595196001,12
529,0595298001,1
530,0595366001,2
531,0595366002,3
532,0595366003,11
533,0595386002,3
534,0595386003,3
535,0595386007,3
536,0595402001,1
537,0595402002,4
538,0595411001,3
539,0596013001,13
540,0596028001,3
541,0596028004,1
542,0596028010,5
543,0596028011,2
544,0596119001,12
545,0596122001,3
546,0596122002,3
547,0596122003,3
548,0596122005,3
549,0596122006,1
550,0596268001,7
551,0596268002,9
552,0596344001,13
553,0596345001,12
554,0596346001,13
555,0596346002,6
556,0596346003,7
557,0596346004,4
558,0596548002,2
559,0596548003,12
560,0596548004,12
561,0596563001,5
562,0596563002,5
563,0596954001,5
564,0597384001,13
565,0597384002,2
566,0597384003,6
567,0597494003,13
568,0597494004,7
569,0597533001,1
570,0597596005,7
571,0597596006,13
572,0597628001,3
573,0597628002,5
574,0597646001,2
575,0597649001,3
576,0597649002,9
577,0597753001,7
578,0597753002,12
579,0597753003,12
580,0597753007,11
581,0597753008,11
582,0598167003,2
583,0598172002,11
584,0598186002,3
585,0598720002,12
586,0598734003,3
587,0598759002,13
588,0598877001,1
589,0599072001,12
590,0599083001,4
591,0599083002,9
592,0599083005,9
593,0599083009,13
594,0599628001,3
595,0599845002,1
596,0599903001,12
597,0600167001,5
598,0600167002,12
599,0600197002,12
600,0600197005,3
601,0600688001,5
602,0600688002,12
603,0601162001,7
604,0601618003,11
605,0602293001,5
606,0602293002,5
607,0602293003,5
608,0602318001,1
609,0602318002,1
610,0602716001,5
611,0602716002,7
612,0602716004,7
613,0602723001,13
614,0602733005,5
615,0602733006,7
616,0604454001,4
617,0604454004,4
618,0604454005,9
619,0605716003,5
620,0605767001,1
621,0605788001,7
622,0605788002,12
623,0605869001,6
624,0605882002,3
625,0605892001,5
626,0606274001,11
627,0606409001,1
628,0606738001,5
629,0606738002,5
630,0606738003,5
631,0607322001,12
632,0607322003,5
633,0607369002,4
634,0607369003,8
635,0607370003,13
636,0607392001,2
637,0607392002,12
638,0607392004,13
639,0607617002,12
640,0607645003,13
641,0607663001,5
642,0607664001,11
643,0607664003,5
644,0607665001,9
645,0607665002,7
646,0607666001,3
647,0607667002,7
648,0607667003,7
649,0607670001,4
650,0607670002,12
651,0607670005,7
652,0607703001,13
653,0607704001,7
654,0607704002,7
655,0607704003,9
656,0607704005,9
657,0607705002,13
658,0607705003,9
659,0607705005,7
660,0607712001,11
661,0607712002,4
662,0607713001,3
663,0607714001,4
664,0607769003,5
665,0607769004,5
