,article_id,cluster
0,0146706001,0
1,0146706004,0
2,0146706005,0
3,0147339034,2
4,0189383001,2
5,0189383014,1
6,0244269018,0
7,0244269019,0
8,0244269020,0
9,0285602012,0
10,0288575010,0
11,0288575011,0
12,0308154005,2
13,0308154007,1
14,0308154008,1
15,0308158008,0
16,0308158009,2
17,0308158014,0
18,0308158016,0
19,0312058003,0
20,0345815002,0
21,0345830024,2
22,0345830025,1
23,0345830027,0
24,0345830028,1
25,0345830029,1
26,0345830031,0
27,0345830036,0
28,0345830037,0
29,0347975001,0
30,0347983037,2
31,0347983038,2
32,0347983039,2
33,0347983042,0
34,0347983043,0
35,0347983047,0
36,0348330026,0
37,0348330027,0
38,0348330031,0
39,0348330033,0
40,0348330037,0
41,0348330039,1
42,0348330041,0
43,0348330042,0
44,0348330043,0
45,0348330044,0
46,0348330045,0
47,0348330048,0
48,0348330049,1
49,0400456001,0
50,0418545001,2
51,0418545020,2
52,0418545036,2
53,0418545037,2
54,0462435006,0
55,0462435007,1
56,0462435008,0
57,0462435009,1
58,0462435011,0
59,0462435012,0
60,0462435013,0
61,0462435014,1
62,0462435015,1
63,0462435016,0
64,0462435017,1
65,0462435019,0
66,0462435020,0
67,0462435021,1
68,0462435022,0
69,0462435023,1
70,0462435024,1
71,0462435025,1
72,0462435026,1
73,0462435027,0
74,0462435028,0
75,0462435029,0
76,0462435030,0
77,0462435032,0
78,0462435035,0
79,0462435036,0
80,0466666003,2
81,0472064004,0
82,0472064005,2
83,0472064006,2
84,0472064008,2
85,0472064011,2
86,0472064012,2
87,0472064013,2
88,0472064015,2
89,0472064016,0
90,0472064018,0
91,0472064019,0
92,0472064020,0
93,0472064021,0
94,0472064022,1
95,0472064023,0
96,0473034001,2
97,0473034009,2
98,0473034010,0
99,0508843004,2
100,0523479002,2
101,0523479003,2
102,0523479004,2
103,0523479005,2
104,0523479006,2
105,0523479009,2
106,0523479014,2
107,0523479017,2
108,0523479018,2
109,0525563005,2
110,0525563010,2
111,0525563012,0
112,0525563013,0
113,0525563014,0
114,0525563015,0
115,0525563016,0
116,0525563017,0
117,0525563018,0
118,0525563019,1
119,0525563020,1
120,0525563021,1
121,0525563022,0
122,0525563023,0
123,0525563024,0
