,article_id,cluster
0,0500825003,0
1,0645486001,1
2,0645486002,1
3,0645486004,1
4,0652711003,1
5,0652711004,1
6,0668728001,1
7,0668728002,1
8,0668728003,1
9,0672904001,1
10,0675443003,1
11,0677445001,2
12,0701686001,1
13,0707830001,1
14,0718403001,1
15,0764820001,1
16,0764820002,1
17,0764820003,1
18,0766503001,1
19,0770237001,1
20,0783652001,1
21,0783660001,1
22,0783660002,1
23,0789577001,1
24,0789701001,1
25,0805970001,1
26,0805970002,1
27,0858320002,1
28,0887553001,1
29,0887553002,1
30,0947310001,1
