,article_id,cluster
0,0181160009,2
1,0258650001,1
2,0320880001,2
3,0331072001,1
4,0331072005,1
5,0401729001,1
6,0401729003,1
7,0420049002,1
8,0420049003,1
9,0453828001,1
10,0453828003,2
11,0458032003,1
12,0478943001,1
13,0478943003,1
14,0478944001,2
15,0481147001,2
16,0489217001,2
17,0489217003,2
18,0489217005,1
19,0489217006,2
20,0489217007,2
21,0493826001,1
22,0493826002,1
23,0493826004,1
24,0493995001,3
25,0495864001,1
26,0495864003,2
27,0499594001,1
28,0499598001,1
29,0500806001,1
30,0502224001,3
31,0502224007,1
32,0502621001,1
33,0502621002,2
34,0512630003,2
35,0512630004,1
36,0512630005,1
37,0512630006,3
38,0512630007,3
39,0512630008,1
40,0512631001,2
41,0514134001,1
42,0514134005,3
43,0514138001,2
44,0514157001,1
45,0516219001,1
46,0518980005,1
47,0519441002,1
48,0521978001,1
49,0521978002,1
50,0522044001,1
51,0522183001,1
52,0522560001,2
53,0523689004,1
54,0527718001,1
55,0530166001,0
56,0530166003,1
57,0533702001,1
58,0533835001,1
59,0535176001,2
60,0535176003,2
61,0537074001,1
62,0537076001,3
63,0537076003,2
64,0537076004,2
65,0537076006,3
66,0537076007,0
67,0539307001,2
68,0539499001,2
69,0539499002,1
70,0539744001,2
71,0542254001,1
72,0545107001,2
73,0545902001,2
74,0546251001,1
75,0546256001,3
76,0546256002,1
77,0546257001,1
78,0546482001,2
79,0547058001,1
80,0547058002,0
81,0550879001,1
82,0550879003,1
83,0550879007,1
84,0551097001,2
85,0551118001,2
86,0551713001,2
87,0551713003,0
88,0556584001,1
89,0556639001,2
90,0558702002,1
91,0558774001,2
92,0558901001,1
93,0558953001,0
94,0558953005,0
95,0559072001,2
96,0559076002,1
97,0559076004,0
98,0562746001,1
99,0562749001,2
100,0562763001,2
101,0562763002,2
102,0565090002,2
103,0565090003,1
104,0566301001,1
105,0566301002,2
106,0567456003,2
107,0568030002,2
108,0568030003,2
109,0568251001,2
110,0568251002,1
111,0568252001,1
112,0568253001,1
113,0568253002,2
114,0568520001,2
115,0570302001,2
116,0570303001,1
117,0570303003,3
118,0571198001,2
119,0571198002,1
120,0571202001,2
121,0576387003,1
122,0576387004,1
123,0577665001,1
124,0577775001,1
125,0577777001,2
126,0577888001,1
127,0577888002,1
128,0580465001,2
129,0583005001,2
130,0584382001,2
131,0584382002,1
132,0584771001,1
133,0584788001,2
134,0584793001,1
135,0587524001,1
136,0587524002,1
137,0589228001,2
138,0589228002,2
139,0589229002,1
140,0589229003,2
