,article_id,cluster
0,0216081011,5
1,0255396006,3
2,0255396007,3
3,0255396010,1
4,0255396018,1
5,0255396023,3
6,0255396024,1
7,0255396025,1
8,0255396033,3
9,0255396042,3
10,0290519008,5
11,0290519011,1
12,0290519014,2
13,0290519017,2
14,0290519019,2
15,0290519024,2
16,0301901001,3
17,0401020001,0
18,0401020005,3
19,0423103003,1
20,0440811001,3
21,0440811006,3
22,0440811010,3
23,0440811013,3
24,0440811023,3
25,0440811026,5
26,0446224001,2
27,0446224002,3
28,0446224010,3
29,0446224012,1
30,0446224014,3
31,0446224016,3
32,0446224019,3
33,0446224024,1
34,0446224026,3
35,0446224035,3
36,0446224036,3
37,0446224043,3
38,0453765004,3
39,0453765005,3
40,0453765006,5
41,0460302004,1
42,0468013001,3
43,0469682004,3
44,0469682008,0
45,0480579011,1
46,0481455002,1
47,0488064002,1
48,0488068001,1
49,0495616001,1
50,0495616004,1
51,0495616006,5
52,0495616007,3
53,0499142007,5
54,0499188004,1
55,0501902001,1
56,0504151001,1
57,0504151002,1
58,0504151003,1
59,0504151004,1
60,0504151005,1
61,0504151006,1
62,0504151011,1
63,0504152002,1
64,0504152003,1
65,0504152004,1
66,0504152009,3
67,0504152011,3
68,0504152012,3
69,0505222001,1
70,0505222003,1
71,0505224003,3
72,0505224004,1
73,0505224005,3
74,0505224010,2
75,0505224014,3
76,0505790002,1
77,0506503002,1
78,0506621001,0
79,0508837001,3
80,0508837007,1
81,0508837008,3
82,0510337003,1
83,0512231001,1
84,0512236001,1
85,0512254001,1
86,0514278001,1
87,0515136001,0
88,0515136002,2
89,0515136003,0
90,0515136004,0
91,0515136005,0
92,0519588001,1
93,0519588002,1
94,0519588003,1
95,0519588005,1
96,0519588006,1
97,0519718001,1
98,0519718007,3
99,0519773001,1
100,0519773002,1
101,0519773003,1
102,0519856002,1
103,0519856003,1
104,0519856007,1
105,0519856008,1
106,0520841001,1
107,0520841003,1
108,0522128001,1
109,0522372002,1
110,0522655001,1
111,0525581005,5
112,0525581006,5
113,0525581007,5
114,0525581008,5
115,0525581009,4
116,0525581010,5
117,0525581011,4
118,0525581012,4
119,0525581014,4
120,0525581015,4
121,0525581016,2
122,0525581017,4
123,0525581018,4
124,0528059003,1
125,0528059004,1
126,0529195001,1
127,0530427001,3
128,0531310001,1
129,0531310002,1
130,0531417003,1
131,0531834002,1
132,0531835001,1
133,0531835002,1
134,0531838001,1
135,0531838002,0
136,0533230001,3
137,0533230002,3
138,0533230003,3
139,0533608001,2
140,0539241003,1
141,0539241004,1
142,0539387001,3
143,0539387002,1
144,0539387004,3
145,0539387006,1
146,0539387007,1
147,0541631001,1
148,0542817001,1
149,0543087002,1
150,0544918002,1
151,0545605001,1
152,0545605002,1
153,0547070002,1
154,0549396001,1
155,0549396006,1
156,0549400004,0
157,0549400007,5
158,0549477002,3
159,0549477004,1
160,0549477005,3
161,0549489002,1
162,0550086001,1
163,0552041001,3
164,0552041002,1
165,0552041003,0
166,0552041004,0
167,0552041007,0
168,0552041008,0
169,0552866001,1
170,0552866002,3
171,0552866008,1
172,0553423001,2
173,0553853002,1
174,0554757003,1
175,0554757004,1
176,0554757005,1
177,0554757006,3
178,0554897001,1
179,0557607002,5
180,0557607007,5
181,0557607008,1
182,0557607011,5
183,0557607013,5
184,0558992001,1
185,0558992002,1
186,0561208001,1
187,0561297001,1
188,0561297002,1
189,0561297004,1
190,0564485001,1
191,0564485005,1
192,0564485007,1
