,article_id,cluster
0,0312878001,2
1,0312878005,2
2,0312878010,2
3,0368505002,2
4,0368505006,2
5,0417773006,1
6,0417773007,1
7,0488549001,1
8,0498181001,1
9,0501405001,1
10,0501405002,1
11,0501406003,1
12,0501406004,1
13,0501406005,1
14,0501407003,1
15,0501407004,1
16,0502305001,1
17,0503076001,1
18,0503654001,2
19,0503654002,0
20,0504410006,0
21,0504410007,0
22,0509159002,1
23,0511190001,1
24,0512840001,1
25,0518358003,0
26,0522561001,1
27,0522561002,1
28,0528004001,0
29,0528019001,1
30,0534181001,1
31,0534181002,2
32,0534181003,2
33,0534181005,2
34,0534181006,2
35,0534181007,2
36,0534181008,2
37,0534181009,0
38,0534181010,2
39,0534181011,2
40,0534181012,2
41,0534182001,1
42,0534182002,1
43,0534182003,1
44,0534184001,1
45,0536522001,1
46,0540021001,1
47,0540591001,1
48,0540591002,1
49,0542130001,1
50,0547217001,1
51,0551175002,1
52,0551175003,1
53,0551550001,2
54,0551550005,0
55,0552440001,1
56,0552786001,0
57,0555432001,1
58,0555432003,0
59,0556015001,2
60,0556015005,1
61,0563498001,1
62,0563500004,2
63,0566542001,1
64,0566542002,1
65,0570635001,1
66,0570968001,1
67,0570968002,1
68,0577431001,1
69,0577948001,0
70,0578469001,1
71,0578469004,0
72,0578470001,2
73,0578470002,1
74,0578471003,1
75,0578471005,1
76,0578472001,0
77,0578480001,0
78,0578480002,0
79,0579524001,1
80,0581941002,1
81,0581941003,1
82,0581951001,2
83,0588246001,1
84,0590361001,1
85,0597211001,1
86,0597435001,0
87,0598830001,1
88,0609206001,1
89,0610072001,0
90,0615675001,1
91,0616070001,2
92,0616070002,1
93,0616096001,2
94,0616130002,1
95,0616164001,1
96,0618685001,1
97,0619433001,2
98,0622373003,0
99,0626587003,0
100,0626587004,1
101,0626587010,0
102,0631776001,0
103,0631777004,2
104,0631777005,0
105,0631777006,2
106,0631777007,2
107,0632177002,0
108,0633456003,0
109,0633456004,0
110,0635495001,0
111,0635495002,0
112,0635517001,0
113,0635517002,0
114,0636193001,0
115,0637187001,0
116,0637940003,2
117,0637940005,0
118,0639341001,2
119,0642240001,0
120,0643363001,0
121,0644251001,0
122,0647136001,0
123,0647483001,2
124,0650512001,2
125,0651517001,2
126,0651517002,2
127,0652241001,2
128,0653404003,2
129,0653409002,2
130,0653409003,0
131,0653431001,2
132,0653431003,0
133,0654067001,0
134,0655142001,0
135,0656686001,0
136,0656686002,0
137,0656686003,0
138,0658069001,2
139,0658991001,0
140,0659056001,0
141,0659453001,0
142,0659453002,0
143,0659453003,0
144,0659459001,2
145,0659459003,2
146,0659873001,0
147,0659917001,2
148,0660329002,2
149,0661095001,2
150,0661794001,2
151,0661794002,0
152,0661794005,0
153,0661794006,0
154,0661795002,2
155,0661796002,2
156,0661797001,0
157,0661797003,0
158,0661910001,1
159,0662644001,0
160,0662644002,0
161,0663140002,0
162,0663140003,1
163,0663140004,0
164,0666541002,2
165,0667442001,1
166,0668004001,0
167,0672573001,2
168,0672573002,2
169,0672590001,2
170,0672590002,2
171,0673175001,0
172,0675379001,0
173,0677062001,2
174,0677062006,2
175,0677397001,0
176,0677397002,0
177,0678967001,2
178,0678968001,2
179,0678968006,2
180,0679902001,2
181,0681247001,2
182,0681247002,2
183,0681247003,2
184,0685274002,0
185,0685378002,0
186,0685707001,0
187,0686581001,0
188,0686986001,0
189,0686986002,0
190,0687169001,2
191,0687169002,2
192,0688411001,0
193,0689893001,1
194,0689985001,2
195,0689985002,0
196,0690212001,2
197,0690212002,2
198,0690489001,2
199,0690491001,2
