,article_id,cluster
0,0235596002,1
1,0292453003,1
2,0292453009,0
3,0292453011,2
4,0292453013,2
5,0292453014,2
6,0292453015,2
7,0292453025,2
8,0292453028,0
9,0292453031,2
10,0292453034,0
11,0357751001,1
12,0357751002,1
13,0357751003,2
14,0378719001,2
15,0386463001,2
16,0386463006,2
17,0386463014,2
18,0407653001,2
19,0407653002,2
20,0407663001,2
21,0407663007,2
22,0407663008,2
23,0433774001,2
24,0433774009,2
25,0451209001,1
26,0451209006,0
27,0478641001,0
28,0478641007,0
29,0488682003,2
30,0489215001,2
31,0489215004,2
32,0502836004,2
33,0502836005,2
34,0502836007,2
35,0502836008,2
36,0502836009,2
37,0502836010,2
38,0502836019,0
39,0504890002,2
40,0504890004,1
41,0528542001,2
42,0530035001,2
43,0530096001,2
44,0530096002,2
45,0530687001,0
46,0532954002,1
47,0532954003,1
48,0532955001,0
49,0532955002,1
50,0535877013,1
51,0535877014,1
52,0535877016,1
53,0535877018,1
54,0535877019,1
55,0535877021,0
56,0536358001,2
57,0536358002,2
58,0544155001,1
59,0544155002,0
60,0544155003,2
61,0546025001,2
62,0546579001,1
63,0546579003,1
64,0546579006,1
65,0546673001,2
66,0552501001,2
67,0552501004,2
68,0552930001,2
69,0553970001,2
70,0555817001,2
71,0559556003,2
72,0561712001,1
73,0561712002,1
74,0561712003,1
75,0570186008,2
76,0570428001,1
77,0570431001,2
78,0570431003,2
79,0571343001,2
80,0571343003,1
81,0574226001,2
82,0574594002,1
83,0574594003,2
84,0574715001,2
85,0574986003,2
86,0575182001,2
87,0575851001,2
88,0576342001,2
89,0581892002,3
90,0587374002,2
91,0587446001,2
92,0587446002,2
93,0587472001,2
94,0587512001,2
95,0587512002,2
96,0587526001,0
97,0588096001,2
98,0589324001,2
99,0589544001,2
100,0589544003,2
101,0589546001,2
102,0590494001,2
103,0590494002,1
104,0592390001,2
105,0594576001,0
106,0594576002,1
107,0597030001,2
108,0598460001,1
109,0598460002,1
110,0598499001,2
111,0598499002,2
112,0604983001,2
113,0606379001,2
114,0607563001,0
115,0607563005,0
116,0607563006,0
117,0607847001,2
118,0607847002,2
119,0608805001,2
120,0608910001,2
121,0608928002,2
122,0609381001,2
123,0612946001,0
124,0612960001,2
125,0612960003,2
126,0613062002,2
127,0613858005,1
128,0613858006,1
129,0613868001,1
130,0615722001,2
131,0615801001,1
132,0615801002,1
133,0616641001,2
134,0616705001,1
135,0616705002,1
136,0617979003,2
137,0618172005,0
138,0618682004,0
139,0618682006,1
140,0618682007,0
141,0618682008,0
142,0618726001,0
143,0622484001,2
144,0624216001,0
145,0624216002,0
146,0626007001,2
147,0626010001,1
148,0630809002,0
149,0630809003,1
150,0630809007,0
151,0630809008,0
152,0632101001,2
153,0632101002,2
154,0634480001,0
155,0635665001,2
156,0635665002,2
157,0637665001,2
158,0637894001,2
159,0637894002,2
160,0638029001,0
161,0638029002,0
162,0639268001,0
163,0639268002,1
164,0639284001,0
165,0639284002,0
166,0639434001,0
167,0639434002,1
168,0639454001,0
169,0639454002,0
170,0641521001,1
171,0641521002,0
172,0641521003,2
173,0644539003,1
174,0645765001,2
175,0645765002,2
176,0646767001,0
177,0647376001,1
178,0648904001,0
179,0648904002,0
180,0649023001,1
181,0649041001,0
182,0649041002,0
183,0649050001,0
184,0650438002,1
185,0650447001,1
186,0650447002,0
187,0651901001,1
188,0651946001,0
189,0651946002,0
190,0651946003,0
191,0651954001,0
192,0651955001,1
193,0652031001,0
194,0652763001,0
195,0653004001,0
196,0654091001,0
197,0654091002,0
198,0654140001,0
199,0654140002,0
200,0654205001,2
201,0654226001,1
202,0654231001,0
203,0654231002,1
204,0654238001,1
205,0656630001,0
206,0656630002,0
207,0656638001,0
208,0657052004,1
209,0658557001,2
210,0659800001,1
211,0659800002,0
212,0659800003,1
213,0659819001,1
214,0660221001,0
215,0660286001,0
216,0660286002,1
217,0660286003,1
218,0664249003,0
219,0664490001,1
220,0665370001,1
221,0666584001,0
222,0667188001,1
223,0667316001,0
224,0667316002,0
225,0667317001,0
226,0667317002,1
227,0667748004,0
228,0668637001,0
229,0668740001,0
230,0669786001,0
231,0669786002,0
232,0669943001,0
233,0669943002,1
234,0669944001,1
235,0671282001,1
236,0674475001,1
237,0674515001,1
238,0677402001,0
239,0677490001,1
240,0677501001,1
241,0677501002,0
242,0677537001,1
243,0677537002,1
244,0677572001,1
245,0677572002,1
246,0677964001,1
247,0678995001,1
248,0678995002,1
249,0679063003,1
250,0679669001,0
251,0679890001,1
252,0679890002,0
253,0679890003,1
254,0680036001,0
255,0682437004,1
256,0682437005,1
257,0682452002,1
258,0683136001,0
259,0683136002,0
260,0683211001,1
261,0683211002,1
262,0683357001,1
263,0683362001,1
264,0683362003,0
265,0683375001,1
266,0683395001,1
267,0683395002,1
268,0683659004,1
269,0683659005,1
270,0683755001,1
271,0684316002,1
272,0684316004,1
273,0684361001,1
274,0684400001,0
275,0684606001,0
276,0687337001,0
277,0687337002,1
278,0687347002,1
279,0691164001,0
280,0692679001,0
281,0692684001,1
282,0692705001,0
283,0692736001,0
284,0692946001,0
285,0693694001,1
286,0693694003,1
287,0693746001,1
288,0693751001,0
289,0694645001,1
290,0694645002,1
291,0694652001,0
292,0695001001,0
293,0695003002,0
294,0695033001,0
295,0695033002,1
296,0695454001,0
297,0696308001,1
298,0696787001,1
299,0696787002,1
300,0696788001,1
301,0696789001,1
302,0696791001,1
303,0696791002,1
304,0696793001,1
305,0696796001,1
306,0696796003,0
307,0696797001,1
308,0696797002,1
309,0697486001,0
310,0697486002,0
311,0697487001,1
312,0697506001,0
313,0697508001,1
314,0697531001,1
315,0697531002,1
316,0698206001,1
317,0699116001,0
318,0699176001,1
319,0701946001,0
320,0703736001,1
321,0703736002,0
322,0703738001,1
323,0703739001,1
324,0705021001,1
325,0705021003,0
326,0705148001,0
327,0705382001,0
328,0705389001,1
329,0705389002,1
330,0705416001,1
331,0705423001,0
332,0705428001,0
333,0707593001,0
334,0707606001,0
335,0707606002,0
336,0707627003,0
337,0707627004,0
338,0707664001,1
339,0712074001,1
340,0712259001,0
341,0712262001,1
342,0713272001,1
343,0714037001,1
344,0714530001,1
345,0714573001,1
346,0714604001,1
347,0714632002,0
348,0714632005,0
349,0715232001,1
350,0715232002,1
351,0715248001,0
352,0715888001,1
353,0715914001,1
354,0715919001,0
355,0715933001,0
356,0716023001,0
357,0716023003,1
358,0716024001,1
359,0717229001,1
360,0718281001,0
361,0718281002,1
362,0718438001,1
363,0718438002,1
364,0718449001,1
365,0718508001,0
366,0718986001,0
367,0719007001,0
368,0719556001,1
369,0721128001,0
370,0721141001,0
371,0721143001,1
372,0721151001,1
373,0721155001,1
374,0721160001,1
375,0721160002,1
376,0721160003,1
377,0721168001,0
378,0721174001,1
379,0721206001,1
380,0721225001,0
381,0723543001,1
382,0723595001,1
383,0723595002,1
384,0723660001,0
385,0723664001,0
386,0723976001,1
387,0723984001,0
388,0723984002,1
389,0723998001,0
390,0723998002,1
391,0724180001,1
392,0724180002,1
393,0724210001,1
394,0724210002,1
395,0724408001,1
396,0724974001,0
397,0725368001,1
398,0726122001,1
399,0726122002,1
400,0726125001,1
401,0726130001,0
402,0726130002,0
403,0726135001,0
404,0730057001,0
405,0730264001,0
406,0730271001,1
407,0730290001,0
408,0730299001,1
409,0731082001,1
410,0731094001,1
411,0731114001,1
412,0731114002,1
413,0731119001,1
414,0731119002,1
415,0731119004,1
416,0731119005,1
417,0731119006,1
418,0731419001,0
419,0731560001,0
420,0731563001,0
421,0731749001,1
422,0732670001,0
423,0732696001,0
424,0732808001,1
425,0732808002,1
426,0732817001,0
427,0734233001,1
428,0734233002,1
429,0734607001,1
430,0734619001,1
431,0734902001,0
432,0734967001,1
433,0734999001,0
434,0735459001,0
435,0735916001,1
436,0736010001,1
437,0736015001,1
438,0736017001,1
439,0736019001,1
440,0736019002,1
441,0736046001,1
442,0736046002,0
443,0736062001,1
444,0736062002,0
445,0736087001,1
446,0736087002,0
447,0736087003,1
448,0736098001,0
449,0736105001,1
450,0736567001,0
451,0738077001,1
452,0738077002,0
453,0738087001,1
454,0738091001,0
455,0738105001,0
456,0738921001,0
457,0738921002,1
458,0738921003,1
459,0738921004,1
460,0738921006,1
461,0738924001,0
462,0738953001,1
463,0739009001,0
464,0740423001,1
465,0740429001,1
466,0740429002,0
467,0740700001,1
468,0740700002,1
469,0741542001,1
470,0741546001,1
471,0742736001,1
472,0742879002,1
473,0743086001,1
474,0743086003,0
475,0743093001,1
476,0743093002,1
477,0743202001,1
478,0743221001,1
479,0745698001,0
480,0745711001,1
481,0745731001,0
482,0745734001,1
483,0745911001,1
484,0745923002,1
485,0745924001,1
486,0745933001,1
487,0745949001,1
488,0745949002,1
489,0745971001,1
490,0745971002,1
491,0746547001,0
492,0746904001,1
493,0746941001,0
494,0749145001,0
495,0749312001,1
496,0749326002,0
497,0749706001,0
498,0750778001,0
499,0751716001,1
500,0751716002,1
501,0751717001,0
502,0751720001,1
503,0752035001,0
504,0752054001,1
505,0752120001,1
506,0752200002,1
507,0752221001,1
508,0753919001,0
509,0753988001,1
510,0753988002,1
511,0753990001,1
512,0754000001,1
513,0754026001,1
514,0757225001,1
515,0757243001,0
516,0758285001,1
517,0759127001,1
518,0759131001,0
519,0759135001,0
520,0759140002,1
521,0759140003,1
522,0759140004,1
523,0759143002,1
524,0759150001,0
525,0759153001,1
526,0759295001,0
527,0759299001,1
528,0759299004,1
529,0759322001,0
530,0759379001,0
531,0759512001,1
532,0759825001,0
533,0760339001,0
534,0760574001,0
535,0760575001,1
536,0760960001,0
537,0760969002,1
538,0760973001,1
539,0760978001,0
540,0761991001,1
541,0762289001,1
542,0762321001,0
543,0762996001,1
544,0762996002,1
545,0763488001,1
546,0763490001,1
547,0763490002,1
548,0763515001,1
549,0764681001,0
550,0764684001,0
551,0764705001,1
552,0764705003,1
