,article_id,cluster
0,0465572001,1
1,0494935004,0
2,0494935005,1
3,0504056004,1
4,0504056005,0
5,0506410003,2
6,0506410004,0
7,0506410006,1
8,0506410007,1
9,0506410008,1
10,0506410009,0
11,0506411003,2
12,0506411004,1
13,0506411006,0
14,0506411008,1
15,0506411009,1
16,0506411010,1
17,0506411011,0
18,0506411013,0
19,0511209001,3
20,0511222001,3
21,0511245001,0
22,0511250001,3
23,0511971001,3
24,0517782007,3
25,0534996001,1
26,0535922001,1
27,0538578001,0
28,0539412002,1
29,0539412003,1
30,0539412004,1
31,0541500001,3
32,0544730001,3
33,0550203001,1
34,0551413001,0
35,0551413002,3
36,0551413003,3
37,0551413004,1
38,0551413005,1
39,0551413023,3
40,0551413024,2
41,0552550001,1
42,0554866001,2
43,0557706002,1
44,0558703001,3
45,0558801001,1
46,0561156001,2
47,0563446001,0
48,0563670001,0
49,0564357001,3
50,0565188001,0
51,0565188002,1
52,0565188003,2
53,0565188004,1
54,0565188005,0
55,0565190003,2
56,0565239001,3
57,0565241003,1
58,0565251001,2
59,0565387001,1
60,0565387003,1
61,0567964001,3
62,0571656002,3
63,0572158001,3
64,0573677001,3
65,0574277001,3
66,0574282001,0
67,0574282002,0
68,0575208001,3
69,0575208002,3
70,0576134001,1
71,0576134002,3
72,0577825001,0
73,0577825002,0
74,0577832001,0
75,0577832002,1
76,0577832003,2
77,0577985001,3
78,0578274001,0
79,0578797001,1
80,0579222001,3
81,0579629001,3
82,0579907001,1
83,0580097001,1
84,0580732001,1
85,0583454001,3
86,0584112001,3
87,0584517001,3
88,0584519001,3
89,0584566003,1
90,0584566008,1
91,0584566009,1
92,0584566010,1
93,0590582001,1
94,0590728001,2
95,0591081001,2
96,0591081002,1
97,0591619001,1
98,0592015001,2
99,0592015006,2
100,0593446005,1
101,0593446006,1
102,0593446008,0
103,0593446009,0
104,0593446010,1
105,0594602001,2
106,0594756001,0
107,0595041001,0
108,0595388001,0
109,0596205001,1
110,0596207001,1
111,0596820003,2
112,0596820005,1
113,0597593001,0
114,0599261001,1
115,0599261002,1
116,0600465001,0
117,0600465002,0
118,0600470001,1
119,0600470002,1
120,0601112001,0
121,0601123001,2
122,0601852002,3
123,0601852003,3
124,0601853001,1
125,0602904001,0
126,0604215001,2
127,0604823002,1
128,0604823003,1
129,0608645003,3
130,0609138001,2
131,0609138002,2
132,0610180001,0
133,0610180002,0
134,0612345001,0
135,0614401001,3
136,0615358001,3
137,0616369001,2
138,0616601001,0
139,0617532001,0
140,0618008001,2
141,0618086001,2
142,0618426001,2
143,0618426002,2
144,0618488001,0
145,0618875001,0
146,0619528001,3
147,0620447002,0
148,0623733004,1
149,0623733005,0
150,0623733006,1
151,0624383004,0
152,0624383005,0
153,0624383007,1
154,0624383009,1
155,0624383011,1
156,0624445001,0
157,0624445002,2
158,0624445003,0
159,0624445004,0
160,0624445005,1
161,0624445006,0
162,0624445008,0
163,0624445009,0
164,0624445010,0
165,0624445011,0
166,0624445012,0
167,0624445013,0
168,0625275001,2
169,0625431001,0
170,0625432001,0
171,0627456006,1
172,0628549001,0
173,0628556001,1
174,0628564001,0
175,0628591001,0
176,0628591002,3
177,0628594001,0
178,0628608001,0
179,0628610001,1
180,0628621001,1
181,0628621003,1
182,0628633001,0
183,0628633002,0
184,0629022001,2
185,0629825001,0
186,0629828001,2
187,0629828004,0
188,0630616001,1
189,0630631001,1
190,0633176001,2
191,0633202001,2
192,0633277001,2
193,0633325001,1
194,0633325003,0
195,0633558001,2
196,0633721001,0
197,0634540001,0
198,0634540002,1
199,0634540003,0
200,0635026001,1
201,0635037003,2
202,0635037005,0
203,0635303001,2
204,0635305001,0
205,0635335001,0
206,0637398001,0
207,0638299001,0
208,0640668001,0
209,0642430001,0
210,0642714001,0
211,0643266001,0
212,0643725001,1
213,0643987001,2
214,0643987002,2
215,0644032001,1
216,0644033002,1
217,0644612001,0
218,0644630002,2
219,0644630003,0
220,0644828001,0
221,0644828002,0
222,0645561001,1
223,0645606001,0
224,0645920001,1
225,0645920003,1
226,0645920004,1
227,0645920007,1
228,0645924002,1
229,0646015002,1
230,0646015003,0
231,0646015004,0
232,0646015005,1
233,0646015006,1
234,0646015007,1
235,0646015008,0
236,0646015009,1
237,0646015010,0
238,0646015011,0
239,0646492001,1
240,0646562001,1
241,0646890001,2
242,0647221001,0
243,0647768001,0
244,0647984001,0
245,0648372002,1
246,0648651001,0
247,0648927002,0
248,0648944001,0
249,0648944002,4
250,0648944003,0
251,0648944005,1
252,0649340001,0
253,0650388001,1
254,0650433001,0
255,0650489001,1
256,0650678001,1
257,0650678002,0
258,0650678003,0
259,0650678004,0
260,0650678005,0
261,0650859001,1
262,0652113001,0
263,0652113002,2
264,0652113003,2
265,0652113006,1
266,0652113007,1
267,0652113008,1
268,0652840001,2
269,0652847002,1
270,0652847003,1
271,0652848001,1
272,0652848002,0
273,0652862001,0
274,0654064001,0
275,0655619001,0
276,0655716001,2
277,0655716002,1
278,0657289001,0
279,0657289002,0
280,0657289003,1
281,0657750001,1
282,0657755001,0
283,0657755003,1
284,0657759002,0
285,0657759003,1
286,0657759004,0
287,0657759005,0
288,0658167001,2
289,0658733001,0
290,0658733002,0
291,0659164001,0
292,0659362001,0
293,0659499001,0
294,0660200003,0
295,0660200004,0
296,0662066001,0
297,0662069001,0
298,0662086001,1
299,0662087001,1
300,0662099001,0
301,0663136001,2
302,0664478001,0
303,0664855002,1
304,0665390001,2
305,0665804004,0
306,0665828001,1
307,0666360001,0
308,0666360002,2
309,0667060001,0
310,0669256001,1
311,0670390001,2
312,0670392001,2
313,0670402002,1
314,0670763001,1
315,0676158001,1
316,0677793002,0
317,0677793005,0
318,0677852002,0
319,0677852003,0
320,0677861001,0
321,0677937001,2
322,0679170002,1
323,0679466001,0
324,0686556001,1
325,0686589001,1
326,0686592001,1
327,0686623001,0
328,0687421001,2
329,0687845002,0
330,0687861001,1
331,0687861003,1
332,0687861005,1
333,0687861006,1
334,0688018002,0
335,0688018003,2
336,0688064001,1
337,0689391001,0
338,0690949001,1
339,0690949002,0
340,0690949003,0
341,0690949004,0
342,0690949005,0
343,0690955001,1
344,0690955002,1
345,0690955003,0
346,0691805003,1
347,0691911001,2
348,0693374001,1
349,0693380001,1
350,0693489003,2
351,0693489004,0
352,0694045001,0
353,0694045002,0
354,0694062001,1
355,0694086002,0
356,0694091001,0
357,0694093001,2
358,0694093004,2
359,0694094001,0
360,0694096001,1
361,0694097001,0
362,0694142001,1
363,0694142002,2
364,0694237001,0
365,0694237002,1
366,0694237003,1
367,0694237004,0
368,0694296001,0
369,0694297002,0
370,0694297006,0
371,0694297007,1
372,0694297008,1
373,0694297009,1
374,0694297010,1
375,0695113001,2
376,0695903001,1
377,0695903002,1
378,0696154001,1
379,0696648001,0
380,0696648002,0
381,0696961001,0
382,0696961002,0
383,0696961003,0
384,0696961004,0
385,0696961006,0
386,0696963001,0
387,0696963002,0
388,0696963003,1
389,0696963004,0
390,0696963005,2
391,0697184001,1
392,0697284001,0
393,0697286001,0
394,0697286002,0
395,0697287001,0
396,0697287002,1
397,0697303001,1
398,0697308001,0
399,0697534001,2
400,0698394001,0
401,0698394002,1
402,0698593001,1
403,0698597001,2
404,0698597002,2
405,0698597003,2
406,0698597004,0
407,0698731001,1
408,0698872002,0
409,0698872003,1
410,0698913001,0
411,0698913002,1
412,0698913003,1
413,0698913004,1
414,0699488001,1
415,0699488002,1
416,0699488003,1
417,0700142001,1
418,0700142002,0
419,0700149001,0
420,0700149002,0
421,0700149003,0
422,0700156002,1
423,0700461001,1
424,0700461002,1
425,0700779001,0
426,0700779002,0
427,0700779003,0
428,0700933001,1
429,0700933002,1
430,0701341001,0
431,0701356001,1
432,0701369001,0
433,0701467001,1
434,0701539001,1
435,0701725001,1
436,0701833001,1
437,0702306003,1
438,0702306004,0
439,0703051001,1
440,0703051002,0
441,0703051004,1
442,0703051005,0
443,0703063001,1
444,0703063002,0
445,0703164001,0
446,0703164002,0
447,0703164003,2
448,0703368001,1
449,0704533001,0
450,0705571001,1
451,0705585001,1
452,0706204001,1
453,0706393001,1
454,0706445001,1
455,0706445003,0
456,0706445004,1
457,0706650002,1
458,0706871001,0
459,0706939001,0
460,0707013001,1
461,0707769001,1
462,0708017001,0
463,0708017002,1
464,0708017003,0
465,0708017004,0
466,0708028001,0
467,0708611001,1
468,0708611003,0
469,0708611004,1
470,0709412001,1
471,0710043001,1
472,0710931001,1
473,0711242001,1
474,0711433001,0
475,0712811001,1
476,0712852001,1
477,0712852002,1
478,0712852003,1
479,0713318001,1
480,0713318002,0
481,0713746001,2
482,0713929001,0
483,0715247001,0
484,0715247004,2
485,0715265001,2
486,0715522001,0
487,0715522002,1
488,0716564001,0
489,0716575001,0
490,0716577001,1
491,0716577002,0
492,0716785001,1
493,0716800001,1
494,0717480001,0
495,0717757001,0
496,0717822001,1
497,0718658001,1
498,0719591001,1
499,0719591002,1
500,0719591003,1
501,0719591004,1
502,0719591005,0
503,0719591009,1
504,0720245001,0
505,0720587001,1
506,0720715001,1
507,0720953001,0
508,0720953002,0
509,0721776001,1
510,0722555001,1
511,0723853001,1
512,0724372001,2
513,0724372002,0
514,0724375001,2
515,0724379001,1
516,0724505001,1
517,0724505002,1
518,0724505003,1
519,0724506001,0
520,0724506002,1
521,0724996001,1
522,0726384001,1
523,0730048001,0
524,0730471001,1
525,0731568001,1
526,0731568002,1
527,0731568003,1
528,0731568004,1
529,0731643001,2
530,0733462001,1
531,0733462003,1
532,0733490001,2
533,0733490002,2
534,0733533001,1
535,0733558002,1
536,0734059001,0
537,0734070001,0
538,0734070002,2
539,0734070003,0
540,0734070004,0
541,0734105001,0
542,0734127001,0
543,0734923001,0
544,0735412001,0
545,0735412002,0
546,0735412004,1
547,0735412005,0
548,0735412006,0
549,0735741001,0
550,0739159001,0
551,0739359001,0
552,0739360001,1
553,0739669001,1
554,0739669002,1
555,0739669003,0
556,0739669004,0
557,0739669005,0
558,0739669006,0
559,0740065001,1
560,0740065003,1
561,0741388001,0
562,0742020001,0
563,0742020003,1
564,0742020004,0
565,0742156001,1
566,0743400001,2
567,0743791001,1
568,0743791002,1
569,0743791003,1
570,0743791004,1
571,0743791006,0
572,0743791007,1
573,0743791008,1
574,0743914001,0
575,0743914003,1
576,0743914004,2
577,0743914007,0
578,0743914008,0
579,0743914014,1
580,0743914016,0
581,0743914017,1
582,0744241001,1
583,0744263001,0
584,0744263002,0
585,0744263003,0
586,0744532001,2
587,0744532002,2
588,0744532003,0
589,0744533001,2
590,0744533003,2
591,0744533004,0
592,0744802002,0
593,0744872001,2
594,0746046002,0
595,0746234002,0
596,0746313001,1
597,0746313002,0
598,0746597001,2
599,0746926001,0
600,0747040001,2
601,0747040003,0
602,0747828001,0
603,0750476001,0
604,0750476002,2
605,0750476003,0
606,0750476004,1
607,0750476005,1
608,0750476006,0
609,0750476007,1
610,0750476008,1
611,0750476011,0
612,0750476012,2
613,0750480002,1
614,0750480003,1
615,0750480004,0
616,0750480006,1
617,0752090001,1
618,0752090003,0
619,0752413001,2
620,0753641003,0
621,0753641004,0
622,0753641005,0
623,0753641006,0
624,0753853001,0
625,0753960001,1
626,0754108001,1
627,0754108002,1
628,0755662001,0
629,0755662002,1
630,0756718001,1
631,0756718002,1
632,0756718003,1
633,0756718004,1
634,0756808001,2
635,0756810001,2
636,0756813001,0
637,0757011001,2
638,0757011002,0
639,0757011005,0
640,0757018001,0
641,0757028001,1
642,0757037001,1
643,0757037004,0
644,0757050001,0
645,0757050002,1
646,0757050004,0
647,0757674001,1
648,0757674002,1
649,0757714001,1
650,0757714002,1
651,0757714003,0
652,0757714006,0
653,0757747001,1
654,0757747002,1
655,0757747003,1
656,0757747004,1
657,0757815002,0
658,0757826001,1
659,0757832003,1
660,0757832005,1
661,0757832008,1
662,0757949001,0
663,0757972001,0
664,0758288001,0
665,0758288002,1
666,0758424001,0
667,0758433001,0
668,0758440001,0
669,0758801001,0
670,0759189001,1
671,0759996002,0
672,0760797001,0
673,0760894001,1
674,0760907001,0
675,0760948001,1
676,0761133001,1
677,0761176001,0
678,0761389001,1
679,0761920001,1
680,0761920003,0
681,0761920004,0
682,0761920005,0
683,0761920006,0
684,0761920007,0
685,0761929001,1
686,0761929002,1
687,0762049002,1
688,0762288001,0
689,0762288002,2
690,0763129001,1
691,0763129002,0
692,0764128001,1
693,0766760001,0
694,0766760002,0
695,0766760003,0
696,0766853001,0
697,0767228001,1
698,0767228002,0
699,0767228003,0
700,0767228004,1
701,0767235001,2
702,0767249003,1
703,0767249004,1
704,0767249006,0
705,0767256006,1
706,0767256008,1
707,0767256009,1
708,0767256011,1
709,0767256012,1
710,0767256013,1
711,0767304002,0
712,0767325001,0
713,0767325002,0
714,0767325003,1
715,0767325004,0
716,0767325005,0
717,0767325006,1
718,0767779002,1
719,0767779008,0
720,0767779009,0
721,0767780001,1
722,0767780002,0
723,0768839001,0
724,0768842001,0
725,0768842004,0
726,0768858001,1
727,0768858003,1
728,0769667001,0
729,0769683001,0
730,0769684001,0
731,0770175001,0
732,0770601001,0
733,0771026001,0
734,0771026002,1
735,0771026004,0
736,0771026005,0
737,0771206002,1
738,0771431001,0
739,0771431003,0
740,0771574001,1
741,0771824001,1
742,0771824002,0
743,0771824004,0
744,0771824005,0
745,0772130001,0
746,0772436001,1
747,0772436002,0
748,0773504002,1
749,0773767001,0
750,0773767002,1
751,0774021001,0
752,0774160001,0
753,0775544001,1
754,0775610001,0
755,0775619001,1
756,0775623003,0
757,0775623004,1
758,0776860001,0
759,0776863004,0
760,0776878001,0
761,0777810001,1
762,0777813001,0
763,0777867001,2
764,0777867002,0
765,0777867005,0
766,0777867006,2
767,0778401001,1
768,0778401002,0
769,0778909001,2
770,0778909002,0
771,0778912001,2
772,0779351001,1
773,0779351002,1
774,0779351003,0
775,0779351004,1
776,0780184001,1
777,0780286001,1
778,0780300001,1
779,0780901003,1
780,0780948001,0
781,0781045001,0
782,0781338002,0
783,0781471001,1
784,0781661001,1
785,0781662001,1
786,0781662002,1
787,0781677001,1
788,0781677002,1
789,0781677003,1
790,0781878001,1
791,0781889001,1
792,0782361001,1
793,0782364001,3
794,0782383001,1
795,0782383002,1
796,0782612001,1
797,0784237001,2
798,0784237002,0
799,0784237003,0
800,0784425001,2
801,0786438001,0
802,0786674002,0
803,0786958001,0
804,0786958002,0
805,0787242001,2
806,0787295001,1
807,0788048001,2
808,0788048002,0
809,0788048003,0
810,0788048004,0
811,0788972001,2
812,0789578001,1
813,0791344001,0
814,0791589001,1
815,0791589007,1
816,0791589008,0
817,0791589009,0
818,0791589010,0
819,0791589011,0
820,0791589014,0
821,0791589015,1
822,0791589020,1
823,0791589023,1
824,0791589025,0
825,0791712001,1
826,0792026001,1
827,0792049001,0
828,0793988001,0
829,0794284001,0
830,0795601001,1
831,0795601004,0
832,0795602001,0
833,0795602002,0
834,0795602003,0
835,0795822001,0
836,0796285001,0
837,0796726001,0
838,0797421001,1
839,0797513001,1
840,0797594001,1
841,0797594002,1
842,0797595001,1
843,0798131001,0
844,0798898001,1
845,0798898002,0
846,0798925001,1
847,0799455003,2
848,0799455004,2
849,0800054001,0
850,0800437001,0
851,0800437002,0
852,0800437003,0
853,0801111001,0
854,0801111002,0
855,0801699001,1
856,0802092001,1
857,0802092002,1
858,0802284001,1
859,0803365001,0
860,0803369001,1
861,0803586001,1
862,0803670001,2
863,0805688001,0
864,0805688004,0
865,0806134002,0
866,0806134003,0
867,0806136001,1
868,0806136002,0
869,0806136003,0
870,0806136004,1
871,0806136005,0
872,0806140001,0
873,0806140002,1
874,0806178002,2
875,0806178003,1
876,0806178005,0
877,0806254001,1
878,0806669001,0
879,0806713001,1
880,0806713003,0
881,0807668001,1
882,0807668002,1
883,0808002001,1
884,0808462002,0
885,0808561001,1
886,0808813001,0
887,0808813002,0
888,0808813004,0
889,0808966001,0
890,0809000001,1
891,0809432001,1
892,0809875001,1
893,0810654001,0
894,0810931001,1
895,0810997001,1
896,0811938001,1
897,0812918001,0
898,0812918002,0
899,0813753001,0
900,0813775001,1
901,0813775005,1
902,0813775006,1
903,0813775007,0
904,0814194001,0
905,0814298001,0
906,0814298004,1
907,0814299001,1
908,0814299002,1
909,0814299003,0
910,0814299004,0
911,0814299005,0
912,0814299006,0
913,0814299008,1
914,0815569001,1
915,0815569002,0
916,0815590002,1
917,0815590006,0
918,0815590007,0
919,0815629001,1
920,0815629004,1
921,0815629005,1
922,0815629006,1
923,0815629007,1
924,0815629008,1
925,0815869001,1
926,0815870001,1
927,0817292001,0
928,0817292002,1
929,0817292004,1
930,0817292006,0
931,0817349001,1
932,0817349002,1
933,0817817001,0
934,0817817002,0
