,article_id,cluster
0,0176754001,1
1,0176754003,1
2,0176754019,1
3,0296366006,0
4,0296366013,0
5,0296366024,0
6,0296366031,0
7,0296366032,0
8,0296366034,2
9,0301517004,0
10,0301517018,0
11,0301517036,0
12,0340223001,0
13,0354041001,2
14,0478298001,0
15,0478298002,0
16,0478298005,1
17,0478298011,1
18,0478298012,0
19,0479025003,1
20,0500435003,0
21,0500435016,0
22,0500435018,0
23,0500435019,0
24,0500435021,0
25,0500435022,0
26,0500435024,0
27,0500435026,0
28,0500435027,0
29,0500435031,0
30,0500435032,0
31,0500435039,0
32,0500435040,0
33,0500435041,0
34,0500435076,0
35,0500435120,2
36,0500435122,2
37,0500435123,0
38,0500435125,0
39,0500435126,2
40,0500435128,2
41,0500435129,2
42,0500435131,0
43,0500435132,2
44,0500435134,0
45,0500435135,0
46,0500435136,0
47,0506195007,0
48,0510724001,0
49,0510724004,1
50,0510724005,0
51,0517724001,1
52,0517729002,1
53,0517729005,1
54,0517729008,0
55,0517729010,0
56,0517729017,1
57,0517729020,1
58,0517729027,0
59,0517729035,0
60,0517729036,0
61,0517729037,0
62,0517729038,1
63,0517729043,0
64,0517729044,1
65,0517729045,1
66,0517729046,1
67,0517729050,0
68,0517729051,0
69,0517729088,2
70,0517729090,2
71,0517729091,0
72,0517729093,2
73,0517729096,2
74,0517729098,0
75,0517729099,0
76,0517729101,2
77,0517729102,2
78,0517729103,2
79,0517732001,1
80,0525241003,0
81,0525241007,0
82,0525241010,0
83,0525460001,1
84,0527693001,0
85,0532851001,1
86,0532851002,1
87,0532851004,0
88,0532851005,1
89,0538673001,1
90,0538680001,1
91,0538680002,2
92,0538931002,0
93,0551542001,0
94,0559867001,0
95,0560096001,0
96,0560125001,0
97,0560402001,0
98,0563993002,2
99,0568646001,0
100,0568669001,1
101,0568669003,1
102,0568922001,1
103,0568939001,0
104,0569061001,0
105,0569453002,2
106,0569453003,0
107,0574407001,0
108,0576285001,0
109,0576296001,0
110,0576812002,1
111,0577076002,2
112,0583121001,1
113,0583121004,0
114,0583121007,1
115,0586230001,0
116,0600687001,0
117,0601127001,0
118,0601919001,0
119,0602570002,0
120,0603049001,1
121,0609302001,0
122,0609318001,1
123,0609362001,0
124,0609362003,1
125,0609390001,0
126,0610435001,0
127,0610923001,0
128,0610923003,1
129,0610929001,0
130,0610930001,0
131,0610930002,0
132,0610983001,0
133,0610983002,2
134,0610983003,0
135,0610983004,0
136,0614948001,0
137,0614968001,0
138,0615197001,1
139,0616049002,0
140,0616049008,0
141,0616049009,0
142,0616049012,1
143,0616049014,0
144,0616049015,0
145,0616049021,0
146,0616808002,0
147,0620425003,0
148,0620425004,0
149,0620425011,0
150,0620425012,0
151,0620425013,0
152,0620425014,0
153,0620425015,0
154,0620425016,0
155,0620425020,0
156,0620425023,0
157,0620425026,0
158,0620425027,0
159,0620425028,0
160,0620425029,0
161,0620425030,0
162,0620425033,0
163,0620425034,0
164,0620425035,0
165,0620425036,0
166,0620425037,0
167,0620425038,0
168,0621014001,0
169,0622233002,0
170,0623879001,1
171,0623879002,0
172,0623879003,0
173,0624210001,0
174,0624840001,1
175,0625125001,1
176,0628324001,0
177,0631197001,0
178,0632145001,1
179,0632145002,1
180,0632145006,0
181,0632446001,1
182,0632446003,0
183,0632446004,0
184,0632446005,0
185,0632446006,1
186,0632446007,0
187,0633617001,0
188,0633671001,0
189,0633675001,1
190,0633764001,1
191,0633770001,2
192,0633778001,0
193,0633780001,2
194,0633783001,0
195,0633787001,0
196,0633791001,2
197,0633792001,0
198,0633793001,2
199,0633796001,2
200,0633799001,2
201,0633880001,0
202,0633886001,0
203,0633891001,2
204,0633893002,2
205,0636698001,0
206,0642408001,0
207,0644092002,0
208,0646022001,0
209,0646761001,1
210,0646761002,2
211,0646761003,0
212,0646762001,0
213,0646762002,0
214,0646763001,1
215,0648192001,1
216,0651493001,0
217,0651506001,2
218,0651512001,0
219,0651514001,0
220,0651520001,2
221,0651524001,2
222,0651582001,2
223,0651600001,2
224,0651622001,2
225,0651623001,0
226,0651625001,2
227,0655164001,1
228,0655165001,0
229,0656247001,1
230,0657219001,0
231,0657843001,0
232,0660085001,0
233,0660088001,1
234,0660209001,0
235,0661413001,0
236,0661423001,0
237,0661644002,0
238,0661644004,2
239,0661644005,2
240,0661645002,2
241,0661645003,0
242,0661647001,2
243,0661647002,2
244,0667298001,0
245,0667298003,0
246,0667299002,2
247,0667300001,2
248,0667300002,2
249,0667318004,0
250,0668223001,0
251,0668719001,1
252,0668730001,1
253,0669170001,2
254,0669170002,1
255,0669170003,2
256,0669170004,2
257,0669170005,2
258,0669170006,2
