,article_id,cluster
0,0126589006,1
1,0126589007,2
2,0126589010,2
3,0126589011,0
4,0126589012,0
5,0186262001,0
6,0186262006,2
7,0186262007,2
8,0186262013,2
9,0186267001,0
10,0214844001,2
11,0214844002,2
12,0214844003,0
13,0214844004,0
14,0214844008,2
15,0226011008,2
16,0296375018,2
17,0341917002,0
18,0368038002,0
19,0368038004,2
20,0368038005,2
21,0368038011,2
22,0534908002,0
23,0568998001,2
24,0569052001,2
25,0569094001,0
26,0569094002,0
27,0569094003,2
28,0577480004,2
29,0577499001,0
30,0579383001,0
31,0589328001,0
32,0590198001,0
33,0609210001,2
34,0610924001,0
35,0610931002,2
36,0610933001,2
37,0619180001,2
38,0623866001,1
39,0623866002,2
40,0623869002,1
41,0623873001,2
42,0624061001,0
43,0624242001,2
44,0630675001,2
45,0630675002,2
46,0633612001,2
47,0633655001,1
48,0633767001,1
49,0633790002,2
50,0633803001,2
51,0633803002,2
52,0633877001,2
53,0641176001,2
54,0651483001,2
55,0651624001,2
56,0651626001,2
57,0667306003,2
58,0668647001,2
59,0673704001,2
60,0681669001,2
61,0690842001,2
62,0690843001,2
63,0693900001,2
64,0694936001,1
65,0694936002,1
66,0694937001,2
67,0697123001,2
68,0697182001,2
69,0697984001,2
70,0697984002,2
71,0702809001,1
72,0714520001,2
73,0714524001,2
74,0719960001,2
75,0719960003,2
76,0719960004,2
77,0724875001,2
78,0733059001,2
79,0736213001,2
80,0736213002,2
81,0743124001,2
82,0743136001,1
83,0754291002,2
84,0754291005,2
85,0754955001,1
86,0764543001,2
87,0786421001,2
88,0786423001,2
89,0786424001,1
90,0792606001,2
91,0796191001,1
92,0796191003,1
93,0796191007,1
94,0796191008,1
95,0798449003,1
96,0800863001,2
97,0802146001,2
98,0803603001,1
99,0806460001,1
100,0806461001,1
101,0806466001,1
102,0806467001,1
103,0806468001,1
104,0806631001,1
105,0806948001,1
106,0807712001,2
107,0808969001,1
108,0809067001,1
109,0809067002,2
110,0809067003,1
111,0809776001,1
112,0809777002,1
113,0811242001,1
114,0812307001,1
115,0812730001,1
116,0812733001,1
117,0814016001,1
118,0817198001,2
119,0817198002,1
120,0818154001,2
121,0818161001,2
122,0821374001,2
123,0823222001,1
124,0823734001,1
125,0823920001,2
126,0824140001,1
127,0824198001,1
128,0824227003,1
129,0824263001,1
130,0824263002,1
131,0824264001,2
132,0824264002,2
133,0824264007,2
134,0828130001,1
135,0828624001,1
136,0828624003,2
137,0828635001,1
138,0828635002,2
139,0828656001,2
140,0828718001,1
141,0828718002,1
142,0828718003,1
143,0828718005,1
144,0829411001,2
145,0829687002,1
146,0830934001,1
147,0830938001,1
148,0831000001,2
149,0831252001,1
150,0831252002,1
151,0831493001,1
152,0831493002,1
153,0831495002,1
154,0831580001,1
155,0831582001,1
156,0831594001,2
157,0835753001,1
158,0835755001,2
159,0838510001,2
160,0839129001,1
161,0842928001,2
162,0843505001,2
163,0845925001,2
164,0847310001,2
165,0852552001,2
166,0853013001,1
167,0853016001,2
168,0853016003,2
169,0853334001,1
170,0855087001,2
171,0855087002,2
172,0855383001,2
173,0855723001,2
174,0856075001,1
175,0859066001,1
176,0859158001,2
177,0859182001,2
178,0859940001,2
179,0864822001,1
180,0864822002,1
181,0864997001,2
182,0865354001,2
183,0865355001,1
184,0867292001,1
185,0867321001,1
186,0869052001,1
187,0869052002,1
188,0869085001,1
189,0870193001,2
190,0870193004,2
191,0873482001,1
192,0873482003,1
193,0875522001,2
194,0876539001,2
195,0883317001,2
196,0885075001,1
197,0885970001,2
198,0886063001,2
199,0888664001,1
200,0888684001,1
201,0889087001,2
202,0891231001,1
203,0891238001,1
204,0893578001,2
205,0897434001,2
206,0897434002,2
207,0897818001,2
208,0897869001,1
209,0897872001,1
210,0898924001,2
211,0901719001,2
212,0902049001,1
213,0902771001,1
214,0902830001,2
215,0905796001,1
216,0909444001,1
217,0910284001,1
218,0910569001,2
219,0911197001,1
220,0912164001,2
221,0912472001,1
222,0912919001,1
223,0913365001,2
224,0921005001,1
225,0926520001,2
226,0926875001,1
227,0927701001,2
228,0929609001,1
229,0929636001,1
230,0933910001,1
231,0933910002,2
232,0935407001,2
233,0935408002,2
234,0935752001,2
235,0935753001,2
236,0935754001,2
237,0936231001,2
238,0939243001,1
239,0942684001,2
240,0947235001,2
241,0957375001,2
