,article_id,cluster
0,0192960023,1
1,0204892032,1
2,0224314007,0
3,0224314011,1
4,0224314013,2
5,0224314016,0
6,0224314017,1
7,0224314018,0
8,0245348002,1
9,0292551001,1
10,0292551012,1
11,0292551014,1
12,0294895011,2
13,0294895015,2
14,0315497001,1
15,0315497012,4
16,0315497016,2
17,0315497017,2
18,0315497018,1
19,0315987003,0
20,0315987004,1
21,0315987005,1
22,0315987014,2
23,0315987015,2
24,0318066004,1
25,0318066006,1
26,0318066013,1
27,0318066014,3
28,0318066016,1
29,0322322009,1
30,0322322010,1
31,0322322012,2
32,0322322014,2
33,0322322016,2
34,0324502001,1
35,0324502003,1
36,0324502008,1
37,0324502017,1
38,0324502018,1
39,0324502019,1
40,0342434002,1
41,0342434003,1
42,0342434007,4
43,0359804002,2
44,0359804013,2
45,0390512001,1
46,0390512006,2
47,0390512010,2
48,0390512011,2
49,0390512018,1
50,0390531007,2
51,0390531008,2
52,0402389001,1
53,0402389009,2
54,0402389010,1
55,0402389014,1
56,0413965006,2
57,0413965008,2
58,0413965009,4
59,0416905001,0
60,0416911001,2
61,0418662007,2
62,0418662008,4
63,0428291001,1
64,0428291003,4
65,0428291007,1
66,0428291016,1
67,0428291017,1
68,0451720003,4
69,0451720010,1
70,0451720011,1
71,0451720014,2
72,0496159001,2
73,0496159002,2
74,0496159003,2
75,0496159006,0
76,0496159007,0
77,0496159008,0
78,0496159009,0
79,0496441001,2
80,0496629001,4
81,0496629004,4
82,0496629006,4
83,0496630002,2
84,0496632001,2
85,0496992001,4
86,0496992002,4
87,0496992003,4
88,0499578001,2
89,0499578002,2
90,0499578003,2
91,0499588001,4
92,0499588002,2
93,0499588003,2
94,0499764001,2
95,0499958002,2
96,0500096004,2
97,0502261001,4
98,0502321006,4
99,0506200001,2
100,0506414002,2
101,0507274002,4
102,0507274004,4
103,0507274007,4
104,0509618001,4
105,0509618002,4
106,0509618003,4
107,0509618004,4
108,0511663001,2
109,0512581002,4
110,0514421001,4
111,0514421005,2
112,0514421007,2
113,0515305001,2
114,0515306001,2
115,0515306002,2
116,0515319003,2
117,0515319005,2
118,0516461001,2
119,0516734002,2
120,0516786001,4
121,0517046001,2
122,0517046005,1
123,0517046009,1
124,0517046010,4
125,0517046013,2
126,0517046016,1
127,0517046017,3
128,0517046018,1
129,0519242001,4
130,0519293006,2
131,0519975001,1
132,0519975002,4
133,0519975006,1
134,0519975007,1
135,0519975008,1
136,0520912001,2
137,0520963001,2
138,0521068001,4
139,0521102001,4
140,0521426001,4
141,0521426002,4
142,0521442001,2
143,0521462001,2
144,0521467001,2
145,0521467002,2
146,0521660001,4
147,0521660002,4
148,0521661001,2
149,0522461001,1
150,0522461002,1
151,0522461003,1
152,0522461010,1
153,0522461011,1
154,0522461012,1
155,0522461014,1
156,0522461015,1
157,0522461016,1
158,0523569001,4
159,0524465001,2
160,0524465002,2
161,0524465007,2
162,0524465010,2
163,0525905001,4
164,0525905002,2
165,0528075001,2
166,0531174001,4
167,0531551001,4
168,0531551002,4
169,0531565001,4
170,0531565003,4
171,0532858001,0
172,0532858002,2
173,0532858003,2
174,0532858010,0
175,0532858011,0
176,0533236001,2
177,0533260002,2
178,0533274003,2
179,0533376001,4
180,0533872001,4
181,0535278002,2
182,0536934002,2
183,0536967001,2
184,0536967002,2
185,0537479002,1
186,0537479003,3
187,0538161001,4
188,0538790001,2
189,0538826001,2
190,0539368001,3
191,0539368002,2
192,0539368004,1
193,0539368006,1
194,0539368007,1
195,0543445001,4
196,0546070001,2
197,0546778001,2
198,0546778002,0
199,0546787001,2
200,0546807001,4
201,0546807005,4
202,0548837002,2
203,0550124001,2
204,0550366001,2
205,0550412001,2
206,0550412003,2
207,0550419004,1
208,0551396001,4
209,0551487002,4
210,0551487003,4
211,0552826001,2
212,0552826002,2
213,0552826003,2
214,0552826015,2
215,0552826023,1
216,0552826024,1
217,0552826025,0
218,0552826027,1
219,0552826028,1
220,0552826029,1
221,0552826030,1
222,0552826031,1
223,0552826032,1
224,0552826039,1
225,0553321004,2
226,0553321005,2
227,0554168001,2
228,0555687001,4
229,0555795001,2
230,0555949001,4
231,0557544004,1
232,0557544005,1
233,0557544006,1
234,0557544007,1
235,0557544010,1
236,0557544011,1
237,0557546003,0
238,0557546004,0
239,0557546005,1
240,0557546006,1
241,0557546007,0
242,0557546009,0
243,0557668002,0
244,0557849002,4
245,0559850003,2
246,0559854002,2
247,0559854004,2
248,0559854005,2
249,0559862001,2
250,0559862002,2
251,0560624001,2
252,0560624003,2
253,0560624004,2
254,0560624005,2
255,0561088001,2
256,0561751002,2
257,0562138001,4
258,0562142001,2
259,0562142002,2
260,0562144001,2
261,0562147001,1
262,0562147002,1
263,0562229004,2
264,0562229008,2
265,0562318001,2
266,0562323001,4
267,0562325002,2
268,0562325004,1
269,0563806001,2
270,0563806002,4
271,0563806003,2
272,0563806004,2
273,0563937001,1
274,0564069001,4
275,0564069002,2
276,0564069004,4
277,0564069005,2
278,0564283001,4
279,0564283002,4
280,0564283003,1
281,0566083002,0
282,0566099001,2
283,0566467001,2
284,0567567001,2
285,0573415005,3
286,0574538001,2
287,0574804002,2
288,0574804003,2
289,0574804006,2
290,0576338001,2
291,0578960001,4
292,0578960002,2
293,0578978001,1
294,0578978002,4
295,0578978003,4
296,0579031001,2
297,0581872001,2
298,0582535001,2
299,0583041001,2
300,0583041002,2
301,0583041005,2
302,0583094001,2
303,0583351001,4
304,0583351002,3
305,0583351005,3
306,0583351009,3
307,0585203001,1
308,0585203002,1
309,0585203011,1
310,0585216002,4
311,0587142002,4
312,0587144001,2
313,0587286002,4
314,0588490001,4
315,0588490002,1
316,0590187001,2
317,0590750001,2
318,0595758001,4
319,0596599001,1
320,0597818004,2
321,0597818005,1
322,0597818006,1
323,0597818007,1
324,0597818012,1
325,0598049001,2
326,0598049002,2
327,0598049003,1
328,0599037001,2
329,0599061001,3
330,0601110001,3
331,0602807001,0
332,0607376001,2
333,0610771001,3
334,0615247001,2
335,0616974001,1
336,0616974002,1
337,0616974003,1
338,0616974004,3
339,0616975001,1
340,0616975002,1
341,0616975005,1
342,0616978001,1
343,0616978002,1
344,0616980001,1
345,0616980002,1
346,0616983001,1
347,0616983002,1
348,0616983005,0
349,0616985001,1
350,0616985002,1
351,0616985003,1
352,0616987001,1
353,0617035001,1
354,0617035002,1
355,0617035003,0
356,0617035004,1
357,0617044001,1
358,0617044002,1
359,0617046001,1
360,0617049001,0
361,0617069001,1
362,0617069002,1
363,0617069003,0
364,0617069004,1
365,0617069005,1
366,0617072001,1
367,0617072002,1
368,0617081001,0
369,0617081002,1
370,0617081003,0
371,0617081005,0
372,0617101001,0
373,0617119002,1
374,0617128002,0
375,0619230001,2
376,0619869001,2
377,0619869005,1
378,0619869006,1
379,0619869007,1
380,0621013002,0
381,0624375001,1
382,0624807001,1
383,0624807002,1
384,0624837001,1
385,0625420001,1
386,0630724001,1
387,0630733002,1
388,0630733004,1
389,0630736001,1
390,0630736002,1
391,0630736003,1
392,0630736004,1
393,0630747001,3
394,0630787001,3
395,0630787002,1
396,0630787003,3
397,0630851001,0
398,0630851002,0
399,0630851003,0
400,0630851004,0
401,0630851005,1
402,0630851006,1
403,0630874002,0
404,0630935001,1
405,0630971002,0
406,0630986001,1
407,0631048001,1
408,0631051001,1
409,0631052001,3
410,0631055001,1
411,0631185001,1
412,0632459001,1
413,0632459002,1
414,0632459005,1
415,0632618002,1
416,0632618003,1
417,0632618004,1
418,0632618006,1
419,0633174001,1
420,0633174002,1
421,0633183001,3
422,0633337002,3
423,0633346002,1
424,0633346003,0
425,0633350001,1
426,0633405003,1
427,0633607001,0
428,0633607002,1
429,0633607003,1
430,0633935002,1
431,0633935003,1
432,0635034001,3
433,0635034002,1
434,0635228001,1
435,0635561001,3
436,0635561002,3
437,0635561003,3
438,0635561004,3
439,0635561009,3
440,0636074001,0
441,0636862001,1
442,0636972001,1
443,0636972002,1
444,0636972003,1
445,0637705001,1
446,0637980001,1
447,0637980002,0
448,0637996004,0
449,0637996005,0
450,0637996006,3
451,0637996007,0
452,0637996008,0
453,0643619003,0
454,0643628001,1
455,0643628003,1
456,0643628004,1
457,0643628008,1
