,article_id,cluster
0,0339252007,1
1,0339252009,1
2,0344625009,0
3,0344627006,0
4,0356693020,0
5,0425978003,2
6,0425978006,2
7,0450333001,1
8,0450333003,1
9,0459307001,2
10,0470361001,1
11,0470361004,2
12,0503657001,0
13,0519243006,2
14,0546773001,2
15,0546773002,0
16,0546776001,0
17,0546777001,2
18,0546777003,1
19,0546782002,2
20,0546800001,2
21,0546800004,2
22,0546801001,2
23,0548565001,2
24,0552108001,0
25,0560819002,0
26,0561075001,2
27,0562167001,2
28,0562167002,2
29,0562167003,2
30,0562167005,2
31,0562280001,2
32,0562280002,2
33,0562299001,0
34,0562299002,1
35,0562299003,2
36,0562299005,1
37,0562299006,1
38,0562299007,1
39,0562320001,0
40,0562339001,0
41,0563210001,0
42,0563210002,0
43,0563211001,2
44,0563548001,0
45,0565313001,0
46,0566035001,0
47,0566035002,0
48,0566035007,2
49,0567066001,0
50,0567085001,0
51,0567085002,2
52,0567112002,2
53,0572240001,2
54,0572254001,0
55,0572254004,2
56,0572255001,2
57,0583362005,2
58,0583363001,2
59,0583388001,2
60,0583390001,2
61,0583392001,2
62,0583410001,2
63,0583933001,0
64,0583933002,0
65,0583933003,1
66,0583933004,1
67,0583933005,1
68,0587119001,2
69,0588304001,0
70,0596132007,1
71,0596132008,1
72,0596909001,0
73,0603048001,2
74,0607375001,2
75,0607517001,2
76,0608019003,1
77,0610726001,0
78,0611537001,0
79,0612204001,2
80,0612505001,1
81,0612505002,1
82,0612636001,1
83,0612636003,1
84,0612719001,1
85,0615420001,2
86,0615420002,1
87,0616619001,2
88,0616763004,1
89,0616763007,1
90,0616763008,1
91,0616763009,2
92,0616763010,1
93,0616767002,2
94,0617062001,2
95,0617063001,2
96,0617063002,2
97,0617063004,2
98,0617858001,2
99,0618350003,1
100,0618350005,1
101,0620458001,2
102,0621908002,2
103,0622526001,2
104,0625149001,2
105,0630022001,0
106,0630022002,1
107,0632089001,2
108,0632134001,2
109,0632134006,2
110,0632134007,2
111,0636592001,2
112,0641374004,2
113,0641717001,2
114,0642411001,2
115,0642411002,2
116,0642639001,1
117,0645768001,2
118,0645951001,2
119,0647486001,0
120,0650449001,2
121,0650511003,1
122,0651232001,2
123,0651865001,2
124,0662331001,2
125,0667463008,2
126,0670125001,2
127,0682081001,1
128,0682081002,1
129,0682082001,1
130,0682083002,1
131,0682083003,1
132,0682084001,1
133,0682195001,2
134,0682195002,2
135,0682196002,2
136,0682196003,2
137,0682196005,2
138,0682262001,1
139,0684130003,1
140,0690909001,1
141,0694664001,1
142,0694668001,1
143,0694668004,1
144,0694668005,1
145,0694751001,1
146,0694751003,1
147,0694751004,1
148,0696132001,2
149,0696132002,2
150,0696132003,2
151,0696132004,2
152,0696132005,2
153,0696132006,2
154,0698452001,2
155,0698452002,2
156,0698452004,2
157,0698452007,2
158,0698452008,2
159,0698459001,2
160,0698459002,2
161,0698459003,2
162,0698983001,1
163,0698983002,1
164,0698983003,1
165,0698983004,1
166,0698983005,1
167,0698988001,1
168,0699000001,1
169,0699006001,1
170,0699007001,1
171,0699020001,2
172,0699600001,1
173,0699600002,1
174,0699600003,1
175,0699603001,1
176,0699603003,1
177,0700109001,2
178,0700109003,2
179,0701502001,1
180,0705967001,2
181,0705967002,2
182,0705984001,2
183,0706651001,2
184,0706651002,2
185,0706651008,2
186,0706651009,2
187,0707481001,1
188,0707481002,1
189,0707526001,1
190,0707526002,1
191,0708507001,2
192,0710682006,1
193,0710682008,1
194,0710682009,1
195,0713808001,2
196,0715592001,2
197,0716231001,1
198,0716243001,1
199,0716243002,1
200,0718394001,1
201,0718507001,2
202,0719695001,2
203,0719695002,2
204,0719695003,2
205,0719702001,2
206,0719702002,2
207,0719702003,2
208,0721490001,2
209,0721490002,2
210,0721491001,2
211,0721836001,2
212,0721900001,2
213,0721900002,2
214,0724043001,1
215,0727376001,1
216,0727376002,1
217,0727600001,1
218,0727960002,1
219,0729827001,1
220,0730314001,2
221,0730314002,2
222,0730316001,1
223,0730316002,1
224,0730451001,1
225,0736190001,1
226,0736292001,1
227,0736940001,1
228,0738633001,1
229,0739130001,1
230,0739279001,2
231,0739279002,2
232,0739424001,1
233,0739876001,1
234,0740121001,1
235,0740301001,1
236,0743443001,2
237,0745047001,1
238,0746240001,1
239,0749324001,1
240,0752551001,1
241,0752552001,1
242,0752553001,1
243,0752554001,1
244,0752554002,1
245,0752554003,1
246,0752554004,1
247,0753581001,1
248,0754348001,1
249,0755064002,2
250,0755071001,2
251,0755071002,2
252,0757087001,1
253,0757770001,1
254,0757793001,1
255,0758927001,1
256,0758928001,1
257,0758928004,1
258,0758928005,1
259,0759134001,1
260,0761026001,2
261,0762318001,1
262,0762331003,1
263,0762331004,1
264,0762331005,1
265,0762331012,1
266,0778233001,2
267,0778325001,1
268,0778458002,1
269,0778458005,1
270,0778458008,1
271,0780954001,1
272,0780954002,1
273,0781506001,2
274,0786490001,1
275,0793193002,1
276,0793193004,1
277,0793193005,1
278,0793193007,1
279,0794141001,1
280,0801996001,1
281,0802016001,1
282,0802382002,1
283,0802382003,1
284,0805127001,1
285,0805127002,1
286,0805127004,1
287,0805127007,1
288,0805127009,1
289,0806300002,1
290,0811166002,1
291,0811166003,1
292,0814600001,2
293,0814600005,2
294,0814605001,2
295,0814605005,2
296,0816228001,1
297,0816228002,1
298,0816228007,1
299,0816250001,1
300,0818600002,1
301,0818890001,1
302,0819947001,1
303,0819947002,1
304,0822505001,1
305,0822505002,1
306,0824031001,1
307,0824276001,1
308,0824467001,2
309,0824467002,2
310,0824475001,2
311,0824475002,2
312,0824945001,2
313,0824945002,2
314,0824945003,2
315,0824945004,2
316,0824945005,2
317,0824945006,2
318,0824945007,2
319,0824945008,2
320,0825151001,1
321,0825151002,1
322,0825788001,2
323,0825788002,2
324,0825791002,2
325,0825791005,2
326,0834082001,1
327,0834674001,1
328,0835535001,1
329,0835653001,1
330,0835653002,1
331,0836203001,1
332,0838832001,2
333,0838832002,2
334,0838837001,2
335,0838837004,2
336,0838857001,1
337,0838857002,1
338,0840324001,1
339,0845052001,2
340,0850883001,2
341,0850883005,2
342,0850905001,1
343,0852157002,1
344,0852224001,1
345,0852511001,1
346,0852511006,1
347,0852618001,1
348,0852959001,2
349,0852959002,2
350,0856346001,1
351,0856346002,1
352,0858731001,1
353,0860929001,1
354,0861978001,1
355,0862633001,2
356,0862636002,2
357,0867929001,1
358,0867981001,1
359,0868948001,1
360,0872230001,1
361,0872230003,1
362,0872907001,1
363,0873231001,1
364,0873333001,1
365,0876876002,1
366,0879004001,2
367,0879011001,2
368,0879016001,1
369,0879021001,1
370,0879025001,2
371,0879209001,2
372,0880111001,1
373,0880115001,1
374,0880379001,1
375,0883719001,1
376,0883720001,1
377,0884442001,1
378,0887604001,1
379,0887604002,1
380,0888614002,1
381,0894210001,1
382,0894897001,1
383,0898733001,1
384,0900861001,1
385,0900861002,1
386,0916819001,1
387,0925978002,1
388,0925978003,1
389,0929691001,1
