,article_id,cluster
0,0512417004,1
1,0512428002,2
2,0517762001,2
3,0517762005,0
4,0517762006,2
5,0517762007,2
6,0517762008,2
7,0517762010,2
8,0518765003,2
9,0518765004,2
10,0556549001,2
11,0556549004,0
12,0556653001,2
13,0556655002,1
14,0556655004,2
15,0556655005,0
16,0556658001,1
17,0556674001,1
18,0569323002,1
19,0573665001,1
20,0573665003,1
21,0573704001,1
22,0573704003,1
23,0596278001,1
24,0596278002,2
25,0596278006,1
26,0599742001,1
27,0599742002,1
28,0599742003,2
29,0599742004,2
30,0599742005,2
31,0599742006,2
32,0599742007,2
33,0599742008,0
34,0599742009,0
35,0606711001,2
36,0606711003,0
37,0606711005,2
38,0606712001,2
39,0606712004,2
40,0606714001,2
41,0606742001,2
42,0606742003,2
43,0610693001,1
44,0610693002,1
45,0615950001,0
46,0629912001,2
47,0629912002,2
48,0631258001,2
49,0631270001,2
50,0631381001,2
51,0642771001,2
52,0650505001,2
53,0650505002,2
54,0650657001,2
55,0650657002,2
56,0650664001,0
57,0650664003,0
58,0655410001,2
59,0657785001,0
60,0671554001,2
61,0674387002,0
62,0683135001,0
63,0694410001,0
64,0694410002,0
65,0694618001,2
66,0694618002,2
67,0707186002,0
68,0707186003,0
69,0707186004,2
70,0707208001,0
71,0707208002,0
72,0707208003,0
73,0710500001,0
74,0710500002,0
75,0723388001,0
76,0723388003,2
77,0723388004,2
78,0723824002,2
79,0723824004,2
80,0723862001,0
81,0723862002,0
82,0723872001,2
83,0723872004,2
84,0723872005,0
85,0723874001,2
86,0723874002,2
87,0723874003,2
88,0723874004,0
89,0723890001,0
90,0723890002,0
91,0734841001,2
92,0734872001,0
93,0734872002,0
94,0734874001,0
95,0734874002,0
96,0734877001,2
97,0734877002,0
98,0735307001,0
99,0735307002,2
100,0737528001,2
101,0737528002,2
102,0738834001,0
103,0743196001,0
104,0752627001,2
105,0752629001,0
106,0752629002,0
107,0758381001,2
108,0758381002,2
109,0761952001,2
110,0761952002,2
111,0761952003,2
112,0765665001,2
113,0765665002,0
114,0783012001,0
115,0783013001,0
116,0789676001,0
117,0789723001,0
118,0808028001,2
119,0808028006,2
120,0808028008,2
121,0808029001,2
122,0808648001,2
123,0808648002,0
124,0808650001,0
125,0808670001,2
126,0808684001,2
127,0808684002,2
128,0808684003,2
129,0808684004,0
130,0808685001,2
131,0808685002,2
132,0808685005,0
133,0808686001,0
134,0808687001,0
135,0808687002,0
136,0808690001,0
137,0808690004,0
138,0808691001,2
139,0819521001,0
140,0820114001,0
141,0820114002,2
142,0820642001,0
143,0823112001,0
144,0823112002,0
145,0823972001,0
146,0823972002,0
147,0831623001,0
148,0831644001,0
149,0831644003,2
150,0831650001,2
151,0838383001,0
152,0851447001,2
153,0852561001,2
154,0853468002,0
155,0853468003,0
156,0853469001,2
157,0857082001,0
158,0857082003,0
159,0859018001,2
160,0859279001,0
161,0860746001,2
162,0860746002,0
163,0861409001,0
164,0861409002,0
165,0861458001,0
166,0861458002,2
167,0869095001,2
168,0869095002,0
169,0870577001,0
170,0870577002,0
171,0872010001,0
172,0872011001,0
173,0872011003,2
174,0877522001,0
175,0877522003,0
176,0877711001,0
177,0878497001,0
178,0889663001,0
179,0889663002,2
180,0889664001,0
181,0889664002,0
182,0889665001,2
183,0889665002,0
184,0889679001,2
185,0889679002,2
186,0889682001,2
187,0889682002,0
188,0889684001,0
189,0890386001,2
190,0890386003,0
191,0890722001,2
192,0890722002,0
193,0890741001,0
194,0897899001,0
195,0898170001,0
196,0899014001,0
197,0902821001,0
198,0912269001,0
199,0926063001,0
