,article_id,cluster
0,0315795001,1
1,0315795004,1
2,0315795005,1
3,0318238001,1
4,0324375010,2
5,0324963007,3
6,0324963025,3
7,0324963026,0
8,0324963028,3
9,0324963029,3
10,0324963035,3
11,0324963036,3
12,0324963040,0
13,0324963051,0
14,0324963052,0
15,0324963055,0
16,0332055004,2
17,0333353009,2
18,0333353010,2
19,0342840001,2
20,0344956009,0
21,0344956011,0
22,0344956021,3
23,0344956023,3
24,0344956026,0
25,0355062002,1
26,0355062004,1
27,0356438015,2
28,0356438016,2
29,0356438017,2
30,0356438023,0
31,0364409028,3
32,0364409033,3
33,0364409038,0
34,0364409039,0
35,0364409044,1
36,0365102023,3
37,0365102032,2
38,0365102037,2
39,0365102042,3
40,0365102043,3
41,0377436002,1
42,0377436007,1
43,0377436011,3
44,0377436014,0
45,0389388001,0
46,0389892002,1
47,0391598044,2
48,0391598046,3
49,0391598059,0
50,0391598061,0
51,0391598062,3
52,0404441004,2
53,0404441007,3
54,0404441008,2
55,0425217006,2
56,0425217007,1
57,0425217008,3
58,0425217010,3
59,0466006005,1
60,0466006006,1
61,0475233012,2
62,0475233019,2
63,0481540001,2
64,0481540003,2
65,0485414001,2
66,0485414002,2
67,0485414005,2
68,0486462004,2
69,0486462007,2
70,0486462008,2
71,0486462015,2
72,0489758005,2
73,0492876001,1
74,0492894001,2
75,0499334002,1
76,0499334005,1
77,0499334006,1
78,0501794002,2
79,0504263003,0
80,0504263004,0
81,0505991002,3
82,0505991004,2
83,0512988005,2
84,0512988022,2
85,0513005001,2
86,0513005004,2
87,0513007001,2
88,0513692001,2
89,0517507001,2
90,0517589001,3
91,0518630005,2
92,0518630008,2
93,0519475001,2
94,0524624001,2
95,0524624006,2
96,0527551003,2
97,0528560001,2
98,0528560002,2
99,0530928001,2
100,0533033001,3
101,0533925001,2
102,0535491001,2
103,0536246001,2
104,0537817011,1
105,0537817012,1
106,0541205003,3
107,0554163001,2
108,0554165001,1
109,0556106001,2
110,0557046001,2
111,0557046002,2
112,0557046004,0
113,0557046005,2
114,0557047002,0
115,0557075001,2
116,0557086002,2
117,0557089001,2
118,0557092001,2
119,0557231001,2
120,0558267001,2
121,0558447001,2
122,0560338001,2
123,0560435001,2
124,0560781001,3
125,0560781002,3
126,0562157001,3
127,0563377001,1
128,0563954001,2
129,0563968001,2
130,0564014003,2
131,0564723001,2
132,0567450001,2
133,0567916001,2
134,0567939002,0
135,0567952001,2
136,0568565001,2
137,0568594001,2
138,0568594004,1
139,0568652002,2
140,0568652006,2
141,0568652009,2
142,0568652018,3
143,0568652020,3
144,0568652023,3
145,0568652024,1
146,0574168004,2
147,0575338001,2
148,0575338005,3
149,0575338012,1
150,0575339001,2
151,0575353001,3
152,0575819001,2
153,0577412001,2
154,0578178002,2
155,0578179001,2
156,0578179002,2
157,0578179003,2
158,0580775001,2
159,0580775009,3
160,0582138001,2
161,0582138002,2
162,0583109001,2
163,0583881001,2
164,0583973002,2
165,0585298001,2
166,0585612001,2
167,0585881001,2
168,0585882001,2
169,0585884001,2
170,0587088002,3
171,0589001002,2
172,0589005001,2
173,0589311001,2
174,0589314001,2
175,0589318001,2
176,0589665001,2
177,0592826001,2
178,0594793001,1
179,0594793002,1
180,0595258001,2
181,0595714001,2
182,0596208001,1
183,0596208002,3
184,0597686001,0
185,0599893001,0
186,0599893002,3
187,0599893003,0
188,0599893007,0
189,0600439001,2
190,0600439002,3
191,0600528001,3
192,0601579001,2
193,0601579002,2
194,0604014001,1
195,0604315001,2
196,0604446001,2
197,0604565002,2
198,0604618001,1
199,0608416001,1
200,0608416002,1
201,0608893002,1
202,0608924001,2
203,0610155001,2
204,0610155005,2
205,0610592001,2
206,0615749001,3
207,0615749002,1
208,0618264001,2
209,0618264002,2
210,0621086002,3
211,0621348001,3
212,0622146001,2
213,0622174003,2
214,0622255001,2
215,0622522001,2
216,0624082001,3
217,0625092001,0
218,0625126001,0
219,0625692001,0
220,0625703003,0
221,0625703005,2
222,0625703006,0
223,0625722001,0
224,0626793001,3
225,0626793002,1
226,0626936002,0
227,0626947001,0
228,0627267001,1
229,0627267002,3
230,0627267003,1
231,0627267004,1
232,0628755002,3
233,0628762001,0
234,0629379001,3
235,0629379002,3
236,0632768001,0
237,0632768002,2
238,0632784001,3
239,0633403001,2
240,0635772001,2
241,0635773001,0
242,0636084001,0
243,0636121001,0
244,0637243001,3
245,0638276001,2
246,0639714001,1
247,0640536001,0
248,0642775001,1
249,0642779001,1
250,0643283001,0
251,0643566001,3
252,0643574001,0
253,0644280001,0
254,0644280002,3
255,0645030001,3
256,0645942001,3
257,0645942003,1
258,0645953001,2
259,0645953002,2
260,0646067002,1
261,0647504001,0
262,0647504002,0
263,0648921001,3
264,0648921002,3
265,0648921003,3
266,0648973001,1
267,0648973003,0
268,0648976001,0
269,0648976002,0
270,0649521002,3
271,0650212001,1
272,0650710001,3
273,0651548001,0
274,0653814005,2
275,0653924001,0
276,0653924002,0
277,0653925001,3
278,0653925002,3
279,0655476001,2
280,0655484001,0
281,0655523001,3
282,0655531001,3
283,0655916001,0
284,0655916002,0
285,0655969001,3
286,0655969002,1
287,0656334001,0
288,0656515001,3
289,0656534001,0
290,0656616001,0
291,0656616002,0
292,0656616005,0
293,0656840001,3
294,0656977001,3
295,0656980001,3
296,0656980003,0
297,0656980004,3
298,0656995002,3
299,0657049001,0
300,0657049002,1
301,0657770002,0
302,0657770003,0
303,0658548001,1
304,0659131001,1
305,0659208003,2
306,0659211001,3
307,0659211002,3
308,0659211004,1
309,0659211005,1
310,0659444001,0
311,0659551001,3
312,0659784001,3
313,0659885001,3
314,0660886001,0
315,0661069001,3
316,0661354001,0
317,0661468001,3
318,0661468002,3
319,0661511001,0
320,0661513001,0
321,0661516001,3
322,0661649001,3
323,0661650003,0
324,0661650004,0
325,0661651003,3
326,0661652001,1
327,0661652002,1
328,0661654001,3
329,0661655004,3
330,0661656003,3
331,0662320001,2
332,0662879001,1
333,0662879004,1
334,0662879006,1
335,0662879007,3
336,0662879008,1
337,0662879009,1
338,0663714001,0
339,0663714002,0
340,0663714003,0
341,0664123001,1
342,0664309001,0
343,0664309002,0
344,0664891001,1
345,0664891002,3
346,0665082001,0
347,0665082002,0
348,0665082006,3
349,0665082007,2
350,0665082008,1
351,0665082009,3
352,0665082010,1
353,0665082011,2
354,0665082012,2
355,0665082014,2
356,0665082015,2
357,0665082016,2
358,0665082018,2
359,0665082019,3
360,0665082020,2
361,0665082021,2
362,0665082022,2
363,0665082023,2
364,0665082024,2
365,0665082025,2
366,0665082032,2
367,0668687001,1
368,0668772001,1
369,0668772002,1
370,0670737001,0
371,0670737002,3
372,0672282001,1
373,0672282002,3
374,0672836001,1
375,0673531001,3
376,0673552001,1
377,0673552002,1
378,0673552003,1
379,0673983001,1
380,0673983002,1
381,0677736001,1
382,0677736002,3
383,0677736003,1
384,0677838001,0
385,0677838002,0
386,0678114001,3
387,0678571001,3
388,0678571002,0
389,0678571003,0
390,0678571004,3
391,0678571005,3
392,0678571006,3
393,0678571009,1
394,0678571010,3
395,0678571011,1
396,0678571012,1
397,0678590001,3
398,0680217001,3
399,0680659001,0
400,0680659002,0
401,0682099001,2
402,0682824001,3
403,0682957001,0
404,0682958001,0
405,0683057001,1
406,0683139001,2
407,0683266001,3
408,0683266002,0
409,0683266003,0
410,0683267001,1
411,0683267002,1
412,0683267003,1
413,0683267004,1
414,0683267005,1
415,0683267006,1
416,0683275001,2
417,0683275003,2
418,0683275004,3
419,0683275005,3
420,0683275006,0
421,0683275007,3
422,0683436002,0
423,0683770001,3
424,0683830001,3
425,0683830002,0
426,0684033001,1
427,0684033003,1
428,0684206001,0
429,0684206009,3
430,0684374001,3
431,0685124001,1
432,0686310001,1
433,0686960001,0
434,0687063001,1
435,0687407001,3
436,0687407002,3
437,0688548001,3
438,0688548002,1
439,0688826001,3
440,0689049001,3
441,0691704001,0
442,0692322001,0
443,0692322002,2
444,0692323001,0
445,0693196001,1
446,0693196002,1
447,0693196003,1
448,0693238001,3
449,0693238002,3
450,0694256001,2
451,0694256002,3
452,0694677001,1
453,0694677002,1
454,0694785001,1
455,0695299001,1
456,0696848001,3
457,0696848002,3
458,0697456001,3
459,0698949001,2
460,0698949002,2
461,0698949003,3
462,0699085001,1
463,0699667001,2
464,0699667002,2
465,0699830002,2
466,0702366001,1
467,0702368001,1
468,0702368002,1
469,0702368004,1
470,0702368005,1
471,0702368006,1
472,0702368007,1
473,0702368009,1
474,0702368010,1
475,0702368012,1
476,0702368013,3
477,0702368014,1
478,0702368016,1
479,0702368018,1
480,0702369001,2
481,0702443001,0
482,0703442001,2
483,0703443001,1
484,0703443002,3
485,0703443003,3
486,0703484001,0
487,0703583001,1
488,0703600001,3
489,0703629001,3
490,0703631001,2
491,0704114001,2
492,0704114002,2
493,0704148001,3
494,0704148003,3
495,0704148006,3
496,0704148007,3
497,0704148008,3
498,0704762001,0
499,0705143001,0
500,0705143002,3
501,0705143003,1
502,0705731002,3
503,0706283001,2
504,0706283002,2
505,0706479001,2
506,0706479002,2
507,0706484001,2
508,0707061001,2
509,0707061002,2
510,0707061003,2
511,0707852002,3
512,0708407001,1
513,0708554001,0
514,0708554002,0
515,0709346001,1
516,0710214001,3
517,0710214002,3
518,0710446002,0
519,0710667001,0
520,0710670001,0
521,0710888001,0
522,0711123001,3
523,0711215001,0
524,0711548001,2
525,0712999001,2
526,0712999002,3
527,0713014001,0
528,0713014002,0
529,0713221001,0
530,0713756001,3
531,0713935002,1
532,0713997001,1
533,0713997002,1
534,0713997006,1
535,0713997013,1
536,0713997015,1
537,0713997016,1
538,0713997023,1
539,0713997029,3
540,0713997031,1
541,0713997039,1
542,0713997040,1
543,0713997045,1
544,0713997048,1
545,0713997049,1
546,0713997050,1
547,0713997055,3
548,0713997057,1
549,0713997059,1
550,0713997060,1
551,0713997061,1
552,0713997062,1
553,0713997065,0
554,0713997068,1
555,0713997074,3
556,0713997076,3
557,0713997077,3
558,0713997080,3
559,0713997083,3
560,0713997084,1
561,0713997085,1
562,0713997086,1
563,0713997087,2
564,0713997089,3
565,0713997092,3
566,0713997093,3
567,0713997100,1
568,0714566001,2
569,0714985001,0
570,0715431001,3
571,0716507001,3
572,0716507002,3
573,0716507004,2
574,0716509001,0
575,0716511001,3
576,0716511002,3
577,0716511003,3
