,article_id,cluster
0,0264713001,1
1,0264713028,0
2,0354307004,1
3,0354307008,1
4,0411499001,2
5,0411499006,2
6,0437668014,0
7,0437668015,1
8,0475827008,2
9,0475827010,1
10,0475827011,1
11,0475827014,0
12,0475827018,0
13,0475997001,1
14,0479453001,0
15,0479453002,0
16,0500153006,2
17,0500153009,1
18,0500372003,1
19,0500372004,0
20,0518978001,0
21,0530028001,1
22,0532102011,0
23,0532102012,0
24,0532102013,1
25,0532102015,1
26,0533674004,0
27,0533674005,1
28,0533675003,1
29,0535905001,2
30,0545894001,0
31,0545894002,0
32,0551124006,2
33,0551124007,1
34,0556439001,2
35,0558746002,2
36,0558770004,1
37,0571962001,2
38,0575916001,2
39,0576782001,2
40,0578386001,1
41,0578502001,2
42,0580859001,2
43,0581105001,0
44,0581105002,0
45,0581154001,0
46,0581154003,1
47,0585861004,1
48,0585861005,0
49,0585861008,0
50,0585861013,0
51,0585861014,1
52,0591550001,2
53,0591550002,2
54,0593990001,2
55,0593990004,2
56,0594006002,2
57,0599672001,2
58,0599672002,2
59,0600016001,0
60,0600016002,0
61,0601813003,1
62,0601814002,0
63,0601814004,1
64,0608388001,0
65,0608388003,1
66,0610321002,0
67,0610321003,0
68,0610321005,1
69,0610321006,0
70,0610321008,1
71,0612941001,2
72,0613359001,1
73,0614960001,1
74,0617470001,1
75,0620508001,1
76,0622126002,2
77,0622126003,1
78,0622141004,0
79,0622141005,1
80,0622141006,0
81,0622141008,1
82,0622141009,1
83,0623377001,0
84,0623377003,1
85,0623989001,1
86,0623989002,1
87,0624945001,1
88,0624945004,1
89,0625714001,0
90,0630304001,1
91,0630304002,0
92,0630304005,0
93,0632560001,1
94,0632560002,0
95,0632642002,2
96,0632642004,1
97,0632642005,1
98,0632642006,0
99,0635440001,1
100,0635440002,0
101,0635440004,1
102,0635440007,0
103,0636194001,2
104,0637551001,0
105,0639515001,0
106,0640537001,0
107,0642687001,0
108,0642687002,1
109,0642687005,1
110,0644075002,0
111,0644314001,0
112,0644314002,0
113,0644522001,0
114,0644522002,0
115,0645382001,1
116,0645382002,1
117,0645400001,0
118,0645406001,1
119,0645408003,0
120,0648348001,1
121,0648348003,1
122,0648348004,1
123,0648374001,1
124,0648438001,0
125,0648439001,0
126,0648439002,0
127,0648439003,1
128,0648448001,1
129,0648448002,0
130,0648603001,0
131,0648764002,1
132,0652650001,0
133,0653201001,1
134,0653382001,1
135,0653433002,1
136,0655017001,1
137,0656121001,0
138,0656121002,1
139,0656121003,1
140,0656121004,1
141,0656121006,1
142,0656121007,0
143,0656121009,1
144,0656121010,0
145,0657912001,0
146,0657974001,1
147,0658013001,1
148,0659589001,0
149,0660110001,0
150,0660116001,0
151,0663331001,0
152,0663331002,0
153,0663332001,1
154,0663350001,1
155,0663350002,0
156,0663352001,1
157,0663353001,1
158,0663353002,1
159,0663358001,0
160,0663358002,1
161,0663358003,0
162,0663361001,0
163,0663362001,1
164,0663790002,1
165,0665695001,1
166,0665697001,1
167,0665778001,1
168,0666501001,0
169,0669631001,0
170,0669631004,1
171,0671762001,1
172,0673999001,0
173,0674002001,1
174,0674002002,1
175,0674002003,0
176,0674002004,0
177,0674412001,0
178,0686939001,1
179,0686939002,0
180,0689139001,0
181,0689139002,1
182,0690470001,0
183,0690472001,0
184,0693649001,0
185,0693649003,0
186,0693649004,0
187,0693649006,1
188,0693649007,1
189,0693649008,1
190,0693649010,1
191,0693649011,1
192,0694921001,1
193,0695341002,0
194,0695341006,1
195,0698706002,0
196,0698706004,0
197,0700789001,0
198,0705432001,0
199,0705470001,1
200,0705470002,1
201,0705824001,1
202,0705824003,1
203,0705824004,0
204,0707180001,0
205,0707181001,0
206,0707851002,1
207,0709109001,1
208,0712313001,1
209,0712411001,0
210,0712411003,1
211,0713850001,0
212,0713850002,1
213,0713850003,1
214,0713850004,0
215,0713888001,1
216,0713934003,1
217,0713934005,0
218,0713934008,0
219,0713934010,1
220,0713958001,0
221,0717349001,1
222,0717349004,0
223,0717745001,0
224,0717745002,1
225,0717745003,1
226,0717942001,0
227,0717942002,1
228,0717942003,1
229,0718906002,0
230,0718936001,1
231,0718936002,0
232,0718936005,0
233,0719123001,1
234,0719553002,0
235,0719553003,0
236,0733175001,1
237,0734171001,0
238,0735093001,1
239,0735379001,0
240,0737370001,0
241,0738522001,0
242,0738944001,1
243,0738944002,0
244,0738978001,1
245,0739034001,1
246,0739034002,0
247,0739255001,1
248,0741308001,0
249,0741308002,0
250,0743215001,0
251,0745344001,0
252,0745344002,1
253,0745785001,1
254,0745785002,0
255,0749131001,0
256,0749131002,1
257,0749131003,0
258,0749131004,1
259,0757183001,0
260,0759415001,1
261,0759415002,1
262,0761046001,0
263,0763046001,1
264,0763046002,1
265,0763443003,1
266,0763713001,0
267,0763743001,0
268,0763743002,0
269,0763743003,0
270,0764622001,1
271,0764622002,0
272,0765499001,0
273,0766928002,0
274,0766928003,1
275,0769673001,0
276,0769673002,0
277,0769673004,0
278,0772232001,0
279,0774210001,1
280,0777055001,0
281,0777056001,0
282,0777058001,0
283,0777059001,1
284,0777059002,1
285,0777059004,0
286,0777066001,1
287,0778748001,0
288,0782652001,1
289,0783014001,0
290,0783014003,0
291,0784461001,0
292,0785650001,1
293,0785650002,0
294,0785675001,0
295,0787491001,1
296,0789101001,0
297,0792952001,1
298,0793520001,1
299,0793520002,0
300,0794016001,1
301,0796888001,0
302,0796888003,0
303,0798783001,1
304,0802078001,0
305,0802078002,0
306,0802078003,1
307,0802078004,0
308,0806665001,1
309,0806665002,1
310,0806665003,0
311,0808467003,0
312,0808473001,0
313,0808473002,0
314,0808953001,0
315,0808953002,1
316,0808953003,0
317,0815736001,1
318,0819339001,1
319,0819339002,0
320,0819339003,0
321,0819341001,0
322,0819341002,0
323,0820200001,1
324,0820471001,0
325,0820471002,0
326,0820652001,0
327,0820652002,1
328,0820652003,1
329,0820665002,0
330,0821760001,1
331,0822277001,0
332,0822295001,0
333,0822312001,0
334,0822917001,1
335,0825060001,0
336,0825060002,0
337,0825060003,1
338,0825063001,0
339,0825063002,1
340,0830747001,1
341,0830754001,1
342,0830754002,1
343,0830829001,1
344,0834333004,0
345,0834333005,1
346,0839766001,1
347,0839766002,0
348,0839766003,0
349,0839766006,1
350,0839766007,0
351,0839769001,0
352,0839769003,1
353,0852384001,0
354,0852384002,0
355,0854025003,0
356,0854025004,0
357,0855722002,1
358,0855722003,1
359,0856627003,0
360,0856646001,0
361,0856654002,0
362,0857237001,1
363,0860310001,1
364,0860858001,0
365,0875227001,0
366,0875227002,0
367,0875227003,0
368,0883440001,1
369,0888491001,0
370,0888764002,0
371,0893452001,0
372,0895564001,0
373,0895572001,0
374,0896989001,0
375,0898192001,0
376,0901782001,0
377,0902726002,0
378,0906501001,0
379,0921538001,0
380,0922775001,0
381,0922775002,0
382,0932554001,0
