,article_id,cluster
0,0486769001,1
1,0492683002,1
2,0492943001,1
3,0498621001,1
4,0499288001,1
5,0499288002,1
6,0500357001,1
7,0500357002,1
8,0545303001,1
9,0545303002,1
10,0545303010,1
11,0556360001,1
12,0556360002,1
13,0556360006,1
14,0564914001,1
15,0571584002,1
16,0572604001,0
17,0590691002,1
18,0595942001,2
19,0596713002,2
20,0597152001,1
21,0597153001,1
22,0597153002,1
23,0606760004,2
24,0616131001,2
25,0616131002,2
26,0616131003,2
27,0616131004,2
28,0617378001,0
29,0618310001,0
30,0618310002,0
31,0625912001,0
32,0627760003,2
33,0627760004,2
34,0627760006,2
35,0627760007,0
36,0627769005,0
37,0627769006,0
38,0627769007,0
39,0627769008,0
40,0627769009,0
41,0627771004,0
42,0627771005,2
43,0627771007,0
44,0631808002,0
45,0637309001,2
46,0637309004,0
47,0637309005,0
48,0637314001,0
49,0637314002,2
50,0637314003,2
51,0639242001,2
52,0639242002,2
53,0640777003,0
54,0640777005,0
55,0641892001,2
56,0641892002,2
57,0657618001,2
58,0661799001,0
59,0661799002,2
60,0662338001,0
61,0677389001,0
62,0684980001,2
63,0685507001,2
64,0685507002,2
65,0685507003,0
66,0685507005,2
67,0685712002,2
68,0685712003,0
69,0685712004,0
70,0690279001,2
71,0694813001,2
72,0694813002,2
73,0697245001,2
74,0701354001,0
75,0701354002,0
76,0701398001,0
77,0701398002,2
78,0703251001,0
79,0716508001,0
80,0734927001,2
81,0734927003,2
82,0734927004,2
83,0734927005,2
84,0738174001,2
85,0738351001,0
86,0739493001,2
87,0739493006,2
88,0739493007,0
89,0739493010,2
90,0739495001,2
91,0739495002,2
92,0740561001,0
93,0741990001,2
94,0741990002,2
95,0749845001,2
96,0749845002,2
97,0766692001,0
98,0766855001,2
99,0773191001,2
100,0778224001,2
101,0778224002,2
102,0787617001,2
103,0787617002,2
104,0789356001,0
105,0794940001,0
106,0803971002,2
107,0803971003,2
108,0803971004,2
109,0803971005,2
110,0803971006,2
111,0804840002,2
112,0804840003,2
113,0804840005,2
114,0804982001,0
115,0809254001,0
116,0812967001,0
117,0819733001,0
118,0819733002,2
119,0822850002,0
120,0838779001,0
121,0838779002,0
122,0855928001,2
123,0863577001,2
124,0864043002,2
125,0864043003,2
126,0864043004,0
127,0868034001,0
128,0868035001,0
129,0868035002,0
130,0868053001,0
131,0868053003,0
132,0868451001,2
133,0868812001,2
134,0868812002,2
135,0869329002,2
136,0870982001,0
137,0870982002,0
138,0870982003,0
139,0870989001,0
140,0870989002,0
141,0873544002,2
142,0873545001,0
143,0877777001,0
144,0877777002,0
145,0880456001,2
146,0882021001,2
147,0884668002,0
148,0884668003,0
149,0902160001,0
150,0903628001,2
151,0903998001,0
152,0909068001,0
153,0912217002,2
