,article_id,cluster
0,0442344003,2
1,0497154001,2
2,0497197002,2
3,0501501001,2
4,0501923001,2
5,0501923002,1
6,0501923003,1
7,0501924001,2
8,0501924002,2
9,0501924003,0
10,0501924004,1
11,0501926001,2
12,0501926002,2
13,0501926003,1
14,0501926005,1
15,0503175001,2
16,0521846002,2
17,0564986002,2
18,0567741002,0
19,0567741004,2
20,0567741005,2
21,0567741006,0
22,0568906002,2
23,0571961001,2
24,0571961002,2
25,0574066001,1
26,0582239001,2
27,0582239002,2
28,0582247001,1
29,0582247002,1
30,0617209001,0
31,0617209002,0
32,0617209004,0
33,0617280001,1
34,0617280003,0
35,0625176003,1
36,0625176004,1
37,0625176006,0
38,0625178001,0
39,0625178002,2
40,0625178003,0
41,0625192002,0
42,0625192004,0
43,0625671001,0
44,0625671002,0
45,0625671003,0
46,0625671004,0
47,0625925001,1
48,0625925002,1
49,0636868001,0
50,0637277001,1
51,0637277002,0
52,0637307001,0
53,0637307002,0
54,0637307003,0
55,0637320001,0
56,0637320002,0
57,0637320004,0
58,0637320005,0
59,0643718001,0
60,0644021001,0
61,0644023001,0
62,0650441001,0
63,0672745003,0
64,0672745004,0
65,0683619001,1
66,0684992001,0
67,0684992002,0
68,0689964001,0
69,0689964002,0
70,0690822001,1
71,0690822002,1
72,0693295001,1
73,0693331001,1
74,0693331002,1
75,0697755001,0
76,0698319001,1
77,0720071001,1
78,0722022001,1
79,0732900001,0
80,0739510001,0
81,0739510002,0
82,0739954001,0
83,0746297001,0
84,0746297002,0
85,0746297005,0
86,0748885001,0
87,0753280001,0
88,0753280002,0
89,0753385001,0
90,0753437001,0
91,0753437002,0
92,0753437003,0
93,0753437004,0
94,0753437006,0
95,0753437008,0
96,0757511001,0
97,0757511002,0
98,0757511003,0
99,0757511004,0
100,0759836001,1
101,0760494001,1
102,0765093001,0
103,0768351001,0
104,0780210001,1
105,0781903001,0
106,0781903002,0
107,0783767001,0
108,0783767003,1
109,0799030002,1
110,0805083001,0
111,0807362001,0
112,0807362002,1
113,0807362003,1
114,0809947001,1
115,0809947002,1
116,0812500001,0
117,0816746001,1
118,0816891001,1
119,0823711001,0
120,0825243001,1
121,0842056002,0
122,0842072001,0
123,0845921001,1
124,0845921002,1
125,0865474001,1
126,0865915001,1
127,0867829002,0
128,0900373001,1
129,0916699001,0
