,article_id,cluster
0,0316085001,1
1,0316085002,1
2,0316085013,0
3,0378124004,1
4,0378124007,1
5,0378124009,1
6,0378124012,0
7,0378124013,0
8,0378124014,1
9,0395730016,1
10,0395730018,1
11,0395730020,1
12,0395730022,1
13,0395730028,1
14,0395730029,1
15,0395730030,1
16,0395730035,0
17,0395730036,1
18,0395730037,0
19,0395730038,0
20,0395730039,0
21,0395730040,0
22,0395730041,0
23,0395730043,0
24,0395730045,0
25,0443860005,1
26,0443860011,2
27,0443860012,2
28,0443860013,1
29,0443860014,1
30,0443860020,1
31,0443860021,1
32,0443860023,2
33,0443860025,0
34,0443860026,1
35,0443860027,1
36,0443860030,1
37,0443860031,1
38,0443860033,1
39,0443860037,0
40,0443860040,1
41,0443860043,0
42,0443860044,0
43,0443860054,0
44,0468345021,2
45,0468345022,2
46,0468345033,2
47,0476315015,2
48,0476315023,2
49,0476315024,2
50,0476315026,1
51,0476315028,1
52,0476315032,2
53,0476315036,1
54,0476315038,1
55,0476315040,2
56,0476315042,2
57,0491532006,1
58,0491532007,1
59,0495979002,2
60,0508543005,1
61,0508543010,2
62,0508543015,1
63,0508543016,1
64,0508543017,0
65,0508543022,1
66,0508543023,1
67,0508543024,0
68,0508543026,1
69,0508543027,1
70,0508543028,1
71,0508543029,1
72,0508543030,1
73,0508543031,0
74,0508543033,1
75,0508543040,1
76,0508543050,0
77,0508543051,0
78,0508543052,0
79,0508544001,0
80,0508544003,0
81,0508544004,0
82,0508544009,0
83,0508544010,2
84,0508544014,0
85,0508544019,0
86,0508544022,0
87,0561652003,0
88,0569516002,1
89,0569516004,1
90,0569516006,1
91,0569516007,1
92,0569516008,0
93,0569516009,0
94,0570004005,0
95,0570004007,2
96,0570004009,1
97,0570004010,1
98,0570004011,0
99,0570004012,1
100,0570004017,1
101,0570004026,2
102,0570004027,1
103,0570004028,2
104,0570004029,1
105,0570004031,1
106,0570004045,1
107,0570004046,1
108,0570004047,1
109,0570004049,1
110,0570004050,1
111,0570004053,1
112,0570004060,1
113,0570004061,1
114,0570004062,0
