,article_id,cluster
0,0359504016,1
1,0359504019,0
2,0370868011,1
3,0370868012,1
4,0370868013,1
5,0506369001,2
6,0506369002,2
7,0506369003,0
8,0506369004,0
9,0506369005,0
10,0506369006,0
11,0506369007,0
12,0523936003,2
13,0523936004,2
14,0523936006,0
15,0523936012,0
16,0523936013,2
17,0523936014,2
18,0523936019,0
19,0523936021,0
20,0523936024,0
21,0523936027,0
22,0523936032,0
23,0523936035,0
24,0523936038,0
25,0523936040,0
26,0523936044,0
27,0523936045,0
28,0523936049,0
29,0531366001,2
30,0536139001,2
31,0536139002,2
32,0536139003,1
33,0536139006,0
34,0536139007,2
35,0536139009,0
36,0536139010,0
37,0536139011,1
38,0536139012,0
39,0536139013,2
40,0536139014,2
41,0536139028,0
42,0536139029,1
43,0536139034,1
44,0536139037,0
45,0536139038,0
46,0536139039,0
47,0536139042,0
48,0536139046,0
49,0536139047,0
50,0536139048,0
51,0536139049,0
52,0536139051,0
53,0536139053,0
54,0536139054,0
55,0536139055,0
56,0536139057,0
57,0536139058,0
58,0536139060,0
59,0536139063,0
60,0536139067,0
61,0536139068,0
62,0536139069,0
63,0536139070,0
64,0536139071,0
65,0536139084,0
66,0540277003,2
67,0540277004,2
68,0540277005,1
69,0540277007,1
70,0540277012,1
71,0540277013,1
72,0540277017,1
73,0543035001,1
74,0543035002,1
75,0543035003,0
76,0543035006,0
77,0543035012,1
78,0543035013,1
79,0543035015,0
80,0543035016,0
81,0543035017,0
82,0543035019,1
83,0556576002,2
84,0561500001,2
85,0561500002,2
86,0571503001,0
87,0571503004,2
88,0571503011,0
89,0574520003,0
90,0574874002,0
91,0574874003,0
92,0574874004,1
93,0574874006,0
94,0575158001,2
95,0586551001,1
96,0586551002,2
97,0587204001,2
98,0587204002,2
99,0610725001,1
100,0620894001,0
101,0624901013,1
102,0624901014,1
103,0624901015,1
104,0624901016,1
105,0624901018,1
106,0625665001,1
107,0638939001,1
108,0651862006,1
109,0651862008,1
110,0654103002,1
111,0654103004,1
112,0654104001,0
113,0655265001,0
114,0655265002,0
115,0655265003,1
116,0655267001,0
117,0655267003,1
118,0655267004,1
119,0655267005,1
120,0655561001,1
121,0655561002,1
122,0689088001,1
123,0711670002,0
124,0711938002,1
125,0713380001,0
126,0713380002,0
127,0713380003,0
128,0713380004,0
129,0713380005,0
130,0713380007,0
131,0713380013,0
132,0713380014,0
133,0713380016,0
134,0713380019,0
135,0713380022,0
136,0713380023,0
137,0713380027,0
138,0713380030,0
139,0713380037,0
140,0717738001,1
141,0720228001,1
142,0720228002,1
143,0720228003,0
144,0722046001,0
145,0732666001,0
146,0734970001,1
147,0734970002,1
148,0752863001,1
149,0756420001,0
150,0756420004,1
151,0756420005,0
152,0756420007,0
153,0756420008,0
154,0757613001,1
155,0757613002,1
156,0757613003,1
157,0761418001,1
158,0761418003,1
159,0761418004,1
160,0764087001,1
161,0764087003,1
162,0769838001,0
163,0770351001,0
164,0770351002,0
165,0770351003,0
166,0770351005,1
167,0777808001,0
168,0777808004,0
169,0781937004,0
170,0785089001,1
171,0785327001,0
172,0785327002,0
173,0785327003,0
174,0785344001,0
175,0785344002,0
176,0785523001,1
177,0790383001,0
178,0790383003,0
179,0790383006,1
180,0790383007,0
181,0812323001,0
182,0816487001,1
183,0819048001,1
184,0823291002,0
185,0823659001,1
186,0825986001,0
187,0825986002,0
188,0827792001,0
189,0827792002,0
190,0844198001,0
191,0844198002,0
192,0854154001,0
193,0854154002,0
194,0860527001,0
195,0860527002,0
196,0868438002,1
197,0868438003,1
198,0872618001,1
199,0872618002,1
200,0872621001,1
201,0872621002,1
202,0872649001,0
203,0877599001,1
204,0877599002,1
205,0879912002,0
206,0886080001,0
207,0888399001,1
208,0894656001,0
209,0905437001,0
210,0909916002,0
211,0909924004,0
212,0909924006,0
213,0913340001,0
214,0913340002,0
215,0924625001,0
216,0926164001,1
217,0933989002,0
218,0936622001,0
219,0947060001,0
