,article_id,cluster
0,0296476008,2
1,0296476009,0
2,0296476012,0
3,0296476013,0
4,0296476014,0
5,0296476015,0
6,0296476017,0
7,0296476018,0
8,0296476019,0
9,0296476022,0
10,0309434006,2
11,0309434007,0
12,0309434009,0
13,0309434010,0
14,0309434011,0
15,0309434013,0
16,0309434014,0
17,0309434015,0
18,0325542015,0
19,0325542018,0
20,0474138001,0
21,0474138009,2
22,0483387001,2
23,0485553003,2
24,0485553004,0
25,0485553005,0
26,0485553008,0
27,0485553009,1
28,0485553020,1
29,0485553021,0
30,0485553023,0
31,0485553026,0
32,0485746002,1
33,0485746003,1
34,0485746007,0
35,0485746009,1
36,0485746011,1
37,0493649001,2
38,0493649005,2
39,0517931002,2
40,0517931003,2
41,0517931005,2
42,0517931006,0
43,0517931007,0
44,0517931010,0
45,0528386002,2
46,0536163002,2
47,0536163003,2
48,0540614003,0
49,0540614004,0
50,0540614005,0
51,0540614006,0
52,0540614007,0
53,0540614008,0
54,0540614011,0
55,0540614012,0
56,0540614019,0
57,0553403002,1
58,0553403003,0
59,0565522001,2
60,0569562001,0
61,0569562003,0
62,0569562005,0
63,0569562011,0
64,0569562012,0
65,0569562014,0
66,0574689001,2
67,0575238001,0
68,0575238006,0
69,0576146001,2
70,0578621001,0
71,0592694001,0
72,0609648001,2
73,0619601001,0
74,0619601002,1
75,0619601003,1
76,0619601004,1
77,0619601005,1
78,0619601006,0
79,0619601007,1
80,0619601008,0
81,0619601009,1
82,0619601010,0
83,0619601011,1
84,0619601012,0
85,0619601013,0
86,0647841001,0
87,0651027002,0
88,0651027003,0
89,0651027004,0
90,0653518001,2
91,0664747002,0
92,0672800001,0
93,0674033001,0
94,0684688001,0
95,0684688002,0
96,0684688003,0
97,0692499001,0
98,0699955001,0
99,0701580001,0
100,0701853001,0
101,0701853006,0
102,0701853009,0
103,0701853010,0
104,0714571001,0
105,0714571002,0
106,0729943001,0
107,0733020001,0
108,0734015001,0
109,0745168001,0
110,0746951002,0
111,0746951003,0
112,0746951004,0
113,0756318001,0
114,0756318002,0
115,0756318003,0
116,0756318004,0
117,0756318006,0
118,0756318007,0
119,0770321001,0
120,0770321002,0
121,0770345001,0
122,0770345002,0
123,0770345004,0
124,0806236001,0
125,0852288001,0
126,0861772001,0
127,0865706001,0
128,0865708001,0
129,0873954001,0
130,0879450001,0
131,0899614001,0
132,0899614002,0
133,0907170001,0
134,0926325001,0
135,0932698001,0
