,article_id,cluster
0,0310365019,2
1,0312829006,2
2,0312829007,2
3,0312829010,1
4,0312829011,1
5,0315509001,1
6,0315509020,1
7,0315509024,0
8,0315509032,2
9,0315509033,2
10,0315509036,0
11,0316008005,1
12,0320524003,2
13,0321591012,0
14,0321591013,0
15,0336125002,2
16,0336125003,2
17,0342034003,0
18,0342034014,1
19,0342034016,2
20,0342034017,2
21,0342034019,2
22,0342034027,0
23,0345922004,1
24,0345922005,2
25,0345922011,0
26,0351098028,2
27,0351098032,2
28,0359909001,2
29,0359909015,2
30,0359909030,2
31,0359909035,2
32,0402382004,2
33,0402382008,2
34,0402382009,2
35,0402382010,2
36,0402382012,2
37,0412043007,2
38,0412579006,2
39,0412664001,1
40,0412664013,3
41,0412664020,0
42,0412664025,0
43,0425217001,0
44,0425217011,0
45,0425218024,2
46,0431570012,2
47,0431570014,2
48,0431570016,2
49,0431570017,2
50,0451599002,2
51,0451599003,2
52,0469001001,0
53,0469021001,0
54,0469271005,2
55,0470167001,2
56,0470167002,0
57,0493124001,1
58,0496463001,2
59,0496989002,2
60,0496989005,2
61,0499959001,2
62,0499959002,2
63,0502322001,2
64,0507987001,0
65,0507987006,2
66,0507987018,2
67,0507987024,3
68,0507987025,0
69,0507987026,0
70,0507987027,0
71,0507987030,3
72,0507987031,0
73,0507987034,3
74,0511783002,0
75,0511783003,0
76,0511783004,0
77,0511783006,2
78,0511783009,0
79,0511783012,2
80,0511801001,2
81,0511802003,1
82,0511802005,2
83,0511803003,2
84,0511803007,2
85,0511803008,2
86,0515327003,2
87,0517474001,2
88,0517739001,2
89,0517880010,2
90,0517880011,2
91,0517880013,2
92,0517880014,2
93,0519169002,1
94,0519169003,1
95,0521463001,2
96,0521804004,1
97,0521804006,3
98,0521804007,1
99,0521805002,2
100,0521805011,3
101,0521807006,2
102,0521810001,2
103,0521817002,2
104,0521817003,2
105,0524770002,2
106,0524770004,2
107,0528070001,1
108,0528070002,2
109,0528070005,0
110,0528070006,0
111,0532421001,2
112,0537183003,1
113,0537183004,2
114,0537183005,2
115,0537878001,2
116,0538628001,2
117,0544199001,2
118,0545536001,3
119,0545536004,3
120,0545540001,2
121,0548724001,2
122,0549024002,2
123,0552817001,2
124,0554994006,2
125,0557548002,3
126,0557561001,2
127,0557561002,2
128,0557561006,2
129,0557565001,2
130,0557565004,0
131,0558380001,2
132,0560818001,2
133,0560818003,2
134,0562093001,2
135,0562145004,2
136,0562324001,2
137,0562913001,2
138,0563192001,0
139,0563192003,1
140,0563310001,2
141,0563418001,1
142,0563418002,1
143,0565858001,1
144,0565858002,1
145,0565858003,1
146,0566015001,2
147,0566130001,1
148,0566130002,2
149,0572322001,2
150,0575942004,2
151,0578534001,1
152,0578973001,2
153,0579423001,2
154,0579504001,1
155,0579504003,1
156,0579504004,0
157,0580085003,3
158,0580085004,0
159,0581877001,1
160,0581877002,2
161,0581888001,0
162,0581888002,0
163,0583131001,2
164,0583131003,1
165,0583131004,1
166,0583131005,1
167,0583131008,2
168,0583131012,2
169,0583131013,2
170,0583355001,2
171,0584710001,2
172,0585955001,2
173,0585955002,1
174,0585955003,1
175,0585955004,1
176,0586900001,2
177,0587078001,2
178,0589249001,2
179,0589249002,1
180,0596206001,0
181,0596311001,2
182,0602029001,2
183,0602030001,2
184,0604794001,2
185,0606047001,2
186,0606248005,0
187,0607552001,2
188,0607552002,2
189,0612138001,0
190,0612138004,0
191,0612138006,1
192,0616976001,1
193,0616976002,1
194,0616976003,1
195,0616981001,1
196,0616981005,1
197,0617034001,1
198,0617037001,0
199,0617037002,0
200,0617037003,1
201,0617037004,1
202,0617080001,1
203,0617080002,3
204,0617091001,1
205,0617091002,1
206,0617091004,1
207,0617120001,1
208,0618760001,3
209,0620910001,1
210,0620910002,1
211,0620910003,1
212,0620910004,0
213,0620910005,1
214,0622012001,0
215,0623571001,2
216,0623571003,2
217,0624042001,0
218,0624042002,0
219,0624042003,0
220,0624042004,1
221,0624042005,0
222,0624048001,0
223,0624048002,0
224,0624048003,3
225,0624050002,0
226,0624050003,0
227,0624050004,1
228,0624050007,0
229,0624632001,0
230,0624632002,3
231,0624632003,3
232,0624632006,0
233,0624632007,0
234,0624633001,1
235,0624633003,1
236,0624633004,1
237,0624634001,0
238,0624634002,0
239,0624634003,0
240,0624634005,0
241,0624636001,0
242,0624636002,0
243,0624636004,0
