,article_id,cluster
0,0203595034,2
1,0203595036,2
2,0203595040,11
3,0203595048,2
4,0203595058,2
5,0283236014,7
6,0283236018,6
7,0283236020,7
8,0283236022,7
9,0283236023,7
10,0283236026,7
11,0283236027,10
12,0283236028,7
13,0283236029,7
14,0283236034,5
15,0337777001,0
16,0337777004,0
17,0337777006,8
18,0337777012,1
19,0337777013,10
20,0337777014,10
21,0337777015,5
22,0337777016,0
23,0392938001,5
24,0392938002,0
25,0392938024,1
26,0392938029,8
27,0392938032,8
28,0392938035,5
29,0392938036,1
30,0394522001,1
31,0394522003,5
32,0394522005,0
33,0394798002,7
34,0394798004,7
35,0395127001,0
36,0395127006,5
37,0395127011,10
38,0395127012,0
39,0395127013,8
40,0395127028,5
41,0395127030,10
42,0395127031,4
43,0395127036,9
44,0395127040,0
45,0395127042,5
46,0395127043,5
47,0408104001,1
48,0408104002,7
49,0408104012,1
50,0408104016,1
51,0408104020,8
52,0408104022,8
53,0408104024,7
54,0408104028,5
55,0414577001,1
56,0443078001,1
57,0443078003,1
58,0443078004,7
59,0443078008,1
60,0443078012,8
61,0443078013,5
62,0443078014,5
63,0451019010,3
64,0457412038,3
65,0457412049,2
66,0457618016,3
67,0457618018,3
68,0458851001,8
69,0458882003,0
70,0458882004,0
71,0463290013,3
72,0466917003,2
73,0466987019,4
74,0466987020,6
75,0466987024,6
76,0466987027,6
77,0482208002,8
78,0482216001,10
79,0483299013,2
80,0486182001,8
81,0486186002,10
82,0486186005,1
83,0495560002,10
84,0495560003,5
85,0495725004,11
86,0495725005,7
87,0495725006,6
88,0495725007,9
89,0495725008,6
90,0495725009,9
91,0495725011,6
92,0495728001,8
93,0495730001,8
94,0495733001,10
95,0495733002,4
96,0495733003,8
97,0495733007,9
98,0495733010,0
99,0495742001,2
100,0497787001,8
101,0497787002,8
102,0497787004,8
103,0499883001,2
104,0499883002,2
105,0499883003,3
106,0499883004,3
107,0499885002,2
108,0499977001,2
109,0499979001,8
110,0499979007,8
111,0500348001,3
112,0500348002,3
113,0500348005,3
114,0501616001,1
115,0501616002,8
116,0501616004,8
117,0501616006,3
118,0501616007,10
119,0501616008,1
120,0501616009,7
121,0501616010,8
122,0501616011,1
123,0501616012,4
124,0501616020,9
125,0501616028,1
126,0501616048,1
127,0501616068,10
128,0501616069,1
129,0501616074,1
130,0501616085,4
131,0501616086,1
132,0501616087,1
133,0501616088,1
134,0501616089,9
135,0501616090,6
136,0501619001,1
137,0501619006,8
138,0501619007,8
139,0501619009,2
140,0501619010,8
141,0501619013,7
142,0501619014,4
143,0501619015,2
144,0501619017,4
145,0501619018,0
146,0501619019,0
147,0501619020,5
148,0501619023,9
149,0501619024,4
150,0501619026,0
151,0501620004,6
152,0501620010,2
153,0501620011,2
154,0501620012,9
155,0501620013,7
156,0501620015,6
157,0501620016,9
158,0501620018,5
159,0501620019,2
160,0501620022,6
161,0501620023,7
162,0501620026,9
163,0501620027,9
164,0501620028,4
165,0501620029,4
166,0501620030,9
167,0501620031,4
168,0501620032,4
169,0501620035,5
170,0501620036,4
171,0501620037,9
172,0501620038,4
173,0501620040,4
174,0501620042,9
175,0501620043,4
176,0501620045,4
177,0501620046,4
178,0501620047,4
179,0501620049,4
180,0501722004,1
181,0501722005,10
182,0501722010,8
183,0501722011,8
184,0501722012,8
185,0501722014,8
186,0501722017,8
187,0501722020,6
188,0501722022,0
189,0501722024,5
190,0501722025,4
191,0501722026,0
192,0501722027,9
193,0501722028,0
194,0501722029,9
195,0501722030,4
196,0501722031,4
197,0501829003,8
198,0501830004,3
199,0501863002,2
200,0503502001,8
201,0503502003,8
202,0503808002,2
203,0503809001,3
204,0503809002,3
