,article_id,cluster
0,0189626001,7
1,0189654001,1
2,0189654045,6
3,0189654046,1
4,0189654047,0
5,0317812001,7
6,0317812011,7
7,0317812012,1
8,0327310001,1
9,0327310002,1
10,0327310014,7
11,0327310015,4
12,0327310016,4
13,0356289005,7
14,0356289021,7
15,0356289059,5
16,0356289060,5
17,0356289064,6
18,0356289065,6
19,0356289068,1
20,0356289075,7
21,0356289076,0
22,0356289077,7
23,0423112004,5
24,0430757001,6
25,0453491005,6
26,0455828001,0
27,0464454004,3
28,0464454011,7
29,0464454013,7
30,0464454015,7
31,0464454016,1
32,0464454017,7
33,0464454021,2
34,0467557008,8
35,0477970001,5
36,0483011001,8
37,0483011004,6
38,0483011005,5
39,0483731003,6
40,0483737003,7
41,0483737005,4
42,0483737006,0
43,0486214006,6
44,0486849001,0
45,0490275003,7
46,0491350001,7
47,0493398003,5
48,0496507003,0
49,0496573002,0
50,0500134001,6
51,0500134002,8
52,0501396001,0
53,0504357001,6
54,0505975001,0
55,0505975006,0
56,0506018004,6
57,0507113003,0
58,0509642001,5
59,0509688001,8
60,0510075007,4
61,0510075008,6
62,0510075010,4
63,0510075012,4
64,0510075014,4
65,0510197001,8
66,0510877001,6
67,0510968001,5
68,0511047001,5
69,0513402001,6
70,0513402002,6
71,0514865002,0
72,0514865004,0
73,0514865007,0
74,0514865008,0
75,0514865017,6
76,0514865019,0
77,0514865020,0
78,0514865023,1
79,0514865024,1
80,0514865026,0
81,0514865027,6
82,0514865033,4
83,0514865036,0
84,0514865037,1
85,0516809002,6
86,0516809003,8
87,0517331003,6
88,0518175001,6
89,0519728002,5
90,0520457003,5
91,0520513002,0
92,0520567001,5
93,0520567002,5
94,0522023001,6
95,0522024001,6
96,0522026001,5
97,0523557001,5
98,0523749001,6
99,0524061003,1
100,0524061004,4
101,0524517003,6
102,0524517004,6
103,0524869003,5
104,0525456001,6
105,0525512001,6
106,0525656004,0
107,0526637001,8
108,0527201001,6
109,0527237001,6
110,0527958001,0
111,0527958005,6
112,0527958006,6
113,0529733001,0
114,0531195001,0
115,0531510001,6
116,0531510002,6
117,0531510004,8
118,0531526002,6
119,0531684001,8
120,0532044001,6
121,0532046001,6
122,0533397001,0
123,0533570002,0
124,0533833002,5
125,0534021001,8
126,0534021002,6
127,0534037001,5
128,0534305001,6
129,0534306003,0
130,0534307001,0
131,0534316002,6
132,0534316004,4
133,0535826003,0
134,0535826006,0
135,0536162002,5
136,0536917002,0
137,0537071001,0
138,0537163001,0
139,0537738001,6
140,0537738003,1
141,0537742001,0
142,0537742002,6
143,0537749001,0
144,0537815001,0
145,0537840001,8
146,0537851002,4
147,0538226001,0
148,0539470001,6
149,0539470002,6
150,0539471002,6
151,0539878001,1
152,0539878003,1
153,0539878006,6
154,0540404001,6
155,0541313001,4
156,0541313006,4
157,0541313007,4
158,0541926001,8
159,0542138001,5
160,0542439002,0
161,0542439003,6
162,0542442001,8
163,0543556001,7
164,0543556004,7
165,0543556005,7
166,0543556006,7
167,0543976002,0
168,0544056003,8
169,0544627003,5
170,0544627004,7
171,0544627005,0
172,0544627006,4
173,0544627007,0
174,0544721001,6
175,0545512001,6
176,0545963001,6
177,0546406001,4
178,0546406002,0
179,0546562001,6
180,0547087001,5
181,0547163002,5
182,0547390001,6
183,0547522002,5
184,0547815001,0
185,0547818001,5
186,0548986001,0
187,0549131001,5
188,0549135001,0
189,0549393001,0
190,0550362003,0
191,0550362004,0
192,0550362006,3
193,0551229001,5
194,0551231003,5
195,0551877001,5
196,0553685001,6
197,0554049001,6
198,0554640001,1
199,0554640003,1
200,0554640006,6
201,0554640010,0
202,0554640011,4
203,0554640012,0
204,0554640017,4
205,0554643003,0
206,0554821001,6
207,0554821002,6
208,0554838001,5
209,0555031001,0
210,0555287001,6
211,0555550001,8
212,0555550002,8
213,0555550003,6
214,0555550004,8
215,0556546001,0
216,0556550001,0
217,0556552001,5
218,0558675001,5
219,0559995001,5
220,0559995002,5
221,0559995004,5
222,0559995005,3
223,0560268001,4
224,0560603001,8
225,0560603003,8
226,0563156001,6
227,0563157003,0
228,0563158001,5
229,0563737001,6
230,0563816001,6
231,0565120001,8
232,0566473002,0
233,0566654002,5
234,0567505002,5
235,0567806001,6
236,0568436001,6
237,0568556001,6
238,0568556002,6
239,0568930002,8
240,0568931001,3
241,0568931002,2
242,0568931007,3
243,0568931008,3
244,0568931009,3
245,0568931012,3
246,0568931013,3
247,0568932001,0
248,0568932003,5
249,0568938001,0
250,0568943001,6
251,0568943002,6
252,0569518001,0
253,0569523001,1
254,0569523002,1
255,0570546001,0
256,0570892001,1
257,0571603001,6
258,0571885001,1
259,0572187001,7
260,0573449005,5
261,0574676001,0
262,0575974001,6
263,0576414001,6
264,0576414003,7
265,0576416001,6
266,0576417001,6
267,0576672001,5
268,0576991001,6
269,0577588002,7
270,0578182001,6
271,0578545001,1
272,0578545003,1
273,0579421001,5
274,0579837001,4
275,0579837002,1
276,0579847001,6
277,0579847002,6
278,0579849001,0
279,0580145001,6
280,0580241001,8
281,0580303001,5
282,0580343002,6
283,0580352001,6
284,0580391001,5
285,0581051001,5
286,0581051002,5
287,0584330001,0
288,0584331001,0
289,0584678002,6
290,0584987001,5
291,0584987003,0
292,0585126001,6
293,0585255001,0
294,0585633001,1
295,0585657002,1
296,0585662001,0
297,0585928001,1
298,0585929001,0
299,0585929003,0
300,0585929004,1
301,0585940001,2
302,0586108002,6
303,0588202001,5
304,0589060001,6
305,0589061001,5
306,0589469001,1
307,0589840001,6
308,0589954002,8
309,0589954003,8
310,0589954005,7
311,0591180001,8
312,0591181001,5
313,0591181002,0
314,0591181003,2
315,0591181005,5
316,0591181006,3
317,0591182001,6
318,0591706001,4
319,0591855001,4
320,0592324001,5
321,0592324002,5
322,0592709001,6
323,0592709002,6
324,0594556001,8
325,0594592002,5
326,0595183001,6
327,0596106001,5
328,0596793001,0
329,0596812001,5
330,0597377001,0
331,0598462001,6
332,0598495001,8
333,0598495002,0
334,0598533001,6
335,0598533002,1
336,0598533006,1
337,0598696001,3
338,0598697002,4
339,0598698001,2
340,0599718004,4
341,0599718005,1
342,0599718006,4
343,0599718013,7
344,0599719002,1
345,0599719003,1
346,0599719005,1
347,0599719006,1
348,0599719007,0
349,0599719008,1
350,0599719009,4
351,0599719022,0
352,0599721001,6
353,0600756001,6
354,0600793001,6
355,0601102001,0
356,0601189001,6
357,0601536002,0
358,0601671001,5
359,0602478001,5
360,0602806001,8
361,0602919001,0
362,0604347002,8
363,0604349001,0
364,0604352001,0
365,0604355003,6
366,0604578001,4
367,0604786001,6
368,0604992001,6
369,0604992002,0
370,0604992003,0
371,0605254001,5
372,0605254003,4
373,0605669002,1
374,0605699001,1
375,0605939001,0
376,0605939002,0
377,0605939003,4
378,0605939004,7
379,0605939005,2
380,0606132001,6
381,0606132002,1
382,0606153001,3
383,0606674001,1
384,0606756001,7
385,0606756004,7
386,0606757001,4
387,0606764001,1
388,0607054001,5
389,0607153001,5
390,0607154001,7
391,0607154007,0
392,0607154008,7
393,0607154014,2
394,0607154015,2
395,0607154016,0
396,0607155001,2
397,0607155003,7
398,0607167001,7
399,0607168001,2
400,0607315002,6
401,0607400001,2
402,0607400002,2
403,0607400003,2
404,0607531001,5
405,0607790001,5
406,0607983001,4
407,0607983003,4
408,0607983004,7
409,0609011003,0
410,0609012002,5
411,0609032001,5
412,0609033003,0
413,0609033004,0
414,0609174001,6
415,0609907001,0
416,0609907002,0
417,0610008001,5
418,0610008005,3
419,0610099001,6
420,0610099002,6
421,0610216001,6
422,0610216002,1
423,0610697002,6
424,0610871001,6
425,0611146010,4
426,0611146011,0
427,0611146012,7
428,0611146016,1
429,0611384001,8
430,0612132001,1
431,0612133001,1
432,0612133002,4
433,0612879001,6
434,0612913001,3
435,0613079001,0
436,0613538003,4
437,0613824001,1
438,0613836001,1
439,0613836002,7
440,0613967003,3
441,0614483002,0
442,0614483003,0
443,0614655001,6
444,0614736001,0
445,0615792001,1
446,0615976001,4
447,0617006001,5
448,0617358001,1
449,0617358005,7
450,0617523001,7
451,0617523002,7
452,0617805001,0
453,0617828001,0
454,0617828002,4
455,0617828003,1
456,0617828004,7
457,0618049001,6
458,0619592001,6
459,0619608001,7
460,0619619001,4
461,0619685001,2
462,0619685002,1
463,0619719001,7
464,0619966001,1
465,0619966002,1
466,0619978001,1
467,0620236002,2
468,0620510003,1
469,0620510004,6
470,0620510005,6
471,0621510001,3
472,0621838002,1
473,0622295001,1
474,0622295002,6
475,0622295005,6
476,0623289007,1
477,0623332001,6
478,0623434007,4
479,0623434008,1
480,0623434009,1
481,0623434011,4
482,0623434012,4
483,0623434013,1
484,0623434014,1
485,0623434018,1
486,0623434022,0
487,0623434023,1
488,0623434026,1
489,0623434027,4
490,0623474001,0
491,0624150001,0
492,0624868001,1
493,0625115001,1
494,0625342001,4
495,0625342002,1
496,0625343001,4
497,0625343003,4
498,0625345002,7
499,0625345004,7
500,0625345005,4
501,0625740001,6
502,0625768001,1
503,0625768002,1
504,0625887001,0
505,0626168001,5
506,0626168003,2
507,0626407003,0
508,0626407005,0
509,0626662001,1
510,0627542001,0
511,0627542002,4
512,0628744002,1
513,0629971001,6
514,0631269001,4
515,0631269003,7
516,0631735001,7
517,0631741001,7
518,0631752001,5
519,0631752003,1
