,article_id,cluster
0,0111565003,4
1,0148033006,4
2,0156224001,4
3,0160442007,5
4,0160442010,5
5,0160442042,3
6,0160442043,4
7,0162074062,3
8,0162074069,2
9,0162074071,2
10,0164912035,3
11,0164912039,3
12,0179393001,2
13,0179393018,2
14,0181448022,6
15,0181448102,3
16,0181448103,3
17,0181448104,6
18,0181448105,1
19,0181448106,5
20,0181448109,5
21,0186595001,6
22,0190021001,2
23,0190021003,4
24,0190021021,2
25,0217727002,2
26,0217727003,1
27,0217727018,2
28,0226959007,5
29,0226959008,6
30,0226959009,6
31,0243937001,6
32,0243937018,1
33,0243937023,6
34,0243937024,6
35,0243937025,6
36,0243937028,6
37,0254303049,3
38,0254303050,2
39,0254303051,2
40,0254303054,2
41,0254303055,2
42,0254303056,6
43,0254303057,2
44,0254303058,6
45,0254303059,4
46,0261526007,4
47,0261526010,5
48,0261840008,3
49,0261840009,5
50,0265630004,2
51,0265630006,4
52,0266873001,2
53,0266873006,6
54,0266873009,4
55,0266875001,2
56,0266875006,2
57,0266875012,1
58,0266875014,4
59,0266875015,6
60,0266875019,4
61,0266875022,6
62,0266875024,2
63,0297791001,5
64,0297791002,3
65,0301227002,6
66,0301227017,4
67,0301227019,6
68,0301227023,2
69,0304692003,6
70,0304766005,3
71,0304766007,3
72,0304766008,2
73,0304766009,2
74,0304778007,3
75,0304778008,4
76,0304778009,4
77,0304778010,4
78,0304778011,2
79,0304786005,4
80,0304786006,4
81,0304786007,1
82,0304786008,1
83,0321249006,3
84,0321249007,3
85,0321249009,2
86,0321249010,4
87,0323274002,3
88,0333323008,2
89,0333323015,1
90,0333323018,4
91,0333323019,4
92,0333323020,3
93,0333323030,1
94,0333323038,4
95,0333323040,5
96,0333323043,4
97,0346539014,3
98,0346539015,3
99,0346539017,3
100,0346539021,3
101,0365439048,3
102,0365439051,4
103,0365439052,1
104,0365439057,6
105,0365439058,6
106,0372860001,2
107,0372860002,2
108,0372860024,2
109,0372860041,3
110,0372860043,5
111,0372860051,1
112,0372860052,4
113,0372860062,5
114,0372860063,6
115,0372860068,6
116,0372860069,2
117,0372860072,6
118,0372860073,2
119,0372860076,2
120,0373493008,4
121,0373493009,3
122,0373493010,1
123,0373506001,4
124,0373506004,2
125,0373506008,2
126,0373506011,6
127,0373506018,2
128,0373506019,4
129,0373506023,5
130,0373506024,4
131,0373506025,5
132,0373506026,6
133,0373506027,5
134,0400901004,6
135,0400901005,3
136,0408554004,2
137,0408554006,3
138,0408569005,3
139,0408569009,2
140,0408569010,2
141,0408571001,2
142,0408571002,6
143,0408575003,5
144,0408575004,6
145,0408647007,4
146,0408647008,5
147,0408647009,4
148,0408647010,1
149,0408649006,6
150,0408649007,4
151,0408649008,1
152,0408664003,3
153,0408664007,2
154,0408664008,2
155,0408664009,1
156,0408664010,1
157,0423900006,3
158,0423900008,5
159,0423900010,3
160,0423900011,3
161,0423900012,3
162,0423900016,3
163,0423900021,4
164,0423900022,1
165,0423900028,1
166,0423900029,5
167,0423900030,6
168,0423900031,2
169,0423900032,5
170,0423900033,1
171,0423900034,6
172,0423900035,5
173,0423900045,6
