,article_id,cluster
0,0112679048,19
1,0112679052,28
2,0145872001,23
3,0145872037,14
4,0145872043,23
5,0145872052,30
6,0145872053,6
7,0189691033,25
8,0189691044,25
9,0189691051,25
10,0189691063,25
11,0189691067,25
12,0189691075,2
13,0225286014,28
14,0233672016,27
15,0244267001,21
16,0244267004,7
17,0244267017,13
18,0244267021,15
19,0244267027,14
20,0244267028,5
21,0244267029,14
22,0244267032,15
23,0302311022,10
24,0302311024,25
25,0302311026,27
26,0311059018,28
27,0311059024,27
28,0311059025,27
29,0311059026,28
30,0311059028,18
31,0311059029,18
32,0311059031,15
33,0311059032,5
34,0316471003,9
35,0316471020,10
36,0317348002,14
37,0340546046,27
38,0342954024,10
39,0351332007,23
40,0356004013,28
41,0358483006,6
42,0358483007,7
43,0358483009,20
44,0358483013,20
45,0378135002,10
46,0378135003,23
47,0378135021,2
48,0378135022,10
49,0378135025,25
50,0378135026,2
51,0378135028,22
52,0378135029,15
53,0378135030,30
54,0378135031,23
55,0378135032,24
56,0378135033,17
57,0378135034,4
58,0378135036,21
59,0378135037,22
60,0378447002,14
61,0378447003,5
62,0378447004,14
63,0378447006,11
64,0378447011,2
65,0378447021,25
66,0378447022,20
67,0378447023,10
68,0378447024,22
69,0378447028,14
70,0378447029,0
71,0378447030,14
72,0378447031,9
73,0378447033,17
74,0378447034,22
75,0378447036,0
76,0378447041,26
77,0378447042,6
78,0378447043,9
79,0378447046,6
80,0378447050,30
81,0378447055,16
82,0378447056,16
83,0393750002,27
84,0399036011,27
85,0399036012,27
86,0399036013,27
87,0399589005,10
88,0399589015,10
89,0399589022,10
90,0405586006,25
91,0405586008,2
92,0405586009,2
93,0405887024,28
94,0405887027,8
95,0405887028,15
96,0405887029,5
97,0405887034,5
98,0405887035,4
99,0405887036,5
100,0405887037,15
101,0411013001,7
102,0411013002,0
103,0411013007,7
104,0411013010,19
105,0413911001,8
106,0413911002,15
107,0413911011,13
108,0413911012,15
109,0413911013,30
110,0413911015,30
111,0413911018,8
112,0413911021,4
113,0413911029,16
114,0413911030,16
115,0413911035,16
116,0413911036,16
117,0414066005,7
118,0414066008,14
119,0424511007,13
120,0425639003,2
121,0425639007,2
122,0430157001,7
123,0430157002,0
