,article_id,cluster
0,0192460006,32
1,0202017055,15
2,0212629031,9
3,0212629032,0
4,0212629033,30
5,0212629035,30
6,0212629036,10
7,0212629040,10
8,0212629043,24
9,0212629047,24
10,0212629048,16
11,0212629049,2
12,0212629050,12
13,0212629051,13
14,0220094001,30
15,0220094010,3
16,0220094011,33
17,0220094015,12
18,0220094016,10
19,0220094018,12
20,0220094019,29
21,0220094020,12
22,0220094021,8
23,0254457030,19
24,0254457031,21
25,0254457033,6
26,0254457034,19
27,0254457037,0
28,0254457038,9
29,0254457039,6
30,0272591016,3
31,0272591023,27
32,0272591026,30
33,0272591028,30
34,0272591029,30
35,0276242019,26
36,0276242021,6
37,0276242022,9
38,0276242023,6
39,0276242024,21
40,0276242025,33
41,0276242026,19
42,0299733001,8
43,0299733007,22
44,0299733008,32
45,0301656013,8
46,0301656017,7
47,0301656018,29
48,0301656026,12
49,0301656028,29
50,0301656029,25
51,0315352006,26
52,0315352008,7
53,0316553025,14
54,0316553026,19
55,0316553027,3
56,0316553030,17
57,0331093001,3
58,0331093002,16
59,0331093006,24
60,0355421003,9
61,0355421004,9
62,0374762001,16
63,0374762008,4
64,0374762021,28
65,0383569008,9
66,0383569009,11
67,0384654004,17
68,0384654009,16
69,0384654011,14
70,0384654021,1
71,0384654022,7
72,0384654023,18
73,0401044002,3
74,0401044004,10
75,0401044012,17
76,0401044019,34
77,0401044020,30
78,0401044021,34
79,0401044029,29
80,0401044031,6
81,0401044032,29
82,0401044034,12
83,0401044037,21
84,0401044038,9
85,0406181002,9
86,0406979005,9
87,0406979007,33
88,0406987003,5
89,0424254005,26
90,0433252004,5
91,0433252005,0
92,0437129005,26
93,0442992005,10
94,0442992006,14
95,0444325004,18
96,0444325006,26
97,0444325007,5
98,0444325008,33
99,0453745010,4
100,0453745011,9
101,0453745016,0
102,0453745024,9
103,0453745026,9
104,0453745029,0
105,0454008003,7
106,0454143001,26
107,0454143003,5
108,0455504002,5
109,0457079001,9
110,0457292010,29
111,0457292012,9
112,0457292019,9
113,0457292020,34
114,0457292021,9
115,0457314008,6
116,0457314009,9
117,0458239001,14
118,0458239017,28
119,0458239022,2
120,0459617002,26
121,0460891004,5
122,0463086004,14
123,0463670002,5
124,0464541002,27
125,0465051005,26
126,0467302028,27
127,0467302053,9
128,0467302054,27
129,0467302066,32
130,0467302079,14
131,0467302080,9
132,0467302099,3
133,0467302100,10
134,0468255003,27
135,0469649004,22
136,0470766003,27
137,0472341002,27
138,0476959002,0
139,0477507001,3
140,0477507002,14
141,0477507006,14
142,0477507007,10
143,0477507008,15
144,0477507009,29
145,0477507010,17
146,0477507011,18
147,0477904002,30
148,0478675041,0
149,0478751007,34
150,0478751008,9
151,0479549001,3
152,0479549005,11
153,0479549006,12
154,0481148015,11
155,0482130002,17
156,0482130005,3
157,0483633004,11
158,0483645004,6
159,0483645007,33
160,0484134006,0
161,0484207003,15
162,0484963005,22
163,0485115001,6
164,0485455002,11
165,0485751003,26
166,0486183002,26
167,0486723001,0
168,0487724001,11
169,0487785002,9
170,0488311001,11
171,0488369002,0
172,0491168009,11
173,0493766002,10
174,0493766003,10
175,0494608005,29
176,0494608006,21
177,0494608007,29
178,0494910002,0
179,0496762005,29
180,0496762008,14
181,0496762014,3
182,0496762015,3
183,0496762018,14
184,0496762020,10
185,0496762022,19
186,0496891001,11
187,0497464003,22
188,0497734001,5
189,0497811001,0
190,0497816001,9
191,0497816004,5
192,0498779006,27
193,0498779009,10
194,0498779010,16
195,0499305001,22
196,0500369002,26
197,0500369004,29
198,0500369005,2
199,0500371003,22
200,0500371004,24
201,0501054003,27
202,0501316001,30
203,0501316006,10
204,0502157016,3
205,0502157022,6
206,0502157025,17
207,0502168006,9
208,0502168008,9
209,0502229001,9
210,0502255002,0
211,0502522001,17
212,0502522003,22
213,0502522006,9
214,0502522008,23
215,0502880003,9
216,0502880007,9
217,0502889002,32
218,0503258001,27
219,0503642001,0
220,0503642003,27
221,0504113001,27
222,0504113002,27
223,0504113004,11
224,0504113005,0
225,0504113009,11
226,0504113011,24
227,0504113012,18
228,0504113014,34
229,0504113021,17
230,0504113022,33
231,0504113023,34
232,0504113024,14
233,0504113026,19
234,0504196001,27
235,0504196002,9
236,0504388001,11
237,0504388002,11
238,0505094001,14
239,0505094004,24
240,0505094005,30
241,0505094008,24
242,0505094009,24
243,0505704003,24
244,0505704004,14
245,0505940001,31
246,0506491001,0
247,0506904001,27
248,0506993012,24
249,0507224001,11
250,0507224002,11
251,0507697001,11
252,0508227002,29
253,0508227005,17
254,0508227011,7
255,0508227020,34
256,0508941001,5
257,0508941003,5
258,0508941009,33
259,0508942001,7
260,0508942003,29
261,0508942004,1
262,0508942005,26
263,0508942006,26
264,0508942007,26
265,0509014002,3
266,0509014003,13
267,0509014006,6
268,0509014008,4
269,0509014009,19
270,0509014010,6
271,0509015003,5
272,0509015004,3
273,0509015005,1
274,0509015006,12
275,0509015007,27
276,0509015008,33
277,0509017001,3
278,0509017003,1
279,0509017005,1
280,0509018001,27
281,0509032001,27
282,0509041004,14
283,0509041005,30
284,0509571003,11
285,0509572005,27
286,0509631002,22
287,0509631004,16
288,0509637001,22
289,0509999001,9
290,0509999002,22
291,0510010001,27
292,0510025001,9
293,0510126001,17
294,0510126009,9
295,0510126010,8
296,0510126016,12
297,0510126018,17
298,0510126019,33
299,0510461001,0
300,0511044001,5
301,0511296001,11
302,0511304001,7
303,0511305004,11
304,0511371002,11
305,0511722001,6
306,0511818001,7
307,0512148001,26
308,0512251003,3
309,0512251004,17
310,0512251006,12
311,0512251008,18
312,0512251012,5
313,0513143002,9
314,0513371001,22
315,0513733001,9
316,0513782001,0
317,0513782002,5
318,0514869001,0
319,0514920002,11
320,0515178001,9
321,0515291001,11
322,0515291002,11
323,0515740002,11
324,0515740003,14
325,0516701001,11
326,0516709003,11
327,0516709004,5
328,0516723005,22
329,0516724001,9
330,0516724002,9
331,0516789002,27
332,0516806002,11
333,0517040002,11
334,0517040006,26
335,0517063005,1
336,0517452006,26
337,0518529001,11
338,0518529004,14
339,0518529005,6
340,0518529007,5
341,0518579004,27
342,0518585001,5
343,0518608002,22
344,0518729001,11
345,0519282002,4
346,0519283001,5
347,0519926001,24
348,0519926002,11
349,0519929006,0
350,0519929007,0
351,0519929008,28
352,0519929009,28
353,0519929010,28
354,0519929019,30
355,0520364002,31
356,0520364003,31
357,0522076001,9
358,0522077001,9
359,0522078001,9
360,0522078004,2
361,0522918006,14
362,0522918008,32
363,0522918014,6
364,0522918019,27
365,0522918022,9
366,0522918026,9
367,0522918027,29
368,0522918030,19
369,0522918033,27
370,0522918034,34
371,0522918035,34
372,0522918039,19
373,0522918041,21
374,0523017007,26
375,0523017010,27
376,0523017017,27
377,0523554001,33
378,0523555001,33
379,0523642001,0
380,0523642005,7
381,0523642006,3
382,0523642007,3
383,0523642008,9
384,0523642009,24
385,0523642010,17
386,0523657001,9
387,0523657003,9
388,0523924004,32
389,0523950004,1
390,0524152001,7
391,0524302001,9
392,0524302002,9
393,0524305002,11
394,0524307002,9
395,0524396001,11
396,0524855001,11
397,0525335003,14
398,0525335008,23
399,0525335017,28
400,0525335018,14
401,0525335020,30
402,0525335021,14
403,0525335022,34
404,0525352001,26
405,0525360001,11
406,0525360002,20
407,0525538001,0
408,0525658001,26
409,0525670001,22
410,0525926001,11
411,0525926002,11
412,0525926003,11
413,0525932002,14
414,0525932007,3
415,0525932008,34
416,0525932009,24
417,0526029001,10
418,0526029004,0
419,0526029005,14
420,0526076001,0
421,0526127004,27
422,0526130001,5
423,0526130003,0
424,0526361001,5
425,0526512004,3
426,0526512008,19
427,0526512009,10
428,0526512016,24
429,0526836001,7
430,0527101001,9
431,0527234001,11
432,0527238002,27
433,0527239001,9
434,0527239002,9
435,0527251002,11
436,0527487001,0
437,0527487002,5
438,0527487004,15
439,0527720002,5
440,0528028001,11
441,0528093001,0
442,0528093008,27
443,0528108001,11
444,0528111002,11
445,0528188001,22
446,0528188004,25
447,0528232001,33
448,0528241001,0
449,0528241003,32
450,0528244001,29
451,0528246001,27
452,0528247001,5
453,0528445003,0
454,0528765001,27
455,0528765002,23
456,0528955001,22
457,0530232001,7
458,0530362001,26
459,0530863003,33
460,0530863004,32
461,0531490001,29
462,0531496001,32
463,0532307002,27
464,0533364001,0
465,0533502002,26
466,0533542005,0
467,0533971001,5
468,0533975001,11
469,0533981001,22
470,0533981002,22
471,0533981004,18
472,0534205002,29
473,0534224001,11
474,0534255002,1
475,0534258001,32
476,0534258004,24
477,0534268004,5
478,0534268005,29
479,0534373001,0
480,0534665003,27
481,0534724002,27
482,0534956003,0
483,0535384006,4
484,0535660003,11
485,0535660005,0
486,0535682001,27
487,0535682002,24
488,0535789002,9
489,0536475002,6
490,0536494001,2
491,0537034001,9
492,0537034002,9
493,0537103004,11
494,0537507002,0
495,0537507003,26
496,0537920001,11
497,0537925002,0
498,0538280001,11
499,0538280002,15
500,0538280005,11
501,0538296001,0
502,0538785003,7
503,0538861004,0
504,0538861005,0
505,0538929002,11
506,0538929004,5
507,0539333001,9
508,0539448001,0
509,0539448002,32
510,0539647001,22
511,0539781001,27
512,0539787001,22
513,0541095002,11
514,0541269001,9
515,0541537001,9
516,0541916002,22
517,0541917001,32
