,article_id,cluster
0,0426019007,1
1,0426019008,1
2,0445865001,0
3,0450662006,0
4,0450662010,0
5,0496923005,0
6,0496923008,0
7,0496923015,0
8,0496923018,0
9,0502306003,2
10,0507564001,2
11,0520424001,0
12,0520424003,1
13,0520424004,1
14,0524783001,2
15,0530483002,2
16,0534025001,2
17,0536697001,2
18,0541492001,2
19,0547616001,2
20,0547616004,2
21,0549961021,0
22,0552371001,2
23,0555275001,2
24,0555276001,0
25,0555276002,0
26,0555276003,0
27,0555366001,2
28,0555369001,2
29,0555369003,0
30,0555369004,0
31,0556215001,0
32,0568962001,2
33,0574298001,2
34,0578711001,2
35,0579469001,0
36,0580100002,0
37,0586530001,2
38,0586591001,1
39,0586591002,1
40,0586591003,1
41,0588126001,1
42,0588491002,0
43,0588491004,0
44,0594750001,0
45,0594921005,0
46,0594921008,0
47,0595509001,1
48,0595691001,0
49,0595692001,0
50,0595692002,0
51,0596067001,0
52,0608155001,1
53,0608155003,0
54,0608155004,1
55,0608159002,1
56,0608634001,0
57,0609357004,1
58,0609357009,1
59,0610308001,1
60,0610958001,1
61,0611906001,0
62,0612295001,0
63,0612295004,1
64,0612295005,0
65,0612295006,0
66,0612730001,1
67,0612730002,1
68,0612730003,0
69,0612730004,0
70,0612851002,0
71,0614686001,0
72,0615190001,0
73,0618081002,0
74,0621076001,0
75,0622416001,0
76,0624850001,0
77,0625145001,0
78,0625145003,0
79,0625145006,0
80,0625145007,0
81,0625145008,0
82,0629873001,0
83,0629873002,0
84,0634019001,1
85,0634975001,0
86,0635742002,1
87,0635945001,1
88,0638262001,0
89,0638635001,1
90,0638635002,1
91,0640153003,0
92,0640153006,0
93,0640156007,0
94,0640156009,0
95,0640158005,0
96,0640743005,0
97,0640769003,0
98,0641704001,0
99,0641704002,0
100,0641704005,0
101,0643446001,0
102,0643460001,1
103,0645371001,0
104,0645432001,0
105,0646014003,0
106,0646014005,0
107,0646705001,0
108,0647380001,1
109,0647380003,1
110,0648431001,0
111,0648821001,0
112,0648821002,0
113,0649602001,0
114,0655884001,1
115,0656304002,0
116,0656304003,0
117,0656304004,0
118,0663160001,1
119,0664323001,1
120,0666110001,0
121,0666110002,0
122,0668729001,0
123,0681120001,1
124,0681141001,1
125,0681143001,1
126,0685673001,0
127,0685763001,1
128,0685763002,1
129,0685809001,0
130,0687311001,0
131,0688069002,0
132,0688070001,0
133,0689852001,0
134,0689853001,0
135,0695695001,0
136,0701044002,1
137,0702231001,0
138,0703308001,0
139,0704211001,0
140,0707491002,1
141,0708727001,0
142,0708727002,0
143,0710498001,1
144,0711851001,1
145,0712056001,0
146,0712056002,0
147,0712056003,0
148,0715060001,0
149,0715071001,1
150,0715082003,1
151,0715258001,0
152,0715258003,0
153,0715410001,0
154,0720990001,1
155,0721107001,0
156,0721107002,0
157,0721107003,0
158,0721323001,0
159,0721500001,0
160,0721500002,0
161,0724989001,0
162,0730353001,0
163,0730353003,0
164,0730406001,1
165,0731517001,1
166,0733775001,1
167,0733913001,0
168,0734225001,0
169,0738193001,1
170,0738193003,1
171,0738244001,1
172,0738244002,1
173,0738420002,0
174,0738521001,0
175,0738521002,0
176,0738521004,0
177,0738931002,1
178,0744525001,0
179,0744816001,0
180,0744817001,0
181,0744817003,0
182,0747355001,1
183,0747355002,1
184,0747355003,1
185,0747356001,1
186,0747356002,1
187,0748099001,0
188,0748136001,0
189,0749516001,0
190,0749516003,0
191,0759877001,0
192,0759877002,0
193,0759901001,0
194,0759901002,0
195,0759923001,0
196,0760144003,1
197,0763159001,0
198,0763159002,1
199,0763358001,1
200,0763358002,1
201,0765600001,0
202,0767578001,1
203,0769992001,0
204,0771772001,0
205,0772359001,1
206,0773821001,0
207,0775562001,0
208,0780724001,1
209,0780724002,1
210,0783541001,0
211,0786234001,0
212,0786332002,0
213,0786603001,1
214,0786603003,1
215,0792293001,1
216,0793541001,0
217,0800439001,0
218,0801240001,1
219,0801240003,1
220,0801794001,0
221,0802846001,0
222,0804818001,1
223,0806251001,0
224,0807637001,0
225,0809436001,0
226,0809436002,0
227,0811573002,1
228,0811573004,1
229,0811595001,0
230,0813940003,1
231,0817145002,0
232,0822346001,1
233,0823258001,0
234,0823330001,1
235,0823349001,0
236,0823365001,0
237,0823365002,0
238,0823957001,0
239,0824334001,0
240,0824334002,0
241,0824334003,0
242,0824800001,1
243,0826995001,0
244,0838260001,1
245,0838740001,1
246,0838747001,0
247,0838901001,1
248,0839319001,0
249,0839319002,0
250,0840969001,0
251,0840971001,1
252,0841502001,0
253,0842639001,0
254,0846383001,1
255,0847200003,0
256,0847212001,0
257,0847212002,0
258,0848337001,0
259,0848357001,1
260,0853728001,1
261,0854053001,0
262,0855359001,0
263,0855359002,0
264,0855366001,0
265,0858305001,1
266,0859483001,1
267,0863610001,1
268,0865609002,0
269,0867125001,0
270,0867281001,0
271,0867749001,0
272,0868255001,1
273,0868507001,1
274,0870563001,0
275,0870877001,0
276,0871042001,0
277,0871042002,0
278,0874226001,0
279,0876381001,1
280,0876471001,1
281,0877448001,1
282,0877448002,1
283,0878016001,1
284,0878057001,1
285,0882619001,1
286,0882619002,0
287,0887712003,0
288,0888161001,0
289,0888161002,0
290,0888908001,1
291,0891914001,1
292,0893822001,0
293,0893822002,0
294,0893822003,0
295,0894462001,0
296,0894462002,0
297,0895318001,1
298,0895837002,1
299,0896338001,1
300,0896338002,1
301,0896882001,0
302,0896897001,1
303,0896909001,1
304,0912208001,1
305,0912208002,1
306,0919599001,1
307,0922489001,1
308,0928332001,1
