,article_id,cluster
0,0494094001,0
1,0494094003,0
2,0494094008,1
3,0494094012,1
4,0518190015,1
5,0518190028,1
6,0518190029,1
7,0553932001,1
8,0553932003,1
9,0553932004,1
10,0553932006,1
11,0553932007,0
12,0581298001,2
13,0581298002,2
14,0581298005,0
15,0581298006,0
16,0581298008,1
17,0584115001,1
18,0584115002,1
19,0584115003,0
20,0593431001,0
21,0607304002,0
22,0607511001,1
23,0609655001,0
24,0609655003,0
25,0620850001,1
26,0620850002,0
27,0625721001,1
28,0626039001,1
29,0637254001,0
30,0638659001,1
31,0638685001,0
32,0639468001,0
33,0643160003,0
34,0643160004,1
35,0643160012,0
36,0643160013,0
37,0643160015,0
38,0643160016,0
39,0643160028,0
40,0643833001,1
41,0643833002,0
42,0643833003,1
43,0643833004,1
44,0643833005,1
45,0643833006,0
46,0651614001,0
47,0653618001,0
48,0656494001,0
49,0683176001,1
50,0683176002,0
51,0683176003,0
52,0687387001,0
53,0687387002,1
54,0695537002,1
55,0702211001,0
56,0702211002,1
57,0705899001,0
58,0705899002,1
59,0708191001,1
60,0708191002,1
61,0708191004,0
62,0708191006,0
63,0708191007,1
64,0715571003,0
65,0731743001,1
66,0731743002,0
67,0731743003,1
68,0731743004,0
69,0732524001,0
70,0735325001,0
71,0735330001,1
72,0735346001,1
73,0738629002,1
74,0738678001,1
75,0749636001,0
76,0749636003,0
77,0754447001,0
78,0754447002,1
79,0754447003,0
80,0761043001,0
81,0762688001,0
82,0762688002,1
83,0762977001,0
84,0765218001,0
85,0778573001,0
86,0779758001,0
87,0792064001,0
88,0792064002,0
89,0792064004,1
90,0803587002,0
91,0803587003,0
92,0808624001,0
93,0808624002,1
94,0808624005,1
95,0808624007,1
96,0809636001,0
97,0809636004,1
98,0809636007,0
99,0809636008,0
100,0819373001,0
101,0819851003,1
102,0819851004,0
103,0835302001,0
104,0835302002,0
105,0853122001,1
106,0853122003,0
107,0853122004,1
108,0859851001,1
109,0859851002,0
110,0874948001,1
111,0875095002,0
112,0875095004,1
113,0875914001,1
114,0885063002,1
115,0886260001,0
116,0887120001,1
117,0890165001,0
118,0891579001,1
119,0892254001,1
120,0892254002,1
121,0897022001,0
122,0918158001,1
