,article_id,cluster
0,0218829002,2
1,0218829014,2
2,0218829015,2
3,0224337001,1
4,0224337008,1
5,0233091003,2
6,0233091015,1
7,0233091016,1
8,0233091019,2
9,0233091020,0
10,0233091021,0
11,0233091022,2
12,0295873003,2
13,0295873004,2
14,0299768001,2
15,0299768002,2
16,0299841003,0
17,0299841004,2
18,0300637004,0
19,0300696001,2
20,0351182003,1
21,0351182006,1
22,0367194001,2
23,0402595001,1
24,0412869004,1
25,0413763001,0
26,0414102001,2
27,0414102002,2
28,0472755002,2
29,0495953001,1
30,0499582001,1
31,0499589001,1
32,0502262002,1
33,0511651001,1
34,0515314001,1
35,0515321001,1
36,0515323001,1
37,0515328002,1
38,0515331001,1
39,0515346001,1
40,0515357002,1
41,0517937001,1
42,0518166001,0
43,0519222001,0
44,0520688001,1
45,0521266001,1
46,0521457001,1
47,0523120003,2
48,0523570001,1
49,0535264001,1
50,0537893001,1
51,0546805001,1
52,0550415001,1
53,0557799002,1
54,0561311003,1
55,0562127001,1
56,0562310001,2
57,0562315001,1
58,0564067001,1
59,0564141001,1
60,0567987001,2
61,0576689001,1
62,0598478001,2
63,0616977001,0
64,0616977002,0
65,0616977003,0
66,0616979001,0
67,0616988001,0
68,0617038001,0
69,0617038002,2
70,0617038003,2
71,0617039001,0
72,0617042001,0
73,0617042002,0
74,0617042006,0
75,0617056001,0
76,0617056002,0
77,0617102002,0
78,0617103001,0
79,0617114001,0
80,0617114002,0
81,0617116001,0
82,0619695001,2
83,0626004001,0
84,0626959001,0
85,0626959002,0
86,0626959003,0
87,0626959005,0
88,0629669001,0
89,0629669002,0
90,0629676001,0
91,0629676002,0
92,0629676003,2
93,0629681001,0
94,0629681002,2
95,0629681003,2
96,0630035001,0
97,0630762001,0
98,0630876001,0
99,0630876002,0
100,0630902001,0
101,0630902002,2
102,0630906001,2
103,0630909001,2
104,0630909002,2
105,0630909003,2
106,0630911001,0
107,0630911002,0
108,0630911003,0
109,0630952001,0
110,0630956001,2
111,0630956002,2
112,0632667002,0
113,0632676001,0
114,0632682001,0
115,0632686001,0
116,0633204002,0
117,0633204003,0
118,0633204004,0
119,0633204006,0
120,0633214001,0
121,0633218001,2
122,0633609001,0
123,0633609002,0
124,0633609003,0
125,0635312001,2
126,0640208001,0
127,0640208002,0
128,0645952001,2
129,0652033001,0
130,0652705003,0
131,0652705004,0
132,0652705005,0
133,0652957001,0
134,0652957002,0
135,0660315001,2
136,0663261001,0
137,0663261002,0
138,0663261003,0
139,0664078003,2
140,0664116001,2
141,0664317001,2
142,0665548001,2
143,0671131001,2
144,0671131002,2
145,0671132001,2
146,0671132003,2
147,0673102001,0
148,0673102002,0
149,0673102003,0
150,0677078001,2
151,0677672001,0
152,0682382001,2
153,0683367001,0
154,0692441001,2
155,0692446001,0
156,0692446002,0
157,0692657001,2
158,0692657002,2
159,0693458001,0
160,0694726001,0
161,0694726002,0
162,0694726005,0
163,0694736001,2
164,0694736003,2
165,0694736004,2
166,0694736008,2
167,0694736010,2
168,0697132001,0
169,0697651001,0
170,0697997001,2
171,0698922001,0
172,0701695001,0
173,0701695002,2
174,0701695003,2
175,0701695004,2
176,0701695005,2
177,0701695006,0
178,0701695010,2
179,0701771002,2
180,0701771003,2
181,0701771004,2
182,0701771007,2
183,0701934001,0
184,0702657001,2
185,0702657002,2
186,0703720001,0
187,0706642002,0
188,0707261001,0
189,0707479001,2
190,0708260001,0
191,0715859001,0
192,0725594001,2
193,0726685001,2
194,0727697001,0
195,0730869001,0
196,0733072001,2
197,0737169001,0
