,article_id,cluster
0,0176209023,1
1,0176209025,2
2,0176209033,2
3,0176209035,2
4,0176209039,1
5,0176209040,1
6,0176209044,3
7,0176209046,1
8,0237347004,1
9,0237347011,6
10,0237347017,6
11,0237347022,6
12,0237347024,6
13,0237347025,6
14,0237347027,2
15,0237347028,6
16,0237347031,2
17,0237347035,2
18,0237347036,1
19,0237347037,3
20,0237347039,3
21,0237347040,4
22,0237347043,3
23,0237347044,3
24,0237347045,3
25,0237347052,3
26,0237347053,1
27,0237347055,1
28,0237347059,1
29,0237347060,1
30,0237347063,3
31,0237347069,3
32,0244853002,6
33,0244853030,5
34,0244853032,5
35,0244853036,6
36,0381038003,2
37,0381038004,6
38,0381038018,2
39,0381038025,2
40,0381038026,2
41,0381038030,2
42,0381038032,2
43,0381038033,2
44,0382127019,3
45,0382127027,3
46,0382127032,3
47,0382127035,3
48,0382127039,4
49,0382127040,3
50,0387843034,2
51,0387843035,2
52,0387843036,2
53,0387843037,2
54,0387843041,2
55,0403421010,2
56,0404383012,2
57,0407354009,5
58,0422106001,2
59,0422106014,6
60,0422106015,6
61,0422106016,6
62,0422106017,6
63,0422106037,6
64,0422106042,2
65,0437783003,1
66,0443696001,6
67,0443696002,2
68,0443696004,6
69,0443696005,2
70,0443696010,5
71,0443696011,5
72,0443696012,1
73,0443696013,1
74,0443696014,7
75,0443696015,5
76,0443696019,4
77,0443696020,5
78,0443696021,4
79,0443696024,4
80,0443696026,4
81,0443696031,4
82,0443696032,4
83,0443696038,4
84,0443696040,5
85,0443696043,4
86,0443696057,1
87,0443696058,4
88,0443696060,4
89,0443696061,5
90,0453028011,6
91,0453028017,6
92,0456163002,6
93,0456163009,3
94,0456163010,2
95,0456163011,2
96,0456163013,2
97,0456163015,2
98,0456163018,2
99,0456163021,2
100,0456163022,2
101,0456163024,4
102,0456163026,3
103,0456163028,4
104,0456163030,3
105,0456163031,3
106,0456163034,3
107,0456163048,1
108,0456163049,4
109,0456163050,1
110,0456163051,1
111,0456163053,1
112,0456163060,4
113,0456163062,4
114,0456163063,1
115,0456163064,3
116,0456163065,4
117,0456163069,4
118,0456163070,5
119,0456163083,4
120,0456163084,4
121,0456163085,4
122,0456163086,4
123,0456163087,4
124,0456163090,5
125,0477163001,3
126,0477163010,4
127,0477163013,3
128,0477163015,1
129,0477163017,4
130,0477163019,3
131,0481754002,2
132,0481754007,2
133,0481754010,2
134,0483749007,6
135,0483749014,2
136,0484108006,2
137,0484108008,2
138,0484108012,2
139,0484108014,2
140,0487750003,2
141,0487750005,2
142,0487750012,5
143,0487750016,6
144,0487750018,2
145,0487750023,6
146,0487750033,1
147,0487750034,4
148,0487750035,5
149,0487750036,1
150,0487750037,4
151,0487750038,4
152,0487750039,5
153,0487750040,1
154,0487750041,1
155,0487750042,1
156,0487750043,7
157,0487750045,5
158,0493814002,6
159,0493814004,0
160,0493814014,6
161,0493814021,0
162,0493814022,5
163,0493814024,7
164,0493814025,0
165,0493814027,5
166,0493814029,0
167,0493814030,7
168,0493814035,5
169,0493814036,0
170,0493814037,5
171,0493814039,7
172,0493814040,7
173,0493814044,5
174,0493814045,7
175,0493814054,5
176,0497642001,5
177,0497642002,6
178,0497642004,5
179,0497642006,4
180,0500449010,2
181,0500449023,2
182,0500449026,2
183,0503375002,2
184,0503375003,6
185,0504658002,4
186,0504658004,4
187,0504667001,5
188,0504667003,4
189,0504667005,4
190,0507075003,6
191,0508671003,7
192,0508671007,7
193,0508762004,6
194,0508766001,6
195,0508782002,6
196,0508932003,6
197,0508932013,5
198,0508932015,7
199,0508932016,6
200,0508932026,5
201,0508932027,5
202,0508932029,5
203,0508932031,5
204,0508932035,5
205,0508932039,4
206,0508932042,5
207,0508932043,4
208,0508932044,7
209,0508933003,6
210,0508933015,6
211,0508933016,6
212,0508933024,2
213,0508933026,6
214,0508933027,6
215,0508933028,6
216,0508933030,5
217,0508933032,1
218,0508933036,5
219,0508949004,4
220,0508949005,5
221,0509893003,4
222,0509893005,1
223,0509893006,3
224,0509893010,3
225,0509893011,3
226,0509893013,4
227,0509893016,4
228,0509893019,4
229,0509893020,5
230,0509893021,5
231,0509994001,6
232,0509994002,2
233,0509994005,2
234,0509994009,2
235,0509994012,2
236,0509994014,6
237,0509994017,2
238,0510398002,2
239,0510398003,2
240,0510398006,2
241,0510398009,2
242,0510398010,2
243,0510398012,2
244,0510398013,0
245,0510398014,2
246,0510398016,2
247,0510398018,2
248,0511590003,2
249,0511590005,2
250,0512317002,2
251,0512554002,2
252,0515512001,6
253,0515512002,6
254,0518595001,6
255,0518595003,6
256,0519584004,1
257,0520496002,6
258,0520496008,6
259,0520590002,2
260,0521062003,1
261,0521062004,4
262,0521062006,5
263,0521062007,7
264,0521062009,4
265,0521062011,5
266,0524412001,6
267,0524718001,2
268,0524834001,6
269,0524959004,3
270,0524959005,3
271,0524959006,3
272,0524959007,3
273,0525345004,2
274,0526250002,2
275,0526250003,2
276,0526250004,6
277,0526250005,2
278,0526250006,6
279,0526250009,2
280,0526777001,6
281,0526777002,6
282,0526858004,6
283,0526858005,6
284,0526858009,2
285,0526959002,2
286,0526959009,2
287,0526959018,2
288,0533404002,4
289,0533404004,2
290,0533404006,2
291,0533404010,5
292,0533404012,3
293,0533404014,5
294,0533404017,1
295,0533404019,7
296,0533404021,3
297,0533404027,1
298,0533404029,1
299,0533404030,1
300,0533404032,5
301,0533404035,3
302,0533404042,1
303,0533404046,5
304,0533404049,7
305,0533404050,5
306,0536505002,6
307,0536505003,6
308,0536651002,6
309,0536664002,2
310,0536720001,2
311,0536720003,2
312,0537052001,2
313,0537612004,6
314,0537612005,6
315,0537612012,2
316,0537612014,1
317,0537612016,5
318,0537612017,1
319,0537612021,1
320,0537612022,5
321,0537612023,1
322,0537612026,1
323,0537612027,5
324,0537612028,1
325,0537612029,1
326,0537612031,3
327,0537612032,1
328,0537612033,3
329,0538541002,2
330,0538541003,2
331,0538598001,6
332,0538946002,6
333,0538946003,7
334,0539060003,6
335,0539060008,7
336,0539060009,5
337,0539060012,7
338,0539060013,7
339,0539060017,7
340,0539060018,7
341,0539060019,5
342,0539060022,7
343,0539060023,5
344,0539060024,7
345,0539060025,7
346,0539060026,7
347,0539060028,7
348,0539060030,7
349,0539060032,5
350,0539060037,7
351,0539060038,0
352,0539179001,2
353,0541272002,2
354,0541272003,2
355,0541308002,2
356,0541308003,6
357,0541308006,6
358,0541308007,4
359,0541308008,5
360,0541308009,5
361,0541308010,7
362,0541308015,7
363,0541308016,7
364,0541308022,5
365,0541308023,7
366,0541308024,1
367,0541308025,5
368,0541308026,5
369,0541308028,5
370,0541308030,5
371,0541308031,5
372,0541308032,5
373,0541308034,7
374,0541308035,7
375,0541308038,7
376,0541308039,7
377,0541326001,2
378,0541326004,2
379,0541720001,6
380,0541720002,6
381,0541721001,2
382,0542551001,5
383,0542551002,7
384,0542551005,5
385,0542551007,5
386,0542551011,5
387,0542551017,5
388,0542551018,5
389,0542551020,5
390,0542551022,5
391,0542551025,5
392,0542691003,2
393,0542695001,6
394,0542695004,2
395,0542695005,2
396,0542832001,6
397,0542965002,6
398,0542965003,6
399,0542965007,6
400,0542965008,6
401,0543080001,2
402,0543080002,6
403,0543548001,4
404,0543548003,1
405,0543548006,5
406,0543548008,4
407,0543862005,6
408,0543862006,6
409,0544830001,2
410,0545376001,6
411,0545449001,5
412,0545449002,6
413,0545449004,6
414,0545449005,6
415,0545449006,6
416,0545449007,2
417,0545449012,6
418,0545449019,2
419,0545449023,5
420,0545449024,5
421,0545449025,4
422,0545449026,5
423,0545449028,2
424,0545449030,5
425,0545449031,5
426,0545449032,5
427,0545449033,5
428,0545449034,5
429,0545982001,6
430,0547482001,2
431,0547482003,2
432,0547777004,2
433,0547777005,2
434,0547777009,2
435,0547777011,4
436,0548546001,2
437,0548546004,2
438,0548546005,2
439,0548546007,2
440,0548546008,2
441,0548546009,6
442,0548546018,2
443,0548546024,6
444,0548546029,2
445,0548546030,3
446,0549389003,6
447,0549598001,2
448,0549598002,2
449,0549598004,2
450,0550282001,7
451,0550282002,7
452,0550282008,5
453,0551045002,2
454,0551045004,2
455,0551045006,4
456,0551045011,2
457,0551045017,2
458,0551045024,1
459,0551045025,3
460,0551045026,4
461,0551045036,1
462,0551045040,1
463,0551045044,3
464,0551045045,4
465,0551045048,3
466,0551045049,4
467,0551045051,1
468,0551045061,1
469,0551045062,1
470,0551045063,1
471,0551045069,1
472,0551045078,3
473,0551045079,4
474,0553503001,2
475,0554056002,2
476,0554528002,5
477,0554529002,5
478,0555988001,6
479,0555990001,1
480,0555990002,1
481,0555990003,1
482,0555990005,1
483,0557246001,1
484,0557246002,4
485,0557246003,3
486,0557246005,1
487,0557246006,2
488,0557246008,2
489,0557246012,1
490,0557246013,2
491,0557246014,4
492,0557246016,1
493,0557246017,1
494,0557248001,1
495,0557248002,1
496,0557248003,1
497,0557248004,2
498,0557248005,3
499,0557248006,2
500,0557248008,2
501,0557248009,4
502,0557248010,2
503,0557248016,2
504,0557248018,2
505,0557248020,2
506,0557248021,2
507,0557248023,1
508,0557248024,3
509,0557248025,1
510,0557248027,1
511,0557248028,3
512,0557248029,3
513,0557265001,6
514,0558875001,6
515,0559069003,2
516,0559069004,2
517,0559069005,2
518,0559069007,6
519,0559775001,2
520,0560254001,2
521,0560270001,2
522,0560270002,2
523,0560270003,4
524,0560270007,4
525,0560270008,3
526,0560270009,3
527,0560270010,1
528,0560270014,3
529,0560270015,2
530,0562532001,2
531,0564048009,6
532,0564048010,4
533,0564048014,2
534,0564048016,2
535,0564048024,2
536,0564048025,2
537,0564048026,1
538,0564065001,6
539,0564065002,7
540,0564065003,7
541,0564065004,7
542,0564065005,0
543,0564065006,0
544,0564065007,5
545,0564965001,2
546,0564965002,2
547,0564965005,5
548,0565036001,6
549,0565036002,6
550,0565036003,6
551,0565036008,6
552,0565036009,6
553,0566906001,2
554,0567047001,2
555,0567477002,2
556,0568056001,6
557,0568056003,6
558,0568069001,2
559,0568069002,2
560,0568069003,2
561,0568313001,2
562,0569973001,1
563,0569973002,6
564,0569973003,6
565,0569973004,2
566,0569973006,6
567,0569973016,1
568,0569973017,2
569,0569973018,2
570,0569973026,1
571,0569973027,3
572,0569974001,1
573,0569974002,2
574,0569974003,3
575,0569974004,2
576,0569974005,2
577,0569974006,2
578,0569974008,3
579,0569974015,2
580,0569974017,4
581,0569974019,2
582,0569974020,1
583,0569974022,3
584,0569974024,1
585,0569974026,1
586,0570489001,2
587,0570489002,2
588,0570489005,2
589,0570974001,2
590,0572155001,2
591,0572155002,2
592,0572207003,2
593,0572207006,2
594,0572207019,2
595,0572207020,1
596,0572207021,1
597,0572400001,3
598,0572400002,3
599,0572400003,2
600,0572400005,2
601,0572400010,2
602,0572400011,2
603,0572400012,3
604,0572400013,3
605,0572400014,3
606,0572400020,1
607,0572400022,4
608,0572400028,3
609,0572402001,2
610,0572402002,2
611,0572402003,2
612,0572533001,2
613,0572533002,3
614,0572533005,1
615,0572533020,2
616,0572533023,2
617,0572533027,1
618,0573420001,5
619,0573530003,6
620,0573530004,2
621,0574080001,6
622,0574148002,2
623,0574157001,6
624,0575494001,6
625,0575494003,6
626,0575530002,6
627,0575537002,5
628,0576705001,4
629,0576705002,7
630,0577253002,2
631,0578217001,2
632,0578825001,2
633,0578825002,2
634,0580348001,2
635,0580348002,2
636,0580891001,6
637,0581117001,7
638,0581117005,5
639,0581117006,5
640,0581117007,1
641,0581150003,3
642,0581441004,5
643,0581441005,5
644,0581807001,5
645,0581807002,5
646,0581807003,1
647,0581831001,6
648,0581831003,5
649,0581831007,1
650,0581831009,0
651,0581831010,5
652,0581831016,5
653,0581979001,2
654,0581979002,2
655,0581979004,2
656,0581979005,2
657,0582053002,0
658,0582053003,7
659,0582053004,7
660,0582053005,5
661,0583456001,5
662,0583456003,5
663,0583456004,5
664,0583456006,7
665,0583456007,7
666,0583802001,6
667,0585792001,2
