,article_id,cluster
0,0282832001,3
1,0282832012,2
2,0282832014,10
3,0282832015,10
4,0282832017,6
5,0282832018,12
6,0282832019,10
7,0282832021,0
8,0282832022,4
9,0290675006,11
10,0300907006,4
11,0300908002,13
12,0300908003,1
13,0300908004,8
14,0300908009,13
15,0300908010,2
16,0307952006,8
17,0309509009,8
18,0316657001,4
19,0316657008,1
20,0316657010,0
21,0316657013,11
22,0316657015,7
23,0389236006,2
24,0393447009,2
25,0393447010,8
26,0393447013,2
27,0393447015,11
28,0393447016,11
29,0393993002,10
30,0393993004,0
31,0399061007,0
32,0399061008,10
33,0399061011,8
34,0399061012,0
35,0399061015,3
36,0399061017,7
37,0399061018,0
38,0399061019,0
39,0399061023,4
40,0399061026,11
41,0399061027,4
42,0399061028,11
43,0399061032,12
44,0399061033,7
45,0399061040,0
46,0401136005,8
47,0401136009,8
48,0401902007,6
49,0401902008,9
50,0401902013,10
51,0405635001,11
52,0406160005,2
53,0407354004,7
54,0407354008,4
55,0410024001,2
56,0410024007,8
57,0417088003,13
58,0417088004,0
59,0417088006,11
60,0417088007,7
61,0434773001,8
62,0437150001,1
63,0447681002,7
64,0453258004,2
65,0453258007,9
66,0454199002,13
67,0457135001,2
68,0459428001,1
69,0459428004,1
70,0459428009,1
71,0459428011,4
72,0459428017,9
73,0459428018,1
74,0467191004,2
75,0477877002,2
76,0477877003,8
77,0484205004,9
78,0484205009,2
79,0484205010,13
80,0484205012,5
81,0484205016,10
82,0484205017,5
83,0484205018,9
84,0486768006,8
85,0486774001,8
86,0488544001,8
87,0488546001,4
88,0488546003,2
89,0488546006,0
90,0488546008,5
91,0488546012,4
92,0488546013,1
93,0488546014,0
94,0488555002,8
95,0490048004,8
96,0492678004,8
97,0493741005,11
98,0493741007,11
99,0494344003,8
100,0494360001,2
101,0494472001,8
102,0494472004,8
103,0494472005,8
104,0495360001,2
105,0495628001,2
106,0495884004,2
107,0495884005,2
108,0495884006,0
109,0495884008,0
110,0495884009,4
111,0495884010,7
112,0495884012,7
113,0495884013,0
114,0497093002,8
115,0497189002,8
116,0497189003,8
117,0497193004,2
118,0497202001,11
119,0497350001,13
120,0497637001,2
121,0497637002,2
122,0497637009,0
123,0497637010,2
124,0497637012,1
125,0497637015,7
126,0497637018,11
127,0497637021,4
128,0497637024,7
129,0497640002,4
130,0497640008,4
131,0497640011,7
132,0497640016,9
133,0497640018,0
134,0497640024,7
135,0497640025,10
136,0497640026,7
137,0497640027,0
138,0497640028,6
139,0498044001,8
140,0498171001,2
141,0498171002,2
142,0498180001,8
143,0498619002,13
144,0498620001,1
145,0498620002,10
146,0498620003,8
147,0498620006,8
148,0498620007,2
149,0498620011,0
150,0499289001,8
151,0499289002,11
152,0499290001,11
153,0499290004,11
154,0499291005,8
155,0499295003,8
156,0499296004,11
157,0499297001,8
158,0499299001,2
159,0500358001,8
160,0500358002,8
161,0500362001,8
162,0500362002,8
163,0500363001,8
164,0500364001,8
165,0500364003,8
166,0501568006,13
167,0501914002,4
168,0501914003,4
169,0501915001,2
170,0501915003,2
171,0501915004,4
172,0501915005,3
173,0502024002,2
174,0502024003,2
175,0502024004,2
176,0502024009,8
