,article_id,cluster
0,0277738002,3
1,0277738011,1
2,0277738012,0
3,0319811019,2
4,0319811024,2
5,0319811026,1
6,0319811027,1
7,0456007001,0
8,0470636007,3
9,0470636039,1
10,0470636040,3
11,0470636041,1
12,0470636042,3
13,0470636045,3
14,0470636057,1
15,0470636061,1
16,0470636062,1
17,0470636064,1
18,0481093013,2
19,0481093014,2
20,0481093015,2
21,0481093016,2
22,0481093018,0
23,0481151010,0
24,0481151014,0
25,0481151018,2
26,0485098001,0
27,0489512001,0
28,0494938002,0
29,0501325001,0
30,0501325002,0
31,0501325003,1
32,0504881004,0
33,0504881005,3
34,0504881006,1
35,0504881007,1
36,0506494001,0
37,0508643003,0
38,0511242001,0
39,0511549001,0
40,0516063003,0
41,0517795001,0
42,0519192001,1
43,0523168001,0
44,0526739003,0
45,0526739005,0
46,0527208001,2
47,0527208002,2
48,0527517003,1
49,0527517005,3
50,0527517006,2
51,0527517007,3
52,0527517008,3
53,0527517009,3
54,0527517010,3
55,0533329001,2
56,0533329003,2
57,0533329004,0
58,0533329005,1
59,0533329006,1
60,0533329007,2
61,0533329008,3
62,0533329009,1
63,0533329010,3
64,0533329011,2
65,0533329012,1
66,0533329013,1
67,0533329014,3
68,0533329015,3
69,0533329016,2
70,0533329017,1
71,0539869001,0
72,0540998040,1
73,0545085001,0
74,0545085002,0
75,0549961001,1
76,0549961003,1
77,0549961004,1
78,0549961005,1
79,0549961006,3
80,0549961007,1
81,0549961008,3
82,0549961009,3
83,0549961012,3
84,0549961013,3
85,0549961014,3
86,0549961015,3
87,0549961017,3
88,0549961018,3
89,0549961019,3
90,0550197001,2
91,0551342001,1
92,0551342003,3
93,0551415003,0
94,0552803003,1
95,0554756003,0
96,0555651001,0
97,0563133001,0
98,0565185001,1
99,0565185002,1
100,0565243001,3
101,0566089001,2
102,0566089002,1
103,0570745001,0
104,0572023005,0
105,0575373004,2
106,0576168002,0
107,0577827004,1
108,0578293001,1
109,0578293002,3
110,0578414001,0
111,0578416001,0
112,0578984001,0
113,0578984002,0
114,0578984004,0
115,0581213003,0
116,0581213004,2
117,0581583001,0
118,0581583005,0
119,0581583007,0
120,0581583011,3
121,0581583012,3
122,0583434001,0
123,0583443001,1
124,0583453001,0
125,0583463001,0
126,0583463002,1
127,0583463004,1
128,0583489001,0
129,0583554002,3
130,0583893001,0
131,0583964001,1
132,0585136002,0
133,0587756001,3
134,0587813005,3
135,0587813006,3
136,0587813008,1
137,0588390001,1
138,0588676001,0
139,0589484001,0
140,0589484002,1
141,0589484003,0
142,0589484004,1
143,0592019001,1
144,0593187001,0
145,0593187002,0
146,0594606001,0
147,0594898001,1
148,0594898002,0
149,0594898004,1
150,0595124001,3
151,0595124004,3
152,0595124007,1
153,0595127002,1
154,0596046001,3
155,0596302002,1
156,0596302006,3
157,0597089001,3
158,0597763001,1
159,0597763003,1
160,0599268001,1
161,0600257001,1
162,0600609001,3
163,0600609002,3
164,0600609003,1
165,0600698001,0
166,0600700001,1
167,0600700002,1
168,0601113001,3
169,0601113002,0
170,0601119002,1
171,0601119003,2
172,0601125001,1
173,0601199001,2
174,0601199004,1
175,0604077002,3
176,0604977001,3
177,0604977005,3
178,0604979001,3
179,0604979004,1
180,0604979005,1
181,0604979007,1
182,0606439001,1
183,0606439002,1
184,0606499003,1
185,0606499004,1
186,0606499006,3
187,0606499007,1
188,0606499008,1
189,0607760001,0
190,0607760002,3
191,0608341002,1
192,0608341004,3
193,0609014002,0
194,0609357003,3
195,0611815001,1
196,0611815007,0
197,0612084001,1
198,0612276001,0
199,0613125001,2
200,0615177001,1
201,0617783001,1
202,0617841001,1
203,0617841002,1
204,0618168001,1
205,0618471001,3
206,0618821001,0
207,0619176001,1
208,0619197001,1
209,0619347001,1
210,0621744001,3
211,0621744002,3
212,0621744003,3
213,0621744004,1
214,0621748001,0
215,0621748002,3
216,0621913001,3
217,0621913003,1
218,0622075001,1
219,0623903001,3
220,0623903002,1
221,0624385002,1
222,0624385005,3
223,0624535001,1
224,0624535002,2
225,0624535003,1
226,0624535004,2
227,0624535005,3
228,0624843001,1
229,0624881002,1
230,0625174001,3
231,0625618001,3
232,0626484001,1
233,0626484003,1
234,0626484004,3
235,0626484005,3
236,0626521001,1
237,0626684001,1
238,0626684003,3
239,0627155002,1
240,0627342002,1
241,0629679001,3
242,0629679006,1
243,0629718001,3
244,0629925001,3
245,0629925002,3
246,0631231002,3
247,0631231003,1
248,0631454001,1
249,0631455003,1
250,0633002001,1
251,0633463003,0
252,0633552002,3
253,0633640001,3
254,0633640002,1
255,0633652001,1
256,0633822001,1
257,0634971001,3
258,0634971002,1
259,0634971005,1
260,0634983002,1
261,0635141001,0
262,0636082001,1
263,0636452001,1
264,0636452002,1
265,0636452003,3
266,0636461001,3
267,0636461002,1
268,0636608001,3
269,0636608002,3
270,0637124001,2
271,0637124002,1
272,0637124003,3
273,0637124004,3
274,0637124009,1
275,0637253001,1
276,0638269001,1
277,0639055001,1
278,0639069001,3
279,0639069002,2
280,0639069003,1
281,0639069004,1
282,0639069005,1
283,0639751001,3
284,0639751002,1
285,0641021002,1
286,0641021003,1
287,0641024004,1
288,0641024005,3
289,0641228001,3
290,0641228003,3
291,0642428001,2
292,0642433001,1
293,0642617001,1
294,0642651002,1
295,0642720001,1
296,0642720002,1
297,0642720003,1
298,0642879001,1
299,0643055001,1
300,0643055002,1
301,0644628001,3
302,0644628002,1
303,0644628003,1
304,0645287002,3
305,0645553001,1
306,0645556001,1
307,0645927001,3
308,0646016001,3
309,0646016002,3
310,0646016003,1
311,0647380002,1
312,0648419004,1
313,0648939001,2
314,0648939002,2
315,0650882001,3
316,0652998001,1
317,0654062002,2
318,0654910001,3
319,0655166001,1
320,0655625001,1
321,0655628001,3
322,0655898001,3
323,0658722001,1
324,0658969001,3
325,0660282001,3
326,0660282004,3
327,0660294001,2
328,0660294002,3
329,0660552001,1
330,0660552002,1
331,0660552004,1
332,0660552005,1
333,0660835001,3
334,0662230001,3
335,0662230005,1
336,0662230007,1
337,0662230010,3
338,0663383001,3
339,0665587001,1
340,0665587002,3
341,0665587004,1
342,0665693001,1
343,0665761001,3
344,0666352001,1
345,0666352002,3
346,0666352003,1
347,0666352004,3
348,0668000001,1
349,0669327001,1
350,0669403001,3
351,0669403002,3
352,0672052001,1
353,0672052004,1
354,0672870001,3
355,0672873001,3
356,0673464001,1
357,0673464002,1
358,0674891001,3
359,0676267002,3
360,0676632003,3
361,0676632004,1
362,0676632005,3
363,0677614001,3
364,0677614003,3
365,0677618001,3
366,0677913001,3
367,0679085001,1
368,0679824001,1
369,0679824002,1
370,0679970001,3
371,0680351001,1
372,0681181001,3
373,0681181002,1
374,0681181004,3
375,0681181005,1
376,0681181006,1
377,0681181016,1
378,0681181017,1
379,0681922002,3
380,0681929001,3
381,0686221001,3
382,0686221002,3
383,0686594001,3
384,0687584001,3
385,0691129001,3
386,0691394001,3
387,0691394002,3
388,0691727001,3
389,0691727002,1
390,0692073001,3
391,0692488001,1
392,0692551001,0
393,0692551002,3
394,0692939001,3
395,0692957001,3
396,0693459001,3
397,0693607001,1
398,0693607002,1
399,0693607004,1
400,0693607006,1
401,0693607007,1
402,0693607008,3
403,0693977002,3
404,0694295001,3
405,0694295002,3
406,0694299001,1
407,0694299002,1
408,0694299003,2
409,0694300001,1
410,0694300003,2
411,0695645001,1
412,0695645006,3
413,0695645007,3
414,0695680001,3
415,0695693001,3
416,0695693002,1
417,0695693004,3
418,0695806001,3
419,0696323003,1
420,0696323004,1
421,0696473001,3
422,0696638001,3
423,0697049001,1
424,0697138001,2
425,0697138003,3
426,0697138004,2
427,0697138005,1
428,0697138006,1
429,0697138007,3
430,0697138008,3
431,0697141001,3
432,0697141002,3
433,0697882001,3
434,0698805002,3
435,0698805003,1
436,0698805004,3
437,0698805007,1
438,0698838001,3
439,0698838002,1
440,0698840001,0
441,0698840002,1
442,0698840003,1
443,0698853002,3
444,0698853003,3
445,0699115001,3
446,0699220001,3
447,0699220003,3
448,0699781001,3
449,0699781002,3
450,0699781003,3
451,0699871001,3
452,0699871002,1
453,0699871003,1
454,0699898001,1
455,0699898002,1
456,0700266001,3
457,0700266002,1
458,0700266003,1
459,0700266004,3
460,0701360001,1
461,0701377001,3
462,0701726003,3
463,0701726004,3
464,0701754001,3
465,0701754002,3
466,0702351001,3
467,0702351002,3
468,0702351004,1
469,0702624001,3
470,0703434001,1
471,0703434002,1
472,0703434003,3
473,0703434004,1
474,0703434007,1
475,0703434009,1
476,0704536001,1
477,0704536003,0
478,0704536005,2
479,0704890001,3
480,0704890003,1
481,0705153001,3
482,0705479001,3
483,0705556001,3
484,0706099001,3
485,0706099002,1
486,0706355003,3
487,0706355004,3
488,0707031001,3
489,0708323001,3
490,0708323002,3
491,0708323003,1
492,0708418001,3
493,0708418002,3
494,0708722001,1
495,0708722002,3
496,0708722004,3
497,0709415001,3
498,0709415002,3
499,0709415003,3
500,0709415004,3
501,0709857001,3
502,0710091001,3
503,0710091003,3
504,0710109001,2
505,0710518001,1
506,0710566001,3
507,0711178001,1
508,0711178002,3
509,0711178003,1
510,0711439001,3
511,0711439002,3
512,0712387001,1
513,0712787001,3
514,0713009001,3
515,0714424001,3
516,0714730002,3
517,0714730003,1
518,0714730006,1
519,0714730007,1
520,0714825002,3
521,0714825003,1
522,0714825005,3
523,0714825006,3
524,0715264001,3
525,0715959001,3
526,0716019001,3
527,0716107001,3
528,0716584001,1
529,0716746001,3
530,0716746002,3
531,0717630001,3
532,0717630002,3
533,0717640001,1
534,0717662001,3
535,0717755003,1
536,0717755004,3
537,0717825001,1
538,0718189001,3
539,0718189002,3
540,0718189003,1
541,0719239001,3
542,0719444001,1
543,0719444002,3
544,0719938001,1
545,0719939001,1
546,0720221001,3
547,0720548001,3
548,0720620003,3
549,0720620005,1
550,0721577001,3
551,0721577002,3
552,0721577003,3
553,0722418001,1
554,0722520001,3
555,0722520004,3
556,0722520006,3
557,0722914001,1
558,0722915001,1
559,0722951001,3
560,0724046001,3
561,0724046002,1
562,0724128001,3
563,0724253001,3
564,0724253002,2
565,0724253003,1
566,0724253004,3
567,0724253006,1
568,0724374001,1
569,0724378001,3
570,0725293001,1
571,0725293005,3
572,0726229001,1
573,0726229002,3
574,0726229003,1
575,0726380001,3
576,0727611001,1
577,0727611002,3
578,0727611003,1
579,0727611004,3
580,0727615001,1
581,0727615002,3
582,0727704001,3
583,0727711001,3
584,0727711002,1
585,0728638001,1
586,0729084003,1
587,0729084004,3
588,0732103001,3
589,0732103002,1
590,0732103004,1
591,0732103005,3
592,0732869001,3
593,0733553001,1
594,0733553002,3
595,0734072001,3
596,0734072002,1
597,0736089001,1
598,0736089002,3
599,0736089003,1
600,0736949001,1
601,0736949002,1
602,0737022003,0
603,0737022004,3
604,0737022006,0
605,0737022007,1
606,0738462001,3
607,0739053001,1
608,0739246001,3
609,0739361001,3
610,0741182001,3
611,0741306001,3
612,0741823001,3
613,0742084001,3
614,0742084004,3
615,0742084007,3
616,0742153001,3
617,0742455002,3
618,0742455003,1
619,0742455004,1
