,article_id,cluster
0,0111586001,2
1,0120129001,3
2,0120129014,3
3,0120129018,3
4,0120129025,4
5,0123173001,5
6,0129085001,0
7,0129085026,0
8,0129085027,3
9,0146730001,1
10,0148033001,1
11,0156231002,5
12,0158340001,1
13,0179123001,3
14,0179123040,3
15,0179208008,1
16,0182909001,5
17,0189616001,3
18,0189616006,0
19,0189616007,3
20,0189616008,3
21,0189616009,3
22,0189616014,0
23,0189616015,0
24,0189616016,0
25,0189616028,0
26,0189616032,0
27,0189616038,0
28,0189634001,3
29,0189634031,4
30,0194037001,1
31,0194037002,6
32,0194242047,4
33,0194242048,3
34,0194242049,5
35,0194242050,3
36,0198714001,3
37,0198714006,2
38,0224521007,0
39,0237032003,3
40,0241412034,5
41,0241412037,5
42,0241412038,3
43,0241412043,2
44,0241412044,4
45,0241412045,5
46,0241412046,4
47,0241412052,4
48,0243613004,4
49,0278038005,0
50,0278038027,0
51,0278038028,5
52,0278038029,0
53,0278038031,1
54,0278038035,1
55,0278038036,6
56,0297067002,4
57,0297078008,2
58,0305931001,4
59,0306847002,2
60,0306847007,4
61,0306847008,0
62,0306847009,2
63,0306847010,0
64,0306847011,2
65,0306847013,2
66,0312543001,4
67,0312543004,5
68,0312543005,4
69,0327368019,5
70,0327368026,5
71,0327821003,0
72,0327821005,0
73,0327821020,2
74,0327821026,6
75,0327821028,0
76,0327821029,0
77,0327821030,0
78,0327821034,0
79,0327821035,0
80,0327821037,0
81,0327821045,2
82,0343973008,4
83,0343973009,5
84,0343973011,5
85,0367372001,1
86,0368979001,3
87,0375248006,0
88,0375248009,2
89,0375248010,4
90,0375248012,4
91,0375248020,2
92,0375248021,2
93,0375248022,2
94,0375248023,2
95,0375248024,2
96,0375248026,2
97,0375248028,1
98,0375248029,1
99,0379360015,2
100,0379360022,0
101,0379360023,4
102,0379360031,5
103,0379360032,0
104,0379360033,2
105,0379360034,2
106,0379360038,2
107,0379360043,2
108,0379360048,2
109,0379360052,1
110,0379360053,2
111,0379963002,2
112,0412370002,5
113,0413707001,3
114,0413707008,4
115,0413707014,0
116,0413707019,0
117,0413707020,3
118,0413707021,4
119,0413707022,2
120,0413707023,3
121,0413707031,4
122,0426541036,0
123,0426541040,0
124,0431034005,5
125,0436261001,5
126,0450056005,3
127,0450056007,2
128,0450056008,0
129,0457892003,3
130,0457892005,3
131,0478566026,5
132,0478566027,5
133,0478566032,5
134,0478566050,5
135,0478566052,5
136,0480576008,5
137,0480576015,5
138,0480627011,5
139,0480627012,5
140,0480627022,0
141,0480627025,4
142,0484398001,0
143,0484398005,5
144,0484398014,2
145,0484398017,4
146,0484398018,5
147,0484398019,4
148,0484398021,5
149,0484398023,3
150,0484398024,4
151,0484398026,5
152,0484398054,3
153,0484398056,4
154,0484398062,3
155,0484398067,5
156,0484398068,3
157,0484398071,4
158,0484398077,3
159,0484644001,1
160,0484644003,5
161,0484644004,4
162,0484647001,0
163,0495161001,5
164,0500373003,1
165,0500771005,2
166,0500771006,4
167,0500771007,3
168,0500771011,0
169,0500771012,3
170,0500780001,4
171,0500780006,4
172,0500780007,5
173,0500780008,3
174,0500780011,1
175,0500814001,5
176,0501807001,4
177,0501882002,4
178,0501892001,4
179,0501892003,2
180,0503742001,5
181,0505604001,5
182,0506110001,3
183,0506515003,5
184,0506515005,6
185,0506898001,5
186,0506905008,5
187,0507674001,2
188,0507706001,5
189,0507706003,3
190,0507706004,3
191,0507755004,5
