,article_id,cluster
0,0325542020,1
1,0389479006,0
2,0389479007,1
3,0429322001,1
4,0429322004,1
5,0429322007,1
6,0450604004,2
7,0450604007,2
8,0450604008,2
9,0450604009,2
10,0450604021,1
11,0450604022,1
12,0464848009,2
13,0508156026,0
14,0508156027,1
15,0508156028,0
16,0508156030,0
17,0508156031,1
18,0517495004,0
19,0517495005,2
20,0528283001,2
21,0542073005,1
22,0542073006,0
23,0542073007,0
24,0542073009,1
25,0542073010,0
26,0542073011,1
27,0542073012,0
28,0547842002,0
29,0569248004,0
30,0569248008,0
31,0569248011,0
32,0569248013,1
33,0569248014,0
34,0569248015,0
35,0569248016,0
36,0575343001,1
37,0577649001,0
38,0586555001,0
39,0594513001,1
40,0595569001,2
41,0595660001,0
42,0595660002,0
43,0595660004,1
44,0595660005,0
45,0595660007,1
46,0610709001,2
47,0613387001,1
48,0621264001,1
49,0623936001,0
50,0628513001,1
51,0631771001,1
52,0631771005,1
53,0636839001,1
54,0640956001,0
55,0640956002,0
56,0647424001,0
57,0647424003,1
58,0649428001,1
59,0649428002,0
60,0650971001,0
61,0650971003,0
62,0650971004,1
63,0654174001,1
64,0654174002,1
65,0655248001,0
66,0655248003,0
67,0655248004,1
68,0655249001,1
69,0655262001,1
70,0663473001,0
71,0663473002,0
72,0663473003,1
73,0670193001,1
74,0673597001,1
75,0676698001,1
76,0679139001,0
77,0679139003,0
78,0679139005,1
79,0680542002,1
80,0689123001,0
81,0689123002,1
82,0689124001,1
83,0689383001,1
84,0689383002,0
85,0689383004,1
86,0689383005,0
87,0692269001,1
88,0695069001,1
89,0695069003,1
90,0699614001,0
91,0700747001,1
92,0705754001,1
93,0711945001,1
94,0714343002,1
95,0714343003,1
96,0714343004,1
97,0714343005,1
98,0714343006,1
99,0714343007,0
100,0714343008,1
101,0715679001,1
102,0715679002,0
103,0715679006,0
104,0715679009,0
105,0715679010,0
106,0720202001,1
107,0726956001,1
108,0729795001,1
109,0729952001,1
110,0741480001,1
111,0747084001,0
112,0755247002,1
113,0756322001,1
114,0756322004,1
115,0756322006,1
116,0756322009,1
117,0756414001,1
118,0756415001,1
119,0756415003,1
120,0756415005,1
121,0756415007,1
122,0757156001,0
123,0761432001,0
124,0761432002,0
125,0761432005,1
126,0761698001,1
127,0761698002,1
128,0762133001,1
129,0762133002,0
130,0762975001,0
131,0762975002,0
132,0762975004,0
133,0770352001,1
134,0770352002,0
135,0770352003,0
136,0770352004,0
137,0770352005,1
138,0770352006,1
139,0781862001,0
140,0785027001,1
141,0785027002,1
142,0785086001,1
143,0785086002,1
144,0787189001,1
145,0787189002,1
146,0788429001,1
147,0788429004,0
148,0799869001,1
149,0802147001,1
150,0807172001,0
151,0812322001,0
152,0816506001,0
153,0818020001,1
154,0818020003,0
155,0820442001,1
156,0825930001,1
157,0826056001,1
158,0833778001,1
159,0839177001,1
160,0844203001,0
161,0853809001,1
162,0861769001,0
163,0872636001,1
164,0872648001,1
165,0872900001,1
166,0877956001,1
167,0888334001,1
168,0907278001,1
169,0933051001,0
170,0943879001,1
