,article_id,cluster
0,0410291003,1
1,0519049001,1
2,0535610002,1
3,0545609001,1
4,0550163001,1
5,0574801003,1
6,0616123004,0
7,0616123005,0
8,0616123006,2
9,0616123007,2
10,0616123008,2
11,0616123009,2
12,0616127001,2
13,0616127002,2
14,0623666001,0
15,0623666002,0
16,0626594003,0
17,0636879001,2
18,0648435001,2
19,0648435002,1
20,0648435003,2
21,0649977001,2
22,0657217001,2
23,0657259001,0
24,0657261001,0
25,0690076001,2
26,0690076002,2
27,0694827001,2
28,0694827002,2
29,0734914001,2
30,0734914002,2
31,0734914004,2
32,0734914005,2
33,0734914006,2
34,0734914009,2
35,0734914012,2
36,0734915001,2
37,0734915002,2
38,0734915004,2
39,0734915005,2
40,0734931001,2
41,0734931003,2
42,0734932001,2
43,0734932002,2
44,0750481004,2
45,0750481010,2
46,0760796001,2
47,0760796002,2
48,0769535001,2
49,0769535002,2
50,0790309001,2
51,0796698001,2
52,0796698002,2
53,0824433002,0
54,0857345001,2
55,0857345003,2
56,0857345004,2
57,0857345008,2
58,0882037001,2
59,0882037003,2
60,0887085001,2
61,0887085002,2
62,0887085003,2
63,0887089001,2
