,article_id,cluster
0,0492841004,0
1,0503475001,0
2,0527714002,0
3,0536663005,0
4,0536663006,0
5,0536663007,1
6,0536663008,2
7,0545258002,0
8,0545258003,0
9,0545258004,0
10,0545258005,0
11,0545258007,1
12,0545258008,1
13,0545258010,2
14,0545258016,2
15,0545258017,2
16,0545258018,2
17,0545258019,1
18,0545290001,0
19,0553611001,2
20,0553611002,0
21,0553611005,0
22,0553611006,1
23,0553611010,2
24,0553611013,1
25,0553611016,2
26,0553611019,1
27,0553611020,1
28,0553611022,2
29,0553611023,2
30,0553611028,1
31,0556438001,1
32,0556438009,2
33,0556438012,1
34,0556438013,2
35,0556438014,2
36,0556439003,0
37,0556545001,0
38,0556545004,0
39,0556555001,0
40,0557035003,2
41,0557051001,1
42,0558392001,0
43,0558396001,0
44,0573695001,1
45,0580457001,0
46,0580457002,0
47,0580469001,1
48,0580469002,0
49,0580469003,0
50,0580469004,0
51,0580469005,1
52,0580469006,2
53,0580469008,2
54,0580477001,0
55,0580477002,0
56,0580853001,0
57,0580853002,0
58,0580853004,2
59,0580857001,0
60,0585812001,0
61,0585812002,0
62,0585812003,2
63,0594094001,1
64,0594094003,0
65,0599680001,1
66,0599729001,0
67,0599729002,0
68,0599729003,1
69,0599729004,2
70,0599729005,1
71,0605230002,1
72,0605230009,2
73,0605230010,2
74,0607788001,2
75,0607788002,1
76,0610787001,0
77,0610787002,0
78,0613874001,1
79,0614734001,0
80,0614734002,0
81,0614734003,2
82,0614734008,2
83,0619677002,0
84,0631383001,2
85,0634241001,0
86,0647946004,1
87,0647946007,2
88,0647946008,2
89,0647954004,1
90,0653122001,2
91,0653122002,1
92,0654978001,1
93,0656886001,1
94,0656886002,1
95,0657897001,2
96,0658011001,2
97,0658011002,1
98,0664333001,1
99,0671556001,1
100,0673832001,1
101,0673832002,1
102,0673876001,2
103,0673905001,1
104,0673905002,2
105,0673905003,2
106,0674389001,1
107,0685259001,2
108,0685985001,2
109,0685985002,1
110,0686026001,1
111,0686026002,1
112,0695808001,2
113,0698032001,1
114,0698032002,2
115,0705799001,2
116,0705799002,1
117,0705799003,2
118,0705799005,2
119,0705800001,1
120,0705800002,2
121,0705805001,2
122,0705805002,2
123,0707194001,1
124,0707194002,1
125,0709433002,1
126,0709745004,1
127,0709746001,1
128,0709746003,2
129,0709746007,2
130,0710054003,1
131,0714391001,1
132,0716853002,2
133,0719578001,1
134,0722313001,2
135,0722315001,2
136,0723877001,1
137,0723912001,2
138,0723912002,1
139,0723912003,2
140,0732363001,2
141,0742315001,1
142,0742943001,2
143,0782062001,2
144,0782062003,2
145,0782063001,2
146,0782066001,1
147,0782066002,2
148,0782066004,1
149,0782066008,2
150,0782412001,2
151,0783018001,2
152,0783018002,2
153,0783019002,1
154,0783019003,2
155,0789216001,2
156,0789216002,2
157,0789681001,2
158,0791215001,2
159,0791215003,1
160,0808021001,1
161,0808021002,1
162,0808021004,1
163,0808021006,1
164,0808021007,1
165,0808021008,2
166,0820113001,2
167,0820179001,2
168,0827760001,1
169,0827760002,2
170,0827760003,2
171,0827760004,1
172,0827760005,1
173,0837135001,1
174,0837135002,2
175,0837139001,1
176,0854931001,1
177,0854931002,2
178,0889675001,2
179,0889675002,1
180,0894534001,2
181,0896991001,2
182,0902831001,2
183,0902831002,2
184,0912258001,2
185,0912258004,2
