,article_id,cluster
0,0141661022,1
1,0141661025,1
2,0174057022,1
3,0174057026,1
4,0174057027,0
5,0174057029,0
6,0174057030,2
7,0174057032,2
8,0174057033,2
9,0174057035,0
10,0174057036,2
11,0174057037,2
12,0174057038,2
13,0174057039,0
14,0174057040,2
15,0187949016,1
16,0187949019,0
17,0187949020,0
18,0187949025,0
19,0187949026,2
20,0187949028,2
21,0187949029,2
22,0187949030,2
23,0187949031,2
24,0187949032,2
25,0217207045,2
26,0217207046,2
27,0217207047,0
28,0217207048,2
29,0217207055,0
30,0247072018,2
31,0247072020,2
32,0247072022,2
33,0247072023,0
34,0247072025,2
35,0247072026,2
36,0247072031,2
37,0247072032,2
38,0310091014,1
39,0310091017,1
40,0310091018,1
41,0310091019,1
42,0310091020,2
43,0310091024,0
44,0310091025,0
45,0310091032,0
46,0310091033,0
47,0310091034,0
48,0310091035,0
49,0310091036,2
50,0310091038,0
51,0310091039,0
52,0310091040,0
53,0310091041,0
54,0310091042,0
55,0310091043,0
56,0331062008,1
57,0331062009,1
58,0342345019,1
59,0342345025,1
60,0342345026,1
61,0373698005,2
62,0386399006,0
63,0386399009,1
64,0386399011,0
65,0427114007,1
66,0427114014,0
67,0427114015,2
68,0427114016,0
69,0427114019,2
70,0427114020,0
71,0427114021,0
72,0427948003,1
73,0427948004,0
74,0433275006,1
75,0433275007,2
76,0433275008,2
77,0433275011,2
78,0433275012,2
79,0433275015,2
80,0433275019,2
81,0433275020,2
82,0433275021,2
83,0433275022,2
84,0462128014,0
85,0462128015,2
86,0462128017,2
87,0462128021,0
88,0462128022,0
89,0462128027,2
90,0462128028,2
91,0462128029,2
92,0462128031,2
93,0462128037,2
94,0462128038,2
95,0485551003,0
96,0485551004,2
97,0485551005,2
98,0485551006,2
99,0485551008,2
100,0485551009,2
101,0485551010,2
102,0485551014,2
103,0515949002,1
104,0515949004,2
105,0535555003,1
106,0540922001,1
107,0550471010,1
108,0550471011,1
109,0550471012,1
110,0550471019,1
111,0550471020,1
112,0550471024,0
113,0550471025,2
114,0550471026,0
115,0550471027,0
116,0573448001,0
117,0573448005,0
118,0573448006,0
119,0573448007,0
120,0576821002,1
121,0605081001,0
122,0605081002,0
123,0607088001,1
124,0616655002,2
125,0617180001,2
126,0624554001,0
127,0626556001,0
128,0631582001,0
129,0631582004,2
130,0638162001,1
131,0638162003,0
132,0638162004,0
133,0639305003,0
134,0639305006,2
135,0639305008,0
136,0639305011,2
137,0639305012,2
138,0639305013,2
139,0639305018,2
140,0639469001,0
141,0639469003,2
142,0639469004,0
143,0639469006,2
144,0639469008,2
145,0639469010,0
146,0639469011,2
147,0639469013,2
148,0639469014,2
149,0639563001,2
150,0643678001,2
151,0643678002,0
152,0643678003,0
153,0643678004,0
154,0643678020,2
155,0643678021,2
156,0643678022,2
157,0643678025,2
158,0643678027,0
159,0643678028,0
160,0643678029,2
161,0643678031,0
162,0643678032,0
163,0643678033,2
164,0643678035,0
165,0650382001,0
166,0653055002,2
167,0653055003,2
168,0653812001,2
169,0657434001,2
170,0657434002,2
171,0657434003,0
172,0657434004,0
173,0657434006,0
174,0657434007,2
175,0657434009,0
176,0657434010,2
177,0657434011,0
178,0657434012,0
179,0657434014,0
180,0657434031,0
181,0660205001,2
182,0660541001,2
183,0660541002,0
184,0660541003,0
185,0660541004,0
186,0660541007,0
187,0660541008,0
188,0660541009,0
189,0660541010,0
190,0660541012,0
191,0660541014,0
192,0660541015,0
193,0660541017,0
194,0660541022,0
195,0660541023,0
196,0661888002,2
197,0661888003,2
198,0661888004,2
199,0661888006,2
200,0661888008,2
201,0664879001,2
202,0677848001,0
203,0677848002,2
204,0677848003,2
205,0677848004,0
206,0677848006,2
207,0677848007,2
208,0677848008,2
209,0677848009,2
210,0677848010,0
211,0677848011,2
212,0679135001,2
213,0679135002,2
214,0679135003,2
215,0683622003,0
216,0683622004,0
217,0694046001,0
