,article_id,cluster
0,0211143021,3
1,0211143022,3
2,0211143023,3
3,0211143036,3
4,0211143037,2
5,0211143040,1
6,0235732024,0
7,0235732026,3
8,0235732029,3
9,0276540021,3
10,0283937018,3
11,0283937019,3
12,0283937023,3
13,0368603022,3
14,0368603029,3
15,0368603035,3
16,0410549007,2
17,0410549008,2
18,0410549009,2
19,0420963004,3
20,0420963005,3
21,0420963006,2
22,0420963007,2
23,0422393004,3
24,0425242005,0
25,0425242006,2
26,0445400005,1
27,0445400008,2
28,0445400010,1
29,0445400012,1
30,0445400013,1
31,0445400014,1
32,0445400019,1
33,0445400022,0
34,0445400023,1
35,0445400024,0
36,0445400025,0
37,0445400027,1
38,0445400029,0
39,0445400030,0
40,0453134008,2
41,0453134009,1
42,0454128006,3
43,0454128010,3
44,0454128011,3
45,0454128017,3
46,0454128018,3
47,0454128021,0
48,0454128026,2
49,0454128029,0
50,0454128030,1
51,0454128033,1
52,0462086004,2
53,0462086005,2
54,0468591003,0
55,0468591005,0
56,0468591007,0
57,0468591008,0
58,0468591009,0
59,0468591010,0
60,0468591014,0
61,0468591015,0
62,0468591018,0
63,0468591020,0
64,0468591021,0
65,0484104005,3
66,0484104006,2
67,0484104007,1
68,0484104010,1
69,0484126004,0
70,0485537007,3
71,0485537016,3
72,0485537017,3
73,0485537021,3
74,0485537022,0
75,0485537023,1
76,0485537024,0
77,0485537026,0
78,0485537027,2
79,0485537028,0
80,0485537031,0
81,0485537033,2
82,0485537034,2
83,0485537037,1
84,0485544004,3
85,0485544005,0
86,0485544006,1
87,0485544008,0
88,0485544013,0
89,0485544014,0
90,0485544017,0
91,0485544018,0
92,0485544020,0
93,0485544021,0
94,0485544022,0
95,0485544023,0
96,0485544024,0
97,0485544029,1
98,0485544031,0
99,0485544032,0
100,0485544033,1
101,0485544034,0
102,0485544035,0
103,0485548001,1
104,0485548002,3
105,0485548007,2
106,0485548020,0
107,0485548021,1
108,0485548022,2
109,0485552001,3
110,0485552003,3
111,0485552004,2
112,0485552008,2
113,0485552010,2
114,0485554001,3
115,0485554003,3
116,0485554004,1
117,0485554005,1
118,0485554009,1
119,0485554010,1
120,0485689001,3
121,0485689002,3
122,0485689008,3
123,0485689010,2
124,0485689011,2
125,0485689015,2
126,0485689016,3
127,0485689017,2
128,0485689020,2
129,0485689022,1
130,0485689023,2
131,0485689024,2
132,0485689026,2
133,0485689027,2
134,0485689028,2
135,0485689031,2
136,0485689035,2
137,0485691001,3
138,0485691003,3
139,0485691004,2
140,0485691007,2
141,0485748001,3
142,0485748002,2
143,0485748004,2
144,0493666004,3
145,0493666010,3
146,0493666011,3
147,0493666013,3
148,0495347001,3
149,0495347002,1
150,0495347006,2
151,0495347007,2
152,0503729006,2
153,0506368004,2
154,0506368005,1
155,0506368006,1
156,0506368008,1
157,0506368009,1
158,0506452003,0
159,0506452004,3
160,0506452010,1
161,0506452011,2
162,0508184008,3
163,0508184016,3
164,0508184019,1
165,0508184020,1
166,0508184022,1
167,0517718002,3
168,0517961002,2
169,0523625002,3
170,0523625004,0
171,0523625005,2
172,0523625009,0
173,0523625010,0
174,0523625014,1
175,0523625016,1
176,0523944002,3
177,0524979009,1
178,0524979010,1
179,0524979011,0
180,0524979012,0
181,0524979013,1
182,0524979014,0
183,0524979016,1
184,0524979017,1
185,0524979018,1
186,0524979019,0
187,0524979020,0
188,0524979022,0
189,0524979023,0
190,0524979024,1
191,0524979025,1
192,0524979026,1
193,0524979029,0
194,0524979030,0
195,0524979032,0
196,0525675004,3
197,0525675006,2
198,0530945001,2
199,0531284003,3
200,0531284005,0
201,0531284007,0
202,0531284008,1
203,0531284011,1
204,0531284012,0
205,0531284013,1
206,0531284014,0
207,0531284020,1
208,0531284022,0
209,0531284023,0
210,0531284024,2
211,0531284025,2
212,0531284027,1
213,0531284028,1
214,0531284032,1
215,0531284035,1
216,0534142002,3
217,0536201001,3
218,0543219004,3
219,0545564005,2
220,0547168002,2
221,0547168004,1
222,0547845001,3
223,0547845003,0
224,0556141001,3
225,0557651002,3
226,0557651003,1
227,0557651004,2
228,0557651005,2
229,0557651007,1
230,0557651009,2
231,0561948003,3
232,0561948005,3
233,0561954002,3
234,0563321003,0
235,0563874001,1
236,0563874002,1
237,0563874004,3
238,0567901001,0
239,0567901002,0
240,0568472001,0
241,0568504002,3
242,0568505001,1
243,0568505002,0
244,0568505003,1
245,0568505004,1
246,0569093002,1
247,0569093003,1
248,0569093004,1
249,0569093006,0
250,0569093007,2
251,0569093013,2
252,0569093015,1
253,0569093016,2
254,0569093017,0
255,0569093019,1
256,0569093020,1
257,0569093024,1
