,article_id,cluster
0,0278563001,2
1,0475791004,0
2,0475791006,0
3,0475791010,2
4,0475791012,1
5,0475791020,0
6,0475791030,1
7,0475791036,1
8,0475791037,0
9,0475791038,0
10,0475791039,1
11,0478022001,2
12,0478022003,2
13,0482638003,0
14,0482638006,1
15,0482638014,0
16,0482638017,2
17,0482638018,2
18,0482643001,2
19,0482667001,0
20,0482667002,0
21,0483082001,2
22,0483082002,2
23,0483082007,0
24,0489435001,2
25,0489435002,2
26,0489435009,1
27,0489435010,1
28,0489435011,1
29,0489435012,1
30,0489435014,0
31,0489435015,2
32,0489435016,0
33,0489436001,0
34,0489436002,1
35,0490829006,0
36,0490829007,0
37,0490829009,0
38,0490829010,2
39,0510414005,0
40,0510419001,0
41,0510419004,2
42,0510419006,0
43,0510420004,2
44,0510420006,2
45,0510420007,1
46,0510420008,0
47,0510420009,1
48,0518191002,1
49,0525621001,0
50,0527144001,0
51,0531693001,0
52,0558706002,0
53,0562747001,2
54,0562900001,0
55,0567721001,0
56,0567721003,0
57,0567725002,0
58,0567725003,0
59,0567725004,0
60,0567725005,0
61,0569903002,0
62,0569903004,0
63,0569903005,0
64,0569903006,0
65,0569903008,0
66,0570144001,0
67,0570150001,2
68,0570150002,2
69,0570150003,2
70,0570309005,0
71,0578316001,2
72,0578317002,2
73,0578317003,2
74,0578317005,1
75,0578317006,1
76,0578387001,0
77,0580474001,0
78,0580474002,0
79,0581162007,2
80,0581162008,2
81,0581275001,0
82,0581275002,2
83,0581275005,0
84,0581275007,0
85,0581275008,1
86,0581275009,0
87,0581275010,0
88,0583989001,0
89,0583989003,2
90,0583989004,0
91,0583989005,2
92,0583989007,0
93,0584392002,0
94,0584397002,0
95,0584397003,0
96,0590414001,1
97,0590414002,0
98,0590416002,0
99,0590416003,0
100,0593398001,2
101,0593398002,0
102,0593418001,0
103,0593426002,0
104,0593426003,0
105,0593426004,2
106,0593426005,0
107,0593457003,0
108,0593458002,2
109,0593459003,2
110,0594161005,0
111,0594161006,2
112,0594167002,0
113,0595134001,0
114,0596164002,0
115,0599997002,0
116,0600920001,0
117,0601111001,2
118,0601780001,0
119,0601898001,2
120,0601898002,2
121,0601898003,0
122,0607940001,0
123,0608761002,2
124,0609636001,1
125,0609636002,2
126,0609637001,2
127,0609646001,2
128,0609647001,0
129,0609654001,2
130,0610333001,0
131,0610359001,0
132,0610360001,0
133,0610611001,2
134,0610611009,2
135,0610611010,2
136,0610611011,0
137,0610611012,0
138,0610611013,1
139,0610611014,1
140,0610611016,0
141,0610631001,0
142,0610638001,0
143,0610765001,0
144,0610988001,0
145,0611033001,2
146,0611033002,0
147,0613093001,0
148,0613093003,2
149,0616229001,2
150,0616229003,0
151,0617288001,2
152,0617288002,2
153,0617299001,2
154,0617299002,2
155,0619071001,0
156,0619199001,0
157,0619199002,0
158,0620608001,2
159,0620608004,0
160,0620746001,2
161,0620746003,0
162,0620754002,2
163,0620755001,0
164,0620759002,2
165,0621632001,2
166,0621632002,0
167,0621780001,0
168,0621780004,1
169,0621915001,2
170,0621915002,2
171,0621915003,1
172,0621915004,1
173,0621915005,0
174,0621915006,1
175,0622964001,0
176,0622964004,2
177,0622964005,0
178,0622967001,0
179,0622967002,2
180,0623248001,0
181,0623248003,0
182,0623248004,0
183,0623248005,2
184,0623248006,2
185,0623248007,2
186,0623248008,0
187,0623378002,0
188,0623378004,2
189,0623378006,2
190,0623380002,2
191,0623934001,0
192,0623934002,0
193,0623934003,1
194,0623935002,2
195,0624001001,2
196,0624001004,2
197,0624507001,2
198,0624507002,2
199,0624507003,2
200,0624639001,0
201,0626076001,2
202,0626076002,0
203,0626537001,0
204,0626537002,2
205,0627334001,0
206,0631876001,2
207,0631876002,0
208,0631878001,2
209,0631878004,2
210,0631878005,1
211,0631878006,2
212,0631888001,2
213,0631961001,2
214,0631961002,2
215,0631961003,0
216,0631961004,1
217,0631961005,0
218,0631961006,0
219,0632021001,2
220,0632429001,2
221,0632451001,1
222,0632596001,1
223,0632651001,2
224,0632651002,2
225,0632651003,0
226,0634011001,2
227,0634025001,2
228,0634704001,2
229,0634704002,2
230,0635689001,1
231,0635689002,0
232,0635689003,0
233,0640059001,2
234,0640989001,0
235,0640989002,0
236,0640989003,0
237,0640989004,0
238,0640990001,2
239,0640990002,0
240,0640990003,2
241,0641138001,0
242,0641138002,2
243,0641483001,2
244,0641742001,0
245,0641765001,0
246,0647794001,0
247,0647794002,2
248,0649018001,2
249,0649353001,0
250,0649353002,0
251,0650500001,0
252,0650500003,0
253,0650672001,2
254,0650672002,2
255,0652007001,2
256,0652123001,2
257,0652166001,2
258,0652168001,1
259,0653719001,0
260,0654983001,0
261,0654984001,2
262,0655493001,0
263,0655642001,2
264,0656949001,0
265,0656952001,2
266,0663281001,0
267,0663281003,2
268,0664939001,2
269,0664939002,2
270,0665045001,1
271,0665045002,2
272,0686031001,2
273,0686031002,2
274,0687000001,1
275,0687000002,1
276,0687000003,1
277,0688078001,1
278,0688078005,1
279,0688078007,0
280,0693651001,0
281,0693651003,2
282,0693651004,2
283,0693651005,0
284,0694915001,1
285,0694915004,1
286,0694915005,0
287,0694916001,0
288,0694916004,1
289,0694916009,2
290,0694916010,2
291,0694917001,0
292,0694917003,1
293,0694919001,0
294,0694919009,1
295,0694919010,2
296,0695535002,2
297,0695535003,1
298,0695535004,1
299,0695536001,2
