,article_id,cluster
0,0563404001,1
1,0605555001,2
2,0747444001,2
3,0747444002,0
4,0747737001,0
5,0747737002,0
6,0747737003,0
7,0747737004,0
8,0747737005,0
9,0748025001,0
10,0748025002,0
11,0748025003,0
12,0748025004,2
13,0748025005,0
14,0748029001,2
15,0748029002,2
16,0748030001,2
17,0748030002,2
18,0748031001,0
19,0748031002,2
20,0748031003,2
21,0748032001,2
22,0748033001,0
23,0748579001,0
24,0748582001,0
25,0748582008,2
26,0758110001,2
27,0758118001,2
28,0758125001,2
29,0758126002,2
30,0758151001,2
31,0758153001,2
32,0758156001,2
33,0758157001,2
34,0765731001,2
35,0765731002,2
36,0765731003,2
37,0774506001,0
38,0774785002,2
39,0776740001,0
40,0790038001,0
41,0812157001,2
42,0812464001,0
43,0812668001,0
44,0812668002,0
45,0820476001,0
46,0842584001,2
47,0846327001,0
48,0846327003,2
49,0846327005,0
50,0846327008,0
51,0848082001,0
52,0848082002,0
53,0850895001,2
54,0850897001,2
55,0854784001,0
56,0854786001,0
57,0854787001,0
58,0855857001,0
59,0861456001,0
60,0861456002,0
61,0867254001,2
62,0868993001,2
63,0868994001,2
64,0870541001,0
65,0873049001,2
