,article_id,cluster
0,0199119038,3
1,0242354009,3
2,0250457010,7
3,0275362021,10
4,0275362022,4
5,0297796002,2
6,0301364029,7
7,0305304008,2
8,0305304010,0
9,0305304019,0
10,0305304020,9
11,0307656008,9
12,0307656018,9
13,0307656020,2
14,0307656023,9
15,0307656027,9
16,0307656029,9
17,0358254004,3
18,0359043005,7
19,0359043006,7
20,0359043007,8
21,0359043008,2
22,0365058001,7
23,0366859017,6
24,0366859020,7
25,0366859023,6
26,0366859024,6
27,0366859031,4
28,0366859032,5
29,0366859033,5
30,0366859034,12
31,0368300006,5
32,0368300011,6
33,0368300014,5
34,0368300015,12
35,0368300022,12
36,0384851001,0
37,0384851004,2
38,0384851013,0
39,0384851019,0
40,0384851022,9
41,0384851023,9
42,0387426012,4
43,0392168001,9
44,0392168010,7
45,0392168018,9
46,0392168020,7
47,0392168029,2
48,0392168032,0
49,0396135007,2
50,0396135008,8
51,0396135023,3
52,0396135035,0
53,0396135040,2
54,0396135041,9
55,0396135044,2
56,0396135045,0
57,0396135046,8
58,0396135049,8
59,0396135052,9
60,0396135058,5
61,0396135065,12
62,0397688006,3
63,0398089001,9
64,0398089002,2
65,0398089004,9
66,0398089007,9
67,0398089010,9
68,0398089014,10
69,0398089018,0
70,0398089023,9
71,0398127007,0
72,0398829001,5
73,0398829007,8
74,0398829008,5
75,0398863005,6
76,0398863006,6
77,0398863007,13
78,0403994003,2
79,0403994005,11
80,0403994006,6
81,0414079002,7
82,0442345019,6
83,0442345024,4
84,0442345026,9
85,0442345027,1
86,0442345028,1
87,0442786003,9
88,0442786005,11
89,0442786006,5
90,0449099020,5
91,0449099024,6
92,0449099026,6
93,0449099037,4
94,0449099043,4
95,0452898009,6
96,0452898011,3
97,0452898018,12
98,0452898019,1
99,0452898020,1
100,0452898024,12
101,0452898025,5
102,0452898027,1
103,0452898028,12
104,0452898029,1
105,0452898030,5
106,0452898031,11
107,0453016002,6
108,0455491010,7
109,0456011001,3
110,0456032014,5
111,0456032015,0
112,0456032016,2
113,0456032017,1
114,0456032018,2
115,0456032019,11
116,0456032021,2
117,0456032025,2
118,0457722001,0
119,0457722005,0
120,0457722013,0
121,0457722015,5
122,0466891001,12
123,0466891002,12
124,0468480002,9
125,0468480015,9
126,0468480025,2
127,0468480028,5
128,0468480031,9
129,0468480033,9
130,0468480035,9
131,0468695015,9
132,0468695016,0
133,0471714002,12
134,0471714005,8
135,0471714008,12
136,0471714009,3
137,0471714012,5
138,0471714013,5
139,0471714014,1
140,0471714020,12
141,0471714028,5
142,0471714031,12
143,0471714035,12
144,0471714036,12
145,0471714037,12
146,0474461002,4
147,0474461003,12
148,0474461006,11
149,0474461014,5
150,0474461020,6
151,0474461030,1
152,0474461031,9
153,0474461033,12
154,0474461034,12
155,0474461035,2
156,0474461036,2
157,0474461037,1
158,0474461039,12
159,0474461045,9
160,0474461047,5
161,0474461050,5
162,0474461058,5
163,0474471001,1
164,0474471002,1
165,0474471003,1
166,0474471004,1
167,0474471006,1
168,0474471009,1
169,0474471010,1
170,0474471012,1
171,0474471018,1
172,0474471019,1
173,0474471020,5
174,0474471021,12
175,0474471022,1
176,0475260003,6
177,0476096003,7
178,0476122001,7
179,0476366002,7
180,0476366004,7
181,0477576021,3
182,0477834005,3
183,0478004012,6
184,0478972005,7
185,0478992004,7
186,0478992007,3
187,0478992008,3
188,0478992009,1
189,0478992010,11
190,0478992011,5
191,0478992012,5
192,0478992014,1
193,0478992015,11
194,0478992016,11
195,0479095001,12
196,0479095002,1
197,0479095011,4
198,0479095012,1
199,0479095014,8
200,0479095015,5
201,0479750003,6
202,0480516001,1
