,article_id,cluster
0,0319906001,1
1,0319906002,0
2,0319906005,1
3,0319906006,1
4,0319906007,1
5,0319906008,1
6,0319906009,1
7,0500864001,0
8,0507320003,0
9,0522453001,0
10,0522453002,0
11,0547441001,0
12,0560249001,0
13,0565855004,0
14,0566194005,0
15,0567760004,0
16,0567760005,0
17,0567760007,0
18,0567760008,0
19,0581102001,0
20,0581103001,0
21,0581103002,0
22,0581228001,0
23,0581228002,2
24,0581228003,2
25,0582462001,2
26,0582462002,2
27,0582462004,0
28,0582462006,0
29,0582462007,0
30,0582462008,1
31,0583150001,0
32,0583150002,0
33,0583150003,0
34,0587084002,0
35,0599708001,2
36,0599708002,2
37,0610312002,2
38,0614353001,0
39,0615334001,0
40,0619229001,1
41,0619229002,1
42,0619229003,2
43,0619229004,1
44,0619229007,0
45,0619229008,1
46,0619229009,0
47,0620891001,0
48,0623997001,0
49,0624007001,2
50,0624661001,2
51,0624661002,2
52,0631919001,2
53,0644036001,0
54,0644036002,0
55,0644036003,0
56,0644036004,0
57,0644036006,0
58,0644036007,0
59,0647182001,2
60,0647182002,0
61,0647265001,0
62,0653789002,0
63,0653789003,0
64,0655728001,0
65,0657223001,2
66,0657223002,1
67,0657223003,0
68,0657367001,0
69,0657367002,0
70,0657367003,1
71,0658904001,1
72,0659298001,0
73,0663761001,0
74,0664516001,0
75,0665606001,0
76,0665849001,2
77,0665851001,2
78,0665851003,1
79,0665851004,0
80,0665851005,0
81,0665852001,2
82,0666558001,0
83,0666739001,0
84,0666739002,0
85,0669627001,1
86,0669627002,0
87,0669627003,0
88,0671334001,2
89,0674842001,1
90,0675181001,0
91,0677641001,0
92,0677642001,1
93,0677642002,0
94,0679005001,0
95,0679754001,0
96,0679756001,0
97,0679765001,1
98,0679766001,0
99,0680714001,0
100,0688806001,0
101,0688806002,1
102,0691730001,0
103,0693720001,1
104,0695302001,0
105,0695302004,0
106,0695302005,0
107,0695742001,1
108,0695742002,1
109,0699341001,1
110,0699341002,0
111,0699341003,0
112,0700151001,1
113,0700664001,1
114,0701924001,0
115,0701924002,0
116,0701924005,0
117,0701924006,0
118,0701924010,1
119,0701924011,1
120,0706995001,0
121,0709294001,1
122,0714793001,1
123,0716453001,0
124,0716456001,1
125,0716649001,0
126,0716649008,1
127,0719122001,1
128,0722424001,0
129,0722905001,0
130,0727035001,0
131,0731893001,1
132,0732811001,2
133,0732811002,0
134,0741474001,1
135,0743117001,0
136,0748749003,2
137,0748749005,1
138,0748749007,1
139,0748749008,1
140,0748749009,1
141,0748749015,1
142,0749551007,0
143,0749653001,1
144,0755026001,0
145,0756930001,0
146,0756930003,0
147,0756930004,1
148,0756930005,1
149,0756930006,0
150,0756930008,0
151,0756930010,1
152,0756930011,1
153,0757443001,1
154,0761204001,0
155,0761204002,1
156,0761204005,0
157,0761204006,1
158,0761204008,0
159,0761217001,1
160,0761217002,1
161,0761217003,1
162,0761218004,0
163,0766368001,0
164,0766368002,0
165,0767037003,1
166,0767037005,1
167,0768498001,0
168,0772402001,1
169,0772402002,1
170,0772402003,1
171,0772402004,1
172,0773949001,0
173,0773949002,1
174,0774016001,0
175,0774016002,1
176,0774016003,1
177,0775130001,1
178,0778711001,0
179,0778711002,0
180,0778711003,1
181,0780670001,1
182,0780670002,1
183,0780670004,1
184,0780719001,0
185,0782535001,1
186,0782574001,0
187,0783910001,1
188,0783910002,1
189,0783910005,1
190,0783919001,1
191,0783930001,1
192,0784856001,0
193,0784856005,1
194,0785628001,1
195,0787368001,0
196,0787368002,0
197,0791288001,1
198,0796600001,0
199,0796600003,1
200,0796600004,1
201,0796600005,1
202,0799445001,1
203,0802216001,0
204,0802936001,0
205,0803594001,0
206,0803594002,1
207,0803594004,0
208,0807093001,1
209,0807693001,1
210,0810971002,1
211,0810971003,1
212,0811004001,0
213,0811004002,1
214,0819011001,1
215,0820120001,1
216,0822344001,0
217,0822344012,0
218,0828314001,0
219,0832782001,1
220,0832782003,1
221,0832799001,1
222,0833951001,0
223,0837105001,1
224,0838259001,1
225,0838259002,1
226,0839086001,0
227,0839086002,0
228,0839363001,0
229,0853127001,1
230,0861011001,1
231,0861031001,1
232,0861031002,1
233,0868841002,1
234,0868841005,1
235,0868841006,1
236,0868894002,1
237,0875328001,1
238,0875328002,1
239,0880330001,0
240,0884971001,1
241,0894945001,1
242,0897685001,0
243,0926826001,1
