,article_id,cluster
0,0212042036,2
1,0212042070,2
2,0365592009,4
3,0411974005,4
4,0438702001,4
5,0438702007,3
6,0447795001,0
7,0447795004,3
8,0453741002,0
9,0453831003,3
10,0453831022,3
11,0456834011,2
12,0456834012,2
13,0456834013,5
14,0456834015,0
15,0459756003,4
16,0459756009,4
17,0459756011,3
18,0460363011,3
19,0460363016,3
20,0460363017,3
21,0470985003,5
22,0470985009,5
23,0471566003,3
24,0471566004,3
25,0471566005,2
26,0471566006,0
27,0484212004,0
28,0488697002,2
29,0488697004,0
30,0488697006,2
31,0488697007,4
32,0488697013,0
33,0488697015,5
34,0488697023,1
35,0488697024,1
36,0488697025,0
37,0488697026,5
38,0488697028,0
39,0488697029,0
40,0488697030,1
41,0488697031,5
42,0488697038,5
43,0494088002,2
44,0494088003,0
45,0494088014,5
46,0494088017,1
47,0494088019,5
48,0494088022,1
49,0494088024,5
50,0494088025,0
51,0497895001,4
52,0497895002,4
53,0497915003,3
54,0499553001,4
55,0499553003,3
56,0499553006,0
57,0499553007,4
58,0502941004,3
59,0502941009,3
60,0507181001,2
61,0507181002,3
62,0512640001,3
63,0522034005,4
64,0522034006,4
65,0522045001,3
66,0522045004,0
67,0522297001,3
68,0522639001,3
69,0522678003,2
70,0522678007,4
71,0522680003,0
72,0522680004,4
73,0526129003,3
74,0526129004,3
75,0526129006,5
76,0526134001,3
77,0526158005,3
78,0526158015,0
79,0526158016,3
80,0526158017,0
81,0529321001,0
82,0529321002,2
83,0529321003,0
84,0533518001,0
85,0533518002,5
86,0533518005,0
87,0533665001,0
88,0535664003,3
89,0538358001,2
90,0538358013,4
91,0538358016,0
92,0538358018,4
93,0538358019,5
94,0538358020,0
95,0538358023,1
96,0538358026,0
97,0538358027,5
98,0539844004,0
99,0539844007,2
100,0540008001,3
101,0542207001,0
102,0542209001,3
103,0542211001,3
104,0542913002,0
105,0544391001,0
106,0546260001,2
107,0546260004,3
108,0546269001,3
109,0546269004,4
110,0546269007,2
111,0546441002,0
112,0546441003,0
113,0546721003,5
114,0546721004,5
115,0546721005,5
116,0549978013,4
117,0550589001,3
118,0550589002,0
119,0550589003,3
120,0550589004,0
121,0550589005,0
122,0551718005,3
123,0552090005,3
124,0552979002,0
125,0557274001,3
126,0557275010,0
127,0557276004,0
128,0557276005,0
129,0557287001,0
130,0557287003,0
131,0557293001,0
132,0557293003,3
133,0558290001,3
134,0558443002,4
135,0558444001,3
136,0558466002,0
137,0558466003,3
138,0558472001,3
139,0558474001,3
140,0558493001,3
141,0558494001,3
142,0558494002,3
143,0558494003,2
144,0558494004,3
145,0558498002,3
146,0558651002,5
147,0558651005,0
148,0558651006,4
149,0558651007,1
150,0558798001,0
151,0558806001,3
152,0558806002,0
153,0558810001,3
154,0562306001,0
155,0562306002,3
156,0563113001,3
157,0563113002,0
158,0563113003,4
159,0563619001,0
160,0563907001,4
161,0564372001,3
162,0564372002,0
163,0564372003,3
164,0564373004,0
165,0564375001,0
166,0564375003,2
167,0564375004,2
168,0564375008,3
169,0564375011,0
170,0564375013,0
171,0564512002,0
172,0567754003,3
173,0568385003,0
174,0568682001,3
175,0568684003,0
176,0568689001,3
177,0568689002,3
178,0568697001,0
179,0569103003,0
180,0569103004,3
181,0569355001,4
182,0569355002,4
183,0569355003,3
184,0569355006,0
185,0569355007,4
186,0569355008,2
187,0569355012,0
188,0569355013,0
189,0569355014,1
190,0569769001,2
191,0569769005,0
192,0570169001,0
193,0570175001,4
194,0571091001,0
195,0571091002,3
196,0572954005,3
197,0573892001,3
198,0574198002,0
199,0574198004,3
200,0574198005,3
201,0574198007,5
202,0574198010,0
203,0574211002,3
204,0574752003,3
205,0574752004,0
206,0574752009,5
207,0576093001,5
208,0578198001,0
209,0578198002,3
210,0578762001,2
211,0578762002,4
212,0578816001,3
213,0578816005,0
214,0578816007,0
215,0578816008,0
216,0578863001,2
217,0578863002,4
218,0579589001,0
219,0579838002,0
220,0579838004,4
221,0580020002,3
222,0580438002,3
223,0580439001,3
224,0580526001,0
225,0580526003,4
226,0580529001,4
227,0580529002,0
228,0580684001,0
229,0580684003,0
230,0580684005,4
231,0580684008,2
232,0580684010,4
233,0580684015,0
234,0581234001,3
235,0581234003,0
236,0581234004,0
237,0582408001,0
238,0582423001,0
239,0582751001,3
240,0582754002,2
241,0583084006,2
242,0583917002,0
243,0583923002,4
244,0583923004,2
245,0583972001,0
246,0583974001,2
247,0584035002,4
248,0584035005,5
249,0584066003,4
250,0584076001,2
251,0584076002,3
252,0584077001,3
253,0584077003,5
254,0584211001,3
255,0585107001,0
256,0585107002,0
257,0585108001,0
258,0585108002,0
259,0585108004,0
260,0585110003,3
261,0585138001,0
262,0585138002,3
263,0585260004,4
264,0585733003,3
265,0586541001,3
266,0589276002,0
267,0589304002,4
268,0589305001,2
269,0589306001,3
270,0589415003,0
271,0590156001,3
272,0590156003,4
273,0590156004,4
274,0591441001,3
275,0591441003,4
276,0591548001,0
277,0591548002,0
278,0591790001,3
279,0591790002,3
280,0593986001,0
281,0593986002,3
282,0595034001,0
283,0595175002,2
284,0595573001,3
285,0595573002,3
286,0595573004,3
287,0595573008,3
288,0596166002,0
289,0596367001,0
290,0596590001,3
291,0596604001,3
292,0596636001,2
293,0596648001,2
294,0597706001,3
295,0597706004,0
296,0598397001,3
297,0598397007,3
298,0599716001,2
299,0599716002,0
300,0599716003,5
301,0599716004,5
302,0599977001,0
303,0599978001,2
304,0600003001,5
305,0600707001,3
306,0600707005,2
307,0600707006,5
308,0600707009,0
309,0600707010,0
310,0601696001,0
311,0601696006,0
312,0601720003,0
313,0601728001,3
314,0601728002,0
315,0601728009,3
316,0601728013,4
317,0601728016,5
318,0601728023,1
319,0601728027,0
320,0601728029,5
321,0601728030,0
322,0601769001,0
323,0601769005,2
324,0601769006,2
325,0601769009,1
326,0602152001,3
327,0603271001,0
328,0604826001,4
329,0604826002,4
330,0607942002,0
331,0607942003,4
332,0608347003,3
333,0608922001,2
334,0609176001,3
335,0609469002,3
336,0609469003,3
337,0610619001,5
338,0610619002,4
339,0610621001,2
340,0610621004,1
341,0610621009,4
342,0610621010,1
343,0610623001,2
344,0610623002,5
345,0610624001,5
346,0610977001,3
347,0610977002,0
348,0611388001,3
349,0611388003,3
350,0611398002,3
351,0611785002,2
352,0611904001,0
353,0611904002,3
354,0611904003,0
355,0612627001,4
356,0613064001,0
357,0613216001,2
358,0615205001,4
359,0615205003,4
360,0615215001,2
361,0615215002,5
362,0615216001,2
363,0615223001,4
364,0615223003,2
365,0615249001,5
366,0615249002,5
367,0615279001,1
368,0615279003,0
369,0617295001,4
370,0618667001,3
371,0618670001,0
372,0619499001,3
373,0619499002,3
374,0619499005,3
375,0620851001,5
376,0620851002,4
377,0620862001,2
378,0620862002,2
379,0620863001,2
380,0620870001,2
381,0620870002,4
382,0620870004,0
383,0620889001,0
384,0622220001,3
385,0622220003,2
386,0622220004,4
387,0622220007,4
388,0622220011,1
389,0622220013,0
390,0622220014,1
391,0622220015,0
392,0622220017,5
393,0622684001,2
394,0622684002,2
395,0622958001,2
396,0622958002,5
397,0622958003,5
398,0622958013,0
399,0622958014,1
400,0622958015,0
401,0622958016,0
402,0622958020,0
403,0622966001,4
404,0622966002,2
405,0622966008,5
406,0622966009,0
407,0622966014,5
408,0622966015,5
409,0622970001,2
410,0622970004,2
411,0623228002,4
412,0623228004,0
413,0623498002,5
414,0624262001,5
415,0624262002,5
416,0624524001,2
417,0624525001,2
418,0624525002,2
419,0624544001,2
420,0624544002,2
421,0624652001,2
422,0624659001,2
423,0624659002,0
424,0624659003,0
425,0624659004,2
426,0624659005,2
427,0625642001,4
428,0625642002,5
429,0625662001,5
430,0625662004,4
431,0625672001,4
432,0625672004,5
433,0625672005,5
434,0625704001,2
435,0625867001,2
436,0625867002,4
437,0625870003,4
438,0625870004,2
439,0625870005,2
440,0625884001,4
441,0626297001,2
442,0627068002,4
443,0627068003,1
444,0627068004,5
445,0627087001,5
446,0627092001,5
447,0627092002,2
448,0627092003,4
449,0630884001,3
450,0631285004,2
451,0631870001,2
452,0631870002,0
453,0631870004,4
454,0631870009,0
455,0631870011,0
456,0631870012,1
457,0631870014,1
458,0631870015,0
459,0631984005,5
460,0631984006,1
461,0633813001,1
462,0633813002,2
463,0633813004,0
464,0633813005,4
465,0633813007,1
466,0633813008,1
467,0633946001,4
468,0636629001,2
469,0637616002,2
470,0639077001,4
471,0639216002,4
472,0640863003,5
473,0640863005,4
474,0640872001,5
475,0642502001,5
476,0642502002,5
477,0642635001,4
478,0642648001,5
479,0643145002,5
480,0643145003,1
481,0643145009,5
482,0643145010,0
483,0643145011,0
484,0643145014,0
485,0645061001,2
486,0645901002,2
487,0645901004,2
488,0646035001,2
489,0646713001,4
490,0646720001,2
491,0647892001,2
492,0648379001,0
493,0648379002,5
494,0648415001,5
495,0648415002,4
496,0648481001,4
497,0650067001,5
498,0650067002,2
499,0650067003,2
500,0650067004,2
501,0650193001,5
502,0650193004,4
503,0650503005,2
504,0650503007,2
505,0650977001,2
506,0650977002,2
507,0651810001,2
508,0651814001,4
509,0651827004,2
510,0651899003,4
511,0651899004,4
512,0651911001,2
513,0651911002,0
514,0651911003,2
515,0652440002,4
516,0652664002,5
517,0653410001,2
518,0653707001,4
519,0653707002,4
520,0653742001,4
521,0653742002,4
522,0653999001,2
523,0655080001,2
524,0655108001,2
525,0655108002,0
526,0655112002,2
527,0655112004,0
528,0655287001,5
529,0655287002,0
530,0655287006,5
531,0655993001,5
532,0655993002,2
533,0656021001,5
534,0657891001,2
535,0657891002,2
536,0658148002,4
537,0659146001,5
538,0659146002,5
539,0659146005,4
540,0659146006,0
541,0659146008,5
542,0660087001,5
543,0661050002,0
544,0661054004,5
545,0661054006,5
546,0661061003,5
547,0661061005,0
548,0661064002,0
549,0661064004,2
550,0661084001,5
551,0661084003,1
552,0661084007,0
553,0661086001,5
554,0661090001,0
555,0661108001,0
556,0661108002,2
557,0662310001,5
558,0662310002,4
559,0662310004,0
560,0662737001,2
561,0662737002,4
562,0662883001,2
563,0662883002,0
564,0662896001,4
565,0662928001,0
566,0662965001,2
567,0662965002,2
568,0663029001,2
569,0663029002,4
570,0663039001,4
571,0663039003,4
572,0663054001,2
573,0663054002,5
574,0663257001,4
575,0663724001,5
576,0663724002,5
577,0663725001,5
578,0663746001,5
579,0663746002,2
580,0664022001,0
581,0664022002,5
582,0664022003,0
583,0664403001,0
584,0664696001,2
585,0664696003,4
586,0666390001,2
587,0668626001,4
