,article_id,cluster
0,0215303001,0
1,0215303002,1
2,0215303005,0
3,0220365001,2
4,0220365002,1
5,0220365004,0
6,0220365007,2
7,0268305001,2
8,0268305007,2
9,0268305008,2
10,0270375001,0
11,0270375004,2
12,0270375005,2
13,0270375006,2
14,0270381001,1
15,0270381003,2
16,0270381004,1
17,0270381007,0
18,0270381011,2
19,0270381013,0
20,0270382001,1
21,0270382004,2
22,0357792003,0
23,0357792004,2
24,0357792007,0
25,0357792008,0
26,0357792009,2
27,0357792011,0
28,0360950004,0
29,0360950007,2
30,0360950008,0
31,0360950014,2
32,0360950016,0
33,0361531002,2
34,0361531003,2
35,0361531005,0
36,0361531012,0
37,0369796004,1
38,0369796007,0
39,0369796023,0
40,0369796024,2
41,0369796025,0
42,0369796026,0
43,0369796027,2
44,0369796032,0
45,0369796035,0
46,0370594006,0
47,0370594007,0
48,0370594017,0
49,0370594018,0
50,0370594020,0
51,0370594021,0
52,0370594023,2
53,0370737001,1
54,0376172001,2
55,0376172002,0
56,0376172003,0
57,0376172006,0
58,0394292001,2
59,0394292002,2
60,0394292006,0
61,0394292008,2
62,0398947002,2
63,0398959003,1
64,0405310005,1
65,0406724001,0
66,0406724002,0
67,0406724003,0
68,0406724007,2
69,0406724012,0
70,0406724016,2
71,0406724017,2
72,0406724020,2
73,0406724022,0
74,0406724023,0
75,0406724024,2
76,0406724025,0
77,0406724026,0
78,0406724027,0
79,0406724028,0
80,0411565002,0
81,0411565007,0
82,0438147002,2
83,0438147003,2
84,0447596001,2
85,0472844004,1
86,0481347003,2
87,0481347006,2
88,0481347007,2
89,0481777005,1
90,0481781001,1
91,0481781004,0
92,0481781006,2
93,0481781008,0
94,0481781009,2
95,0499807002,1
96,0499807005,0
97,0499807006,2
98,0501784001,1
99,0511081002,0
100,0511081005,0
101,0511105001,0
102,0511105002,0
103,0511105004,0
104,0511105007,0
105,0511105009,2
106,0511105010,0
107,0511105011,2
108,0511105012,2
109,0511105013,0
110,0511105017,2
111,0512300002,2
112,0516549002,2
113,0516550003,2
114,0526825001,0
115,0528255001,1
116,0547607001,2
117,0547607005,1
118,0547607009,2
119,0561758001,2
120,0561758003,2
121,0561758007,0
122,0561758008,2
123,0561758010,2
124,0561758012,2
125,0561758013,2
126,0561758015,0
127,0561758016,2
128,0561758017,2
129,0561758018,2
130,0562284001,2
131,0562327001,1
132,0562327006,1
133,0570447001,2
134,0573373001,0
135,0573374001,2
136,0584481001,0
137,0584608001,2
138,0585839001,2
139,0589428001,2
140,0589428002,2
141,0589428005,2
142,0594674001,1
143,0594978001,0
144,0594978004,2
145,0594978005,2
146,0594978007,1
147,0594978016,1
148,0594978017,2
149,0594978021,0
150,0594978025,0
151,0594978026,2
152,0594978027,2
153,0594978029,2
154,0594978030,2
155,0594978031,2
156,0595417001,2
157,0595436004,0
158,0595436005,2
159,0597516001,1
160,0599374001,0
161,0599374002,2
162,0599374003,2
163,0599374004,2
164,0599378001,0
165,0599378002,2
166,0599379001,2
167,0599379002,0
168,0599380001,2
169,0604837002,2
170,0604837004,2
171,0604837005,2
172,0604837006,2
173,0604837007,2
174,0604837009,0
175,0616635001,2
176,0616635003,2
177,0618695001,0
178,0618699001,0
179,0620134001,0
180,0620139003,0
181,0620139006,0
182,0620319001,2
183,0620319008,0
184,0620319010,0
185,0623350001,0
186,0623350003,0
187,0623350004,2
188,0625146001,0
189,0625355001,0
190,0631653001,2
191,0631653005,0
192,0631653006,0
193,0633672001,2
194,0637031001,2
195,0637031002,2
196,0637031003,0
197,0638283001,2
198,0638458001,2
199,0639395001,2
200,0639395002,0
201,0639404002,2
202,0639437001,2
203,0639460003,0
204,0640281001,2
205,0640726001,0
206,0646753001,0
207,0646753002,2
208,0646754001,2
209,0646754002,0
210,0646755001,0
211,0646756001,2
212,0646756002,2
213,0646757001,2
214,0647236001,2
215,0647395002,0
216,0651595001,0
217,0652029001,2
218,0652029003,0
219,0652192001,2
220,0655026001,2
221,0656595001,0
222,0656597001,2
223,0657360001,2
224,0658040005,2
225,0659905001,0
226,0660479001,2
227,0662713001,0
228,0662713002,2
229,0664880001,2
230,0667182001,0
231,0672102001,2
232,0681557001,2
233,0682088001,2
234,0685428001,0
235,0685432001,0
236,0694669002,0
237,0694670002,0
238,0694670005,2
239,0694670008,2
240,0694748001,0
241,0694750001,0
242,0694750002,0
243,0694750003,0
244,0696727001,0
245,0696727002,0
246,0696729001,0
247,0696729002,0
248,0696729003,0
249,0696732001,0
250,0696732003,2
251,0696734001,0
252,0696734002,2
253,0696735001,0
254,0696736001,0
255,0696736002,2
256,0696737001,2
257,0696737003,2
258,0696738001,0
259,0698480001,0
260,0698480002,0
261,0698480003,0
262,0698480004,0
263,0698480005,0
264,0699325003,0
265,0699325004,2
266,0703356001,2
267,0703365001,0
268,0712307001,0
269,0713513001,0
270,0713513002,0
271,0714586001,2
272,0717502002,2
273,0717502003,2
274,0718634001,2
275,0719439002,2
276,0722318001,0
277,0722883001,2
278,0722900001,0
279,0722900003,0
280,0722907001,0
281,0722907002,0
282,0722907003,2
283,0722923001,0
284,0722923002,0
285,0722926002,0
286,0723393001,0
287,0723488001,0
288,0723488002,0
289,0723615001,0
290,0723620001,2
291,0723620003,2
292,0723621001,0
293,0723621002,0
294,0723621004,0
295,0723621006,2
296,0723621008,0
297,0723626001,2
298,0724130001,2
299,0724130002,2
300,0725270001,0
301,0725270002,2
302,0727623001,2
303,0728263003,2
304,0728296001,0
305,0730879001,2
306,0731616001,0
307,0731616003,0
308,0733064001,0
309,0733064002,0
310,0733064003,2
311,0735153001,0
312,0735154001,0
313,0736404001,0
314,0736868001,0
315,0736873001,2
316,0737070001,0
317,0737134001,2
318,0737134002,2
319,0737152001,0
320,0737470001,0
321,0738018001,2
322,0739393001,0
323,0739393002,2
324,0740075001,2
325,0741366001,0
326,0741378001,0
327,0741387001,0
328,0741387002,2
329,0741451001,0
330,0741451002,0
331,0741492001,2
332,0742886001,2
333,0742929001,2
334,0742942001,0
335,0743586001,0
336,0743586002,0
337,0743675001,0
338,0744717001,2
339,0744717002,2
340,0745156001,0
341,0746344001,2
342,0746344002,2
343,0746558001,2
344,0746558002,2
345,0746561001,2
346,0746561002,2
347,0746562001,0
348,0746562002,0
349,0747276001,2
350,0749747001,2
351,0749968001,0
352,0749968003,2
353,0749968004,0
354,0750197001,2
355,0750197002,2
356,0750197003,0
357,0750199001,2
358,0752355001,0
359,0752355002,2
360,0754272001,0
361,0754272002,2
362,0754921001,0
363,0756433001,2
364,0756776001,2
365,0756776002,2
366,0760479001,2
367,0760486001,2
368,0761493001,2
369,0761493002,0
370,0765146001,0
371,0765146002,0
372,0765150001,0
373,0765167001,2
374,0765167002,2
375,0765216001,0
376,0765353001,2
377,0766173002,2
378,0768632001,2
379,0768632002,0
380,0768632003,2
381,0768632004,2
382,0768768001,0
383,0768768002,0
384,0769808001,2
385,0769929001,0
386,0770957001,2
387,0770958001,2
388,0770958002,0
389,0770958003,0
390,0770958004,0
391,0771034001,2
392,0771404001,2
393,0777541001,2
394,0784030001,2
395,0784030002,2
396,0792410001,2
397,0792410002,2
398,0794877001,2
399,0794883001,2
400,0794884001,2
401,0794888001,2
402,0794889001,2
403,0796542001,2
404,0796542002,2
405,0797679001,2
406,0797679002,2
407,0798842002,2
408,0803569001,2
409,0803569003,0
410,0803569004,0
411,0803570001,0
412,0803570002,0
413,0803570003,0
414,0803571003,0
415,0803573003,2
416,0803574001,0
417,0803575001,0
418,0803579001,2
419,0805318001,2
420,0806249001,2
421,0814208001,2
422,0816233001,0
423,0816233002,0
424,0816233006,2
425,0816233007,2
426,0816233008,2
427,0816233010,0
428,0816233011,0
429,0816248001,2
430,0816248002,0
431,0816248003,0
432,0816248004,2
433,0816249001,2
434,0817217001,2
435,0817351001,0
436,0818021006,0
437,0818185002,0
438,0818185003,2
439,0818255001,0
440,0818255002,0
441,0818628003,0
442,0821209001,0
443,0822354001,2
444,0824130001,0
445,0824130002,0
446,0824130003,0
447,0826250001,0
448,0826250007,0
449,0834810001,2
450,0835656001,0
451,0835665001,0
452,0837945001,0
453,0837948001,0
454,0837956001,2
455,0838128001,0
456,0838270001,0
457,0838694001,0
458,0841955001,2
459,0844129001,2
460,0844742001,2
461,0844742002,0
462,0845127001,0
463,0845127002,0
464,0845711001,0
465,0845711002,0
466,0846101001,0
467,0846149001,0
468,0846149002,0
469,0846869002,2
470,0847811001,0
471,0847811002,2
472,0847811003,2
473,0847922001,0
474,0847924003,0
475,0847930001,0
476,0848307001,0
477,0848307002,2
478,0848308001,0
479,0848308002,0
480,0848308006,2
481,0848311001,0
482,0848312001,0
483,0848312002,2
484,0848314001,0
485,0848322001,0
486,0849338001,2
487,0849339001,0
488,0849341001,0
489,0851188001,0
490,0852414001,0
491,0852551001,0
492,0854236001,2
493,0857028001,2
494,0857177001,0
495,0857184001,0
496,0857232001,2
497,0857813001,0
498,0864596001,2
499,0864596003,0
500,0864615001,0
501,0866409001,0
502,0866409002,0
503,0867848002,0
504,0869026001,2
505,0874491001,0
506,0874491002,2
507,0874912001,0
508,0874913001,0
509,0874916003,0
510,0874916005,2
511,0875015001,0
512,0875015003,2
513,0879542001,2
514,0879545001,2
515,0879545002,0
516,0879547001,2
517,0879548002,0
518,0879995001,2
519,0879995002,0
520,0880000001,0
521,0882993001,0
522,0882993002,2
523,0882995001,2
524,0882997001,2
525,0882999001,2
526,0883235001,0
527,0883275001,0
528,0883491001,0
529,0883544001,2
530,0883549001,0
531,0884470001,2
532,0885519002,0
533,0885519003,0
534,0885760001,0
535,0886787001,0
536,0886787002,2
537,0886787003,2
538,0886800001,2
539,0886800002,0
540,0886892001,2
541,0888077001,0
542,0888409001,0
543,0888821001,0
544,0889786001,0
545,0890006001,0
546,0890008001,2
547,0890010001,0
548,0893040001,0
549,0898256001,0
550,0898788001,0
551,0899011001,0
552,0900854001,0
553,0900854002,0
554,0900854003,0
555,0900854004,0
556,0900855001,0
557,0900855002,0
558,0900855003,0
559,0900855004,0
